Title,affliation_country
NEW PRODUCT DEVELOPMENT CO CREATION PROCESS: A THAI CASE OF MICRO COMMUNITY ENTERPRISES OF NON-FOOD HERBAL PRODUCTS AND R&D GOVERNMENT ORGANIZATIONS,Thailand
Measurement of single-diffractive dijet production in proton–proton collisions at √s=8Te with the CMS and TOTEM experiments,Armenia
Functional disability and quality of life in older adults with chronic low back pain,Thailand
Composition inspired by ASEAN drums: Sakodai,Thailand
"Three pillars of a sustainable creative City in ASEAN: Examples from Thailand, Singapore & Indonesia",Thailand
"As one door closes, another one opens new opportunities from COVID crisis",Thailand
Recursive tube-partitioning algorithm for a class imbalance problem,Thailand
"Trace metal composition of rainwater and aerosol from Kolkata, a megacity in eastern India",India
Rabbit as a reservoir of multidrug-resistant Acinetobacter baumannii expressing the Ade multidrug efflux pumps,Thailand
Gel protein supplementation enhanced serum IGF-1 concentration in pre-weaning piglets,Thailand
The status of antimicrobial resistance in Campylobacter spp. isolated from animals and humans in Southeast Asia: A review,Thailand
"Outcomes of a single-step endoscopic ultrasound-guided drainage of pancreatic-fluid collections using an electrocautery-enhanced coaxial lumen-apposing, self-expanding metal stent with and without fluoroscopy",United States
"Revision of neorthostigma belokobylskij, 1998 (hymenoptera, braconidae, alysiinae) with description of a new species from Papua New Guinea",Switzerland
Neuroevolution Architecture Backbone for X-ray Object Detection,Thailand
Linear parameter-varying model for a refuellable zinc-air battery: LPV model for a refuellable ZAB,Thailand
Combined UV-C irradiation and precursor feeding enhances mulberroside: A production in Morus alba L. cell suspension cultures,Thailand
Oriented polysaccharide bigels from interfacial crosslinking,Japan
Seismic strengthening of nonductile bridge piers using low-cost glass fiber polymers,Thailand
Hyaluronic acid-based hydrogels with tobacco mosaic virus containing cell adhesive peptide induce bone repair in normal and osteoporotic rats,China
Predictive Factors of Severe Adverse Events in Pediatric Oncologic Patients with Febrile Neutropenia,Thailand
Predictive validity of three home fall hazard assessment tools for older adults in Thailand,Thailand
Successful direct-acting antiviral therapy improves circulating mucosal-associated invariant T cells in patients with chronic HCV infection,Thailand
Computational fluid dynamic model of nonisothermal circulating fluidized bed riser for CO2 capture,Thailand
A novel methodology for designing solar power purchase agreement of rooftop PVs under the behind-the-meter scheme,Thailand
Canals and Orchards: The Impact of Transport Network Access on Agricultural Productivity in Nineteenth-Century Bangkok,Thailand
Lateral response of cement clay interlocking brick masonry walls subjected to earthquake loads,Thailand
Longitudinal analysis of peripheral and colonic cd161+ cd4+ t cell dysfunction in acute hiv-1 infection and effects of early treatment initiation,United States
Treatment of wastewater containing reactive red 239 using fenton oxidation processes with photo-assisted regeneration of fe2+ catalyst,Thailand
Global systematic review of cost of illness and economic evaluation studies associated with snakebite,Thailand
Investigation of diclofenac toxicity on ionic regulation of plasma and Gill ATPase activity of fish,India
Nonbacterial Thrombotic Endocarditis Related to Adenocarcinoma of the Uterine Cervix,Thailand
Alternative liquid fuel from pyrolysis of polyethylene wax,Thailand
Development of bim-based quantity takeoff for light-gauge steel wall framing systems,Japan
A simple levelized cost of electricity for ev charging with pv and battery energy storage system: Thailand case study,Thailand
Happiness around the world: A combined etic-emic approach across 63 countries,Argentina
Effect of gold nanoparticles on the TLR2-mediated inflammatory responses induced by Leptospira in TLR2-overexpressed HEK293 cells,Thailand
Simultaneous and non-simultaneous quenching for a system of multi-dimensional semi-linear heat equations,Thailand
The unequal benefits of tax subsidies for household saving and investment: Evidence from thailand's tax return data,Thailand
A Deep Neural Network for Simultaneous Estimation of b Jet Energy and Resolution,Armenia
Efficacy of Endoscopic Variceal Ligation in the Control of Variceal Bleeding: A Real World Setting,Thailand
"Comparison of Treatment Outcomes between Laparoscopic and Robot-Assisted Laparoscopic Radical Prostatectomy in Clinically Localized Prostate Cancer, A Single-Surgeon Experience",Thailand
Effect of Synbiotic Supplementation in Children with Nonalcoholic Fatty Liver Disease: A Randomized Controlled Trial,Thailand
Drugs-Herbs-Dietary Supplements-induced Liver Injury: A Hidden but Emerging Clinical Problem,Thailand
Long-term outcomes of children with gastroesophageal reflux disease who underwent fundoplication: a single center experience,Thailand
Dependence of inclusive jet production on the anti-kT distance parameter in pp collisions at √s = 13 TeV,Armenia
Butaphosphan and Cyanocobalamin Supplementation in Semen Extender on Chilled Boar Sperm Quality and Life Span,Thailand
No Difference in Pain After Spine Surgery with Local Wound Filtration of Morphine and Ketorolac: A Randomized Controlled Trial,Thailand
Inclusive search for highly boosted Higgs bosons decaying to bottom quark-antiquark pairs in proton-proton collisions at √s = 13 TeV,Armenia
"First evidence of carp edema virus infection of koi cyprinus carpio in chiang mai province, thailand",Thailand
Extent of aging across education and income subgroups in Thailand: Application of a characteristic-based age approach,Thailand
Rhinacanthus nasutus “Tea” infusions and the medicinal benefits of the constituent phytochemicals,Thailand
Accelerated nucleophilic substitution reactions of dansyl chloride with aniline under ambient conditions via dual-tip reactive paper spray,United Kingdom
Marginal operators and supersymmetry enhancement in 3d S-fold SCFTs,Italy
A Pathogenic Variant in ALPK3 Is Associated With an Autosomal Dominant Adult-onset Hypertrophic Cardiomyopathy,United States
Application of cell immobilization technology to promote nitritation: A review,Thailand
Genistein attenuated gastric inflammation and apoptosis in Helicobacter pylori-induced gastropathy in rats,Thailand
Skin manifestations after bariatric surgery,Thailand
Future of CAR T cells in multiple myeloma,United States
Thrombolytic therapy in acute venous thromboembolism,Thailand
The potential of sea grapes (caulerpa lentilifera) extracted polysaccharide as prebiotics on inhibiting pathogenic bacteria vibrio parahaemolyticus,Thailand
Functional properties and bioactivities of cleistocalyx nervosum var. Paniala berry plant: A review,Thailand
Barrier and facilitator on breastfeeding education and promotion: A literature review,Indonesia
"Acute effects of red chili, a natural capsaicin receptor agonist, on gastric accommodation and upper gastrointestinal symptoms in healthy volunteers and gastroesophageal reflux disease patients",Thailand
Rescued chlorhexidine activity by resveratrol against carbapenem-resistant Acinetobacter baumannii via down-regulation of AdeB efflux pump,Thailand
Impact of disease stage and age at Parkinson’s onset on patients’ primary concerns: Insights for targeted management,Thailand
Scattering of charged fermion to two-dimensional wormhole with constant axial magnetic flux,Thailand
Preferred oriented cation configurations in high pressure phases IV and V of methylammonium lead iodide perovskite,Thailand
Prevalence and subtype distribution of blastocystis infection in patients with diabetes mellitus in Thailand,Thailand
Novel potential application of chitosan oligosaccharide for attenuation of renal cyst growth in the treatment of polycystic kidney disease,Thailand
Shared neuroimmune and oxidative pathways underpinning Chagas disease and major depressive disorder,Brazil
Development of lightweight and high-performance ballistic helmet based on poly(Benzoxazine-co-urethane) matrix reinforced with aramid fabric and multi-walled carbon nanotubes,Thailand
Net ultrafiltration prescription survey in Europe,United Kingdom
Effect of immobilization methods on the production of polyethylene-cellulose biocomposites via ethylene polymerization with metallocene/MAO catalyst,Thailand
Detection of Extrapulmonary Malignancy During Lung Cancer Screening: 5-Year Analysis at a Tertiary Hospital,United States
Compressive behavior of extremely low strength concrete conﬁned with low-cost glass FRP composites,Thailand
Factors influencing pre-ovulatory follicle diameter and weaning-to-ovulation interval in spontaneously ovulating sows in tropical environment,Thailand
"Comparison of acid-, alkaline-, and ionic liquid–treated Napier grass as an immobilization carrier for butanol production by Clostridium beijerinckii JCM 8026",Thailand
Influence of nitric acid-assisted hydrothermal conditions on the characteristics of TiO2 catalysts and their activity in the oxidative steam reforming of methanol,Thailand
Systems biology analysis of osteogenic differentiation behavior by canine mesenchymal stem cells derived from bone marrow and dental pulp,Thailand
Tensile properties improvement by homogenized nitrogen solid solution strengthening of commercially pure titanium through powder metallurgy process,Japan
Cloth and Skin Deformation with a Triangle Mesh Based Convolutional Neural Network,United States
High ambient temperature directly decreases milk synthesis in the mammary gland in Saanen goats,Thailand
Curcuma longa rhizome extract and Curcumin reduce the adhesion of Acanthamoeba triangularis trophozoites and cysts in polystyrene plastic surface and contact lens,Thailand
Socio-economic inequalities in the association between alcohol use disorder and depressive disorder among Thai adults: a population-based study,Thailand
Metabolic Engineering and Synthetic Biology of Cyanobacteria for Carbon Capture and Utilization,South Korea
Reference Values for Chronotropic Index from 1280 Incremental Cycle Ergometry Tests,United States
Modeling and simulation of onset of condensation-induced water hammer,United States
Influence of frictional contact on indentation of elastic layer under surface energy effects,Thailand
"Persistence of pdm2009-H1N1 internal genes of swine influenza in pigs, Thailand",Thailand
Effect of incubation temperature on lactogenic function of goat milk-derived mammary epithelial cells,Thailand
A randomized controlled trial comparing the efficacies of ketorolac and parecoxib for early pain management after total knee arthroplasty,Thailand
Decreased circulating clusterin reflects severe liver complications after hepatoportoenterostomy of biliary atresia,Thailand
Ceria nanorod supported gold nanoparticles as structured catalysts for the oxidative steam reforming of methanol: Effect of CTAB concentration on physiochemical properties and catalyst performance,Thailand
Application of synthetic hureaulite as a new precursor for the synthesis of lithiophilite nanoparticles,Thailand
Prevalence and risk factors of primary sarcopenia in community-dwelling outpatient elderly: a cross-sectional study,Thailand
The investigation of binary and ternary sulfobutylether-β-cyclodextrin inclusion complexes with asiaticoside in solution and in solid state,Thailand
"Probability of major depression classification based on the SCID, CIDI, and MINI diagnostic interviews: A synthesis of three individual participant data meta-analyses",Canada
Validation of the D:A:D Chronic Kidney Disease Risk Score Model among People Living with HIV in the Asia-Pacific,Australia
"Publisher Correction: COVID-19-associated acute kidney injury: consensus report of the 25th Acute Disease Quality Initiative (ADQI) Workgroup (Nature Reviews Nephrology, (2020), 10.1038/s41581-020-00356-5)",United States
Phenotype prediction and characterization of 25 pharmacogenes in Thais from whole genome sequencing for clinical implementation,Thailand
Precision renal replacement therapy,Italy
Performance controlled via surface oxygen-vacancy in Ti-based oxide catalyst during methyl oleate epoxidation,Thailand
Treatment of Chronic Severe Flexion Contractures of Fingers with Bilateral Side-Finger Flaps (Wing Flaps) and Full-Thickness Skin Graft,Thailand
Gigantol targets MYC for ubiquitin-proteasomal degradation and suppresses lung cancer cell growth,Thailand
A review of the recovery of precious metals using ionic liquid extractants in hydrometallurgical processes,Thailand
DNA metabarcoding to unravel plant species composition in selected herbal medicines on the National List of Essential Medicines (NLEM) of Thailand,Thailand
"Recommendations for the adjuvant use of the poly-antibiotic–resistant probiotic Bacillus clausii (O/C, SIN, N/R, T) in acute, chronic, and antibiotic-associated diarrhea in children: consensus from Asian experts",Philippines
"Multivariate statistical analysis of the hydrochemical characteristics of a volcano sedimentary aquifer in Saraburi Province, Thailand",Thailand
Pathogenesis and immune response of Nile tilapia (Oreochromis niloticus) exposed to Tilapia lake virus by intragastric route,Brazil
Route to high- Tc superconductivity of BC 7 via strong bonding of boron–carbon compound at high pressure,Thailand
Death acceptance from a Thai Buddhist perspective: A qualitative study,Thailand
3D Bioprinting of Lignocellulosic Biomaterials,Belgium
NOD2-dependent BCG-induced trained immunity: A way to regulate innate responses to SARS-CoV2?,Thailand
COVID-19 Highlights the Need for More Effective Wildlife Trade Legislation,China
A novel model of injured liver ductal organoids to investigate cholangiocyte apoptosis with relevance to biliary atresia,Canada
"Identifying indoor radon sources in Pa Miang, Chiang Mai, Thailand",Thailand
Clearance of micronutrients during continuous renal replacement therapy,United Kingdom
"Serological evidence of avian influenza virus subtype H5 and H9 in live bird market, Myanmar",Myanmar
A novel indirect cryogenic cooling system for improving surface finish and reducing cutting forces when turning ASTM F-1537 cobalt-chromium alloys,Spain
Properties and performance of the basalt-fiber reinforced texture roof tiles,Thailand
Evaluating the effect of rice (Oryza sativa L.: SRNC05053-6-2) crude extract on psoriasis using in vitro and in vivo models,Thailand
Rapid production of SARS-CoV-2 receptor binding domain (RBD) and spike specific monoclonal antibody CR3022 in Nicotiana benthamiana,Thailand
Endothelial dysfunction in neuroprogressive disorders—causes and suggested treatments,Australia
Investigation into the variation in follicular and endocrine responses of prepubertal gilts treated with exogenous gonadotropins,Thailand
Changes in hepatic fibrosis and vitamin D levels after viral hepatitis C eradication using direct-acting antiviral therapy,Thailand
CO2methanation over nickel-based catalysts supported on MCM-41 with in situ doping of zirconium,China
Expanding phenotypic and mutational spectra of mitochondrial HMG-CoA synthase deficiency,Thailand
COVID-19-associated acute kidney injury: consensus report of the 25th Acute Disease Quality Initiative (ADQI) Workgroup,United States
The need for financial knowledge acquisition tools and technology by small business entrepreneurs,Thailand
Enhanced polyhydroxybutyrate (PHB) accumulation in heterotrophically grown Arthrospira platensis under nitrogen deprivation,Thailand
"Pain or No Pain, We Will Give You Opioids: Relationship Between Number of Opioid Pills Prescribed and Severity of Pain after Operation in US vs Non-US Patients",United States
"Potential influence of jaggery-based biofloc technology at different C:N ratios on water quality, growth performance, innate immunity, immune-related genes expression profiles, and disease resistance against Aeromonas hydrophila in Nile tilapia (Oreochromis niloticus)",China
Characteristics of pyrolysis products from pyrolysis and co-pyrolysis of rubber wood and oil palm trunk biomass for biofuel and value-added applications,Thailand
Detection of tuberculosis in cynomolgus macaques (Macaca fascicularis) using a supplementary Monkey Interferon Gamma Releasing Assay (mIGRA),Thailand
Investigation on the increased stability of the Ni–Co bi-metallic catalysts for the carbon dioxide reforming of methane,Thailand
A Kaluza–Klein inspired Brans–Dicke gravity with dark matter and dark energy model,Thailand
Non-thermal dielectric barrier discharge plasma hydrogenation for production of margarine with low trans-fatty acid formation,Thailand
NF-κB and STAT3 co-operation enhances high glucose induced aggressiveness of cholangiocarcinoma cells,Thailand
Gas-phase polymerization of ethylene over Ti-based Ziegler–Natta catalysts prepared from different magnesium sources,Thailand
Different water removal methods for facilitating biodiesel production from low-cost waste cooking oil containing high water content in hybridized reactive distillation,Thailand
Atrial fibrillation ablation in the 21st century: Almost no stroke risk?,Thailand
Promising effect of in-situ lyticase enzyme therapy on peritoneal dialysis catheter obstruction from Acremonium fungal biofilm: A case report,Thailand
Can endolysosomal deacidification and inhibition of autophagy prevent severe COVID-19?,Australia
Molecular epidemiology of the first wave of severe acute respiratory syndrome coronavirus 2 infection in Thailand in 2020,Thailand
Detecting personally identifiable information transmission in android applications using light-weight static analysis,Thailand
Lactobacillus reuteri DSM 17938 and ATCC PTA 5289 ameliorates chemotherapy-induced oral mucositis,Singapore
Effects of Heat Treatment on Mechanical Properties of Jute Fiber-Reinforced Polymer Composites for Concrete Confinement,Thailand
Many-objective low-cost airline cockpit crew rostering optimisation,Thailand
Common and rare susceptibility genetic variants predisposing to Brugada syndrome in Thailand,Thailand
"Emerging MDR-Pseudomonas aeruginosa in fish commonly harbor oprL and toxA virulence genes and bla TEM, bla CTX-M, and tetA antibiotic-resistance genes",Egypt
Natural rubber nanocomposites based on hybrid filler of zinc nanoparticles and carbon nanotubes: Electrical conductivity and other related properties,Thailand
Diterpenoids from the aerial parts of Euphorbia antiquorum and their efficacy on nitric oxide inhibition,Thailand
"Supplementing post-wash asthenozoospermic human spermatozoa with coenzyme Q10 for 1 hr in vitro improves sperm motility, but not oxidative stress",Thailand
Recovery of γ-oryzanol from rice bran oil soapstock derived calcium soap: Consideration of Hansen solubility parameters and preferential extractability in various solvents,Thailand
Screening and eradication of Helicobacter pylori for gastric cancer prevention: The Taipei global consensus,Taiwan
New prospects on the horizon: Genome editing to engineer plants for desirable traits,Thailand
Efficacy and Safety of Oral Minoxidil 5 mg Once Daily in the Treatment of Male Patients with Androgenetic Alopecia: An Open-Label and Global Photographic Assessment,Thailand
Assessment of agricultural waste-derived activated carbon in multiple applications,Taiwan
Early origin and global colonisation of foot-and-mouth disease virus,Thailand
Comparison of the accuracy of implant position for two-implants supported fixed dental prosthesis using static and dynamic computer-assisted implant surgery: A randomized controlled clinical trial,Thailand
Conflicting Orders in Physician Orders for Life-Sustaining Treatment Forms,United States
Meropenem dosing recommendations for critically ill patients receiving continuous renal replacement therapy,Thailand
Opioids after Surgery in the United States Versus the Rest of the World: The International Patterns of Opioid Prescribing (iPOP) Multicenter Study,United States
Detection of Leishmania infantum DNA by real-time PCR in saliva of dogs,Spain
Thermally induced structural organization of nanodiscs by coarse-grained molecular dynamics simulations,Thailand
"Fast dissolving, hermetically sealable, edible whey protein isolate-based films for instant food and/or dry ingredient pouches",Thailand
"Source apportionment of polycyclic aromatic hydrocarbons in the terrestrial soils of King George Island, Antarctica",Thailand
Composite core-supported stainless steel crowns enhance fracture resistance of severely damaged primary posterior teeth,Thailand
High-energy conversion efficiency of drum kiln with heat distribution pipe for charcoal and biochar production,Thailand
Serratia marcescens secretes proteases and chitinases with larvicidal activity against Anopheles dirus,Thailand
"Differentiation of Cyanthillium cinereum, a smoking cessation herb, from its adulterant Emilia sonchifolia using macroscopic and microscopic examination, HPTLC profiles and DNA barcodes",Thailand
"Expression optimization, purification and in vitro characterization of human epidermal growth factor produced in Nicotiana benthamiana",Thailand
Encapsulated titanium dioxide nanoparticle-Escherichia coli hybrid system improves light driven hydrogen production under aerobic condition,Thailand
Novel bacterial cellulose nanocrystals/polyether block amide microporous membranes as separators for lithium-ion batteries,Thailand
Refined grain formation behavior and strengthening mechanism of α-titanium with nitrogen fabricated by selective laser melting,Japan
Synthesis of ZnO/SiO2-modified starch-graft-polyacrylate superabsorbent polymer for agricultural application,Thailand
Detection of Mycobacterium tuberculosis complex infection in Asian elephants (Elephas maximus) using an interferon gamma release assay in a captive elephant herd,Thailand
Hsa-miR-30e-3p inhibits influenza B virus replication by targeting viral NA and NP genes,Thailand
Skin manifestations in COVID-19: The tropics experience,Thailand
The study of the causal relationship between innovativeness and entrepreneurial intention among undergraduate students,Thailand
Phosphoproteomic analysis of dengue virus infected U937 cells and identification of pyruvate kinase M2 as a differentially phosphorylated phosphoprotein,Thailand
Decadal increase of the summer precipitation in Thailand after the mid-1990s,Thailand
Walled-off peripancreatic fluid collections in Asian population: Paradigm shift from surgical and percutaneous to endoscopic drainage,Thailand
"Efficacy and tolerability of low-dose spironolactone and topical benzoyl peroxide in adult female acne: A randomized, double-blind, placebo-controlled trial",Thailand
Short-term outcomes of tablet/smartphone-based (OBEST) application among obese Thai school-aged children and adolescents: A randomized controlled trial,Thailand
Molecular modelling investigation for drugs and nutraceuticals against protease of SARS-CoV-2,Thailand
Conjunctival sporotrichosis from cat to human: Case report,Thailand
Good practice and lesson learned in promoting vetiver as solution for slope stabilisation and erosion control in Thailand,Thailand
"Recent progress and new developments of applications of artificial intelligence (AI), knowledge-based systems (KBS), and Machine Learning (ML) in the petroleum industry",Canada
Ultrasound-assisted modified pectin from unripe fruit pomace of raspberry (Rubus chingii Hu): Structural characterization and antioxidant activities,China
First molecular investigation of haemosporidian parasites in Thai bat species,Thailand
Role of Al in Na-ZSM-5 zeolite structure on catalyst stability in butene cracking reaction,Thailand
Effect of drug metabolizing enzymes and transporters in Thai colorectal cancer patients treated with irinotecan-based chemotherapy,Thailand
"Ozone disinfection kinetics of poliovirus 1 determined by cell culture assay, RT-qPCR and ethidium monoazide qPCR reduction in a continuous quench-flow reactor",Japan
NOTCH2 participates in Jagged1-induced osteogenic differentiation in human periodontal ligament cells,Thailand
An integrated rotating biological contactor and membrane separation process for domestic wastewater treatment,Malaysia
"Ecological risk assessment of arsenic, cadmium, copper, and lead contamination in soil in e-waste separating household area, Buriram province, Thailand",Thailand
What every Intensivist should know about COVID-19 associated acute kidney injury,United Kingdom
Upregulation of Hox-hydrogenase gene expression by nutrient adjustment in the filamentous non-heterocystous cyanobacterium Arthrospira sp. PCC 8005,Thailand
Development of international mirroring system for real-time web of meteorological satellite data,Japan
Active targeting liposome-PLGA composite for cisplatin delivery against cervical cancer,Thailand
"Hepatitis B surface antigen, core-related antigen and HBV RNA: Predicting clinical relapse after NA therapy discontinuation",Thailand
A retrospective study on paediatric dental treatment under general anaesthesia at a tertiary public facility in Australia,Australia
Eco composites with synergistic combinations of natural rubber latex and wood flour toughened recycled HDPE,Thailand
Utilization of Palm Olein-Based Polyol for Polyurethane Foam Sponge Synthesis: Potential as a Sorbent Material,Thailand
Natural rubber as a renewable carbon source for mesoporous carbon/silica nanocomposites,Thailand
Properties enhancement of carboxymethyl cellulose with thermo-responsive polymer as solid polymer electrolyte for zinc ion battery,Thailand
"Packaging Film of PP/LDPE/PLA/Clay Composite: Physical, Barrier and Degradable Properties",Thailand
"Author Correction: Tropical forest soil carbon stocks do not increase despite 15 years of doubled litter inputs (Scientific Reports, (2019), 9, 1, (18030), 10.1038/s41598-019-54487-2)",United Kingdom
Topical anaesthesia as an adjuvant to local anaesthetic injection in open trigger digit release: a randomized controlled trial,Thailand
Cold agglutinin disease following SARS-CoV-2 and Mycoplasma pneumoniae co-infections,Thailand
"CU-BEMS, smart building electricity consumption and indoor environmental sensor datasets",Thailand
Successful challenge of voriconazole in a patient with posaconazole-associated minor drug eruption: A case report,Thailand
Performance of an air membrane bioreactor for methanol removal under steady and transient state conditions,Thailand
Evolution of deep-sea sediments across the Paleocene-Eocene and Eocene-Oligocene boundaries,United Kingdom
A novel diterpene agent isolated from Microbispora hainanensis strain CSR-4 and its in vitro and in silico inhibition effects on acetylcholine esterase enzyme,Thailand
A risk assessment of pathogenic Streptococcus suis in pork supply chains and markets in Thailand,Thailand
"Insights into the molecular diversity of Plasmodium vivax merozoite surface protein-3γ (pvmsp3γ), a polymorphic member in the msp3 multi-gene family",Thailand
Respiratory syncytial virus infection trend is associated with meteorological factors,Thailand
"Assessment and source identification of As and Cd contamination in soil and plants in the vicinity of the Nui Phao Mine, Vietnam",South Korea
Sufficiency economy philosophy: Buddhism-based sustainability framework in Thailand,Thailand
Thai Nation-Building: Assimilating Upcountry Peasantry to Develop Security,Thailand
MR imaging pattern of tibial subchondral bone structure: considerations of meniscal coverage and integrity,United States
Discharge profile of a zinc-air flow battery at various electrolyte flow rates and discharge currents,Thailand
Prenatal exposure to bisphenol A alters the transcriptome-interactome profiles of genes associated with Alzheimer’s disease in the offspring hippocampus,Thailand
Anti-LGI1 encephalitis in a middle-aged woman who consumes cannabis oil,Thailand
Situational experience around the world: A replication and extension in 62 countries,United States
Simple ammonium salts acting on sigma-1 receptors yield potential treatments for cancer and depression,Thailand
"An anticonvulsive drug, valproic acid (valproate), has effects on the biosynthesis of fatty acids and polyketides in microorganisms",Thailand
A simple method for measuring inequality,Thailand
Laparoscopic Central Bisectionectomy Including Resection of the Segment 7 Using the Extrahepatic Glissonean Approach and Hepatic Vein Guidance,Thailand
