Title,Author_count,Open_access,Unique_affiliations_count,cite_count
"A double masked randomised 4-week, placebo-controlled study in the USA, Thailand and Taiwan to compare the efficacy of oral valganciclovir and topical 2% ganciclovir in the treatment of cytomegalovirus anterior uveitis: Study protocol",14,1,8,6
Probing the chiral magnetic wave in pPb and PbPb collisions at √SNN = 5.02 TeV using charge-dependent azimuthal anisotropies,2237,1,243,15
Asiaticoside but not its aglycone exhibits neuritogenicity through TrkA receptor signaling: A bridge between ERK1/2-CREB and Akt-GSK3β/RhoA,3,0,2,3
Application of pivoting adversarial networks in search for four top quark production in CMS,3,1,3,0
A free solution to the Dirac equation in R-spacetime,4,1,3,0
Effects of few optical cycles approximation to spectral broadening generated in two-zero dispersion wavelengths fibers,4,1,1,0
Phase transitions in the frustrated antiferromagnetic XY model on the triangular lattice,2,1,2,0
Charged fermion in two-dimensional curved spaces of constant Gaussian curvature with constant magnetic flux,1,1,1,1
Comparison of electron temperature in DC glow discharge and AC glow discharge plasma,3,1,3,2
An array of coupled nonlinear oscillators as a model for amplitude variations in intermodulation distortions from the auditory system,4,1,1,0
Effect of formamidinium cation on electronic structure of formamidinium lead iodide,5,1,2,0
Effects of anti-solvent in the two-step fabrication of absorber layer in perovskite solar cells,3,1,2,0
Simulation of phase-ordering dynamics of 2d Ising model under influence of oscillatory shear,2,1,1,0
Extracting overlapping 2D-images by central-derivatives-based algorithm,4,1,1,0
Effects of surface diffusion length on steady-state persistence probabilities,2,1,2,0
Performance of cytokine models in predicting SLE activity,8,1,4,35
Availability of emergency obstetric and newborn care services at public health facilities of Sindh province in Pakistan,4,1,4,6
"The impact of National Health Insurance upon accessibility of health services and financial protection from catastrophic health expenditure: A case study of Savannakhet province, the Lao People's Democratic Republic",2,1,1,5
PTM-Logo: A program for generation of sequence logos based on position-specific background amino-acid probabilities,7,2,3,7
Up-to-date review on the development of high performance rubber composites based on halloysite nanotube,4,0,2,24
Reduced Time to Suppression among Neonates with HIV Initiating Antiretroviral Therapy Within 7 Days after Birth,16,1,13,7
Dual Analysis of Loss to Follow-up for Perinatally HIV-Infected Adolescents Receiving Combination Antiretroviral Therapy in Asia,22,1,19,2
More than hemifacial spasm? A case of unilateral facial spasms with systematic review of red flags,3,0,2,4
"Health risk assessment of airborne Cd, Cu, Ni and Pb for electronic waste dismantling workers in Buriram Province, Thailand",2,0,2,28
Cultivation of microalgae Chlorella sp. in municipal sewage for biofuel production and utilization of biochar derived from residue for the conversion of hematite iron ore (Fe2O3) to iron (Fe) – Integrated algal biorefinery,6,0,6,39
Ordered mesoporous Ni/La2O3 catalysts with interfacial synergism towards CO2 activation in dry reforming of methane,10,0,3,81
Heterogeneous structural defects to prompt charge shuttle in g-C3N4 plane for boosting visible-light photocatalytic activity,6,0,3,83
Deactivation of the preferential oxidation of CO in packed bed reactor by 3D modelling and near-infrared tomography,5,2,4,5
Towards a Great Design of Conceptual Modelling,6,,6,1
Water Quality Index Analysis and Prediction: A Case Study of Canals in Bangkok Thailand,3,,3,1
Prediction of User's Special Feelings Toward Photos Based on Behaviors of Taking and Editing Photos,5,,2,0
"A SPA-Based Semantic Computing System for Global & Environmental Analysis and Visualization with ""5-Dimensional World-Map"": ""towards Environmental Artificial Intelligence",5,,4,2
"Design and Synthesis of Piperazine-Linked Imidazo[1,2-a]pyridine Derivatives as Potent Anticancer Agents",6,0,3,11
"Ceropegia chuakulii sp. Nov. (Asclepiadoideae, Apocynaceae) from eastern Thailand",2,0,1,1
Search for Physics beyond the Standard Model in Events with Overlapping Photons and Jets,2337,1,208,2
Evolutionary Engineering of Cyanobacteria to Enhance the Production of α-Farnesene from CO2,4,0,2,13
Innovative Approach to Enhance the Methane Hydrate Formation at Near-Ambient Temperature and Moderate Pressure for Gas Storage Applications,5,0,3,32
Carbon Dioxide Adsorption on Grafted Nanofibrous Adsorbents Functionalized Using Different Amines,9,1,7,15
Phase Behavior and Superionic Transport Characteristics of (MxRb1- x)3H(SeO4)2 (M = K or Cs) Solid Solutions,4,0,3,7
Pseudorapidity distributions of charged hadrons in xenon-xenon collisions at sNN=5.44 TeV,2276,1,198,10
Identification of software problem report types using multiclass classification,2,0,1,1
Non-functional requirement patterns for agile software development,2,0,1,4
Transforming yawl workflows with time constraints to generalized stochastic petri nets,2,0,1,1
Impact analysis of database schema changes on hibernate source code and test cases,2,0,1,2
Formal modeling of multi-server queuing network using stochastic petri nets,2,0,1,1
Stubs and drivers generator for class integration testing using sequence and class diagrams,2,0,1,2
Visual design and code generation of user interface based on responsive web design approach,2,0,1,1
Transforming flowchart into coloured petri nets,2,0,1,4
Transforming WS-BPEL into timed automata,2,0,1,1
Formal modeling of priority queue using generalized stochastic petri nets,2,0,1,1
Formalizing a decision table into petri nets,2,0,1,0
Test case generation from BPMN with DMN,2,0,1,3
Sweeper: Automated data quality processing and model generation for data classification,2,0,1,1
Simple discrete time traction control for a two-wheeled mobile robot,3,1,1,0
Search for long-lived particles using delayed photons in proton-proton collisions at s =13 TeV,2314,1,209,27
Geopolymer sourced with fly ash and industrial aluminum waste for sustainable materials,3,0,2,0
Application of carbon nanotubes prepared from CH4/CO2 over Ni/MgO catalysts in CO2 capture using a BEA-AMP bi-solvent blend,4,1,2,4
Unusual adsorption behavior of hydrogen molecules on Zr–doped perfect and oxygen–vacancy defective rutile TiO2(110) surfaces: Periodic DFT study,2,0,2,10
Simulation of peak position and response profiles in comprehensive two-dimensional gas chromatography,7,0,3,8
Phase 2 study of nilotinib in pediatric patients with Philadelphia chromosome–positive chronic myeloid leukemia,20,1,19,24
Anti-HIV-1 protease activity of the crude extracts and isolated compounds from Auricularia polytricha,4,1,2,24
Solving for Schwarzschild solution using variation of parameters and Frobenius method,3,0,3,0
Constraints on anomalous HVV couplings from the production of Higgs bosons decaying to τ lepton pairs,2289,1,251,29
Rheological properties of film solution from cassava starch and kaffir lime oil,5,1,3,5
Search for Low-Mass Quark-Antiquark Resonances Produced in Association with a Photon at s =13 TeV,2335,1,207,30
Relation extraction between bacteria and biotopes from biomedical texts with attention mechanisms and domain-specific contextual representations,3,1,1,5
Comparison of radon and thoron concentration measuring systems among asian countries,16,1,7,5
"Rhodococcus induced false-positive galactomannan (GM), a biomarker of fungal presentation, in patients with peritoneal dialysis: Case reports",7,1,4,4
Prevalence of Atrial Fibrillation in Patients with Retinal Vessel Occlusion and Its Association: A Systematic Review and Meta-Analysis,8,2,7,14
Successful multimodality management of severe pulmonary arterial hypertension during pregnancy with VA-ECMO and atrial septostomy using stent,4,2,2,5
"Thermosetting Shape Memory Polymers and Composites Based on Polybenzoxazine Blends, Alloys and Copolymers",5,1,3,17
Cost-effectiveness and budget impact analyses of colorectal cancer screenings in a low- and middle-income country: example from Thailand,3,1,3,13
Is a diagnostic blood test for chronic fatigue syndrome on the horizon?,3,1,4,8
Generalized symplectic graphs and generalized orthogonal graphs over finite commutative rings,2,0,1,3
"The Development of Tea Planting and Tea Culture Tourism in Thai Nguyen, Vietnam",2,,1,1
Relationship between Voriconazole Concentration and Invasive Aspergillosis Treatment Outcome: Efficacy and Safety,4,1,2,0
A Reflection on Teaching Design Thinking to First-Year Engineering Students,6,0,1,2
Combination of Active Braking and Torque Vectoring in Electronic Stability Control for Four-Wheel Independent Drive Electric Vehicle,3,0,2,1
Plasmapheresis reduces mycophenolic acid concentration: A study of full AUC0–12 in kidney transplant recipients,11,1,4,3
On the rank-size distribution of local government debt,1,,1,1
Last Mile Optimization for a Young 3PL Provider,4,0,1,0
Study of Hamiltonian Energy Control of Multiphase Interleaved Fuel Cell Boost Converter,14,0,9,9
Update on molecular diagnosis of human leptospirosis,2,1,1,4
Porcine reproductive and respiratory syndrome virus (PRRSV) preferentially infected the apical surface of primary endometrial cell monolayer,4,,2,2
Efficacy of competitive exclusion to reduce Salmonella in broiler chickens,4,,1,2
Variations in the branching pattern of the canine coeliac trunk in Thailand: An anatomical study,4,,3,0
Chronic toxicity of monosodium glutamate on the reproductive system and some internal organs of zebrafish (Danio rerio),4,,1,3
Selection of the appropriate reference genes for relative quantitative reverse transcription polymerase chain reaction (qRT-PCR) in canine pulmonary arteries,3,,1,1
"Effects of gender, laterality, reaching location, and body posture on the maximum reach of elders",2,0,1,0
Optimal Battery Capacity for Residential Rooftop PVs With Consideration of Net-Metering Scheme Compensation Period,2,,1,2
In Situ Caching using Combined TTL-FIFO Algorithm,3,0,1,2
Do the crime and the socioeconomic strain affect the economic growth? A case of an emerging asean economy,3,1,2,0
Transportation mobility factor extraction using image recognition techniques,7,0,2,7
Applying virtual reality technology to geoscience classrooms,2,1,1,12
Design and implementation of the off-line robust model predictive control for solid oxide fuel cells,4,1,2,8
Effect of CuO as sintering additive in scandium cerium and gadolinium-doped zirconia-based solid oxide electrolysis cell for steam electrolysis,8,1,2,6
Finite integration method with shifted Chebyshev polynomials for solving time-fractional burgers' equations,3,1,2,10
"Fed intermittent composting of food waste from minor touring city, using reactors with different passive ventilation",3,,3,0
A potential application of triangular microwells to entrap single cancer cells: A canine cutaneous mast cell tumor model,9,1,2,3
Cyclin D1 expression as a potential prognostic factor in advanced KRAS-mutant non-small cell lung cancer,6,1,1,12
"The impact of government expenditures, gross capital formation, trade, and portfolio investment on the economic growth of asean economies",4,1,4,2
CONSPICUOUS CONSUMPTION of ONLINE SOCIAL NETWORKING DEVICES and SUBJECTIVE WELL-BEING of BANGKOKIANS,2,0,2,3
Antioxidant potency of Okra (Abelmoschus esculentus moench) pods extract on SOD level and tissue glucose tolerance in diabetic mice,8,2,2,5
Carnitine palmitoyl transferase 1A deficiency in an adult with recurrent severe steato hepatitis aggravated by high pathologic or physiologic demands: A roller-coaster for internists,3,1,2,5
Hepatoprotective effect of crude polysaccharides extracted from Ganoderma lucidum against carbon tetrachloride-induced liver injury in mice,8,1,2,18
"Assessment of the lower ping river’s riverbank erosion and accretion, northern thailand using geospatial technique; implication for river flow and sediment load management",2,,1,2
A generalization of the trichotomy principle,2,,1,0
"Effects of overcrowded traffic and road construction activities in bangkok on PM2.5, PM10 and heavy metal composition",2,,1,7
Comparison between the seventh and eighth edition of the AJCC/UICC staging system for nasopharyngeal cancer integrated with pretreatment plasma Epstein-Barr virus DNA level in a non-Chinese population: Secondary analysis from a prospective randomized trial,7,0,1,7
A computational-experimental investigation on high ethylene selectivity in ethanol dehydration reaction found on WOx/ZrO2-activated carbon bi-support systems,3,1,1,6
Nonalcoholic fatty liver disease and hepatic fibrosis among perinatally HIV-monoinfected Asian adolescents receiving antiretroviral therapy,11,1,5,10
Galactomannan pentasaccharide produced from copra meal enhances tight junction integration of epithelial tissue through activation of AMPK,8,1,4,5
Gigantol targets cancer stem cells and destabilizes tumors via the suppression of the PI3K/AKT and JAK/STAT pathways in ectopic lung cancer xenografts,6,1,3,32
Measurement of the differential Drell-Yan cross section in proton-proton collisions at √s = 13 TeV,2299,1,244,35
Agreement and Precision Analyses of Various Estimated Glomerular Filtration Rate Formulae in Cancer Patients,5,1,2,21
Palm biochar-based sulphated zirconium (Zr-AC-HSO3) catalyst for methyl ester production from palm fatty acid distillate,6,1,5,10
Nitriding an oxygen-doped nanocarbonaceous sorbent synthesized via solution plasma process for improving CO2 adsorption capacity,7,1,3,6
Study of the B +→ J / ψ Λ ¯ p decay in proton-proton collisions at √s = 8 TeV,2343,1,257,6
New 3d N = 2 SCFT’s with N 3/2 scaling,4,1,3,10
Measurements of differential Z boson production cross sections in proton-proton collisions at √s = 13 TeV,2313,1,258,66
Search for anomalous triple gauge couplings in WW and WZ production in lepton + jet events in proton-proton collisions at √s = 13 TeV,2342,1,257,19
CRISPR/Cas9-mediated gene deletion of the ompA gene in symbiotic Cedecea neteri impairs biofilm formation and reduces gut colonization of Aedes aegypti mosquitoes,8,1,3,25
D-Lactic acid fermentation performance and the enzyme activity of a novel bacterium Terrilactibacillus laevilacticus SK5–6,6,1,1,11
In Reply: Protocol for Titrated Endocycloplasty When Combined with Phacoemulsification in an Exclusive Cohort of Angle Closure Glaucoma,13,0,10,0
"Oral health education improved oral health knowledge, attitudes, and plaque scores in Thai third-grade students: A randomised clinical trial",3,,1,4
"Publisher Correction: Atomistic mechanisms underlying the activation of the G protein-coupled sweet receptor heterodimer by sugar alcohol recognition (Scientific Reports, (2019), 9, 1, (10205), 10.1038/s41598-019-46668-w)",7,1,2,0
Recombinant human dentin matrix protein 1 (HDMP1) expressed in nicotiana benthamiana potentially inducesosteogenic differentiation,6,1,2,8
"Correction to: Once-Daily versus Twice Daily Tacrolimus in Kidney Transplantation: A Systematic Review and Meta-analysis of Observational Studies (Drugs, (2019), 79, 18, (1947-1962), 10.1007/s40265-019-01217-7)",5,1,5,1
Plant-produced anti-enterovirus 71 (EV71) monoclonal antibody efficiently protects mice against EV71 infection,5,1,2,22
The Causal Effect of Retirement on Health: Understanding the Mechanisms,2,0,2,12
The effect of prosthesis design on blood loss in simultaneous bilateral total knee arthroplasty: Closed-box versus open-box prosthesis,6,1,2,10
Regional variation in the treatment and prevention of peritoneal dialysis-related infections in the Peritoneal Dialysis Outcomes and Practice Patterns Study,15,2,12,48
Tropical forest soil carbon stocks do not increase despite 15 years of doubled litter inputs,11,1,7,37
"Exploring the possibility of MaaS service in Thailand, implications from the existing conditions and experts' opinions on “Who should be the MaaS provider in Bangkok?”",1,1,1,9
Indirect Sinus Augmentation with and Without the Addition of a Biomaterial: A Randomized Controlled Clinical Trial,5,1,3,12
Prospective evaluation of screening performance of first-trimester prediction models for preterm preeclampsia in an Asian population,20,0,15,76
Lupus-like Disease in FcγRIIB −/− Mice Induces Osteopenia,6,1,2,5
"A natural skin anti-ageing serum containing pseudobulb ethanolic extract of Grammatophyllum speciosum: a randomized double-blind, placebo-controlled trial",4,0,2,10
"The production of volatile fatty acids from Napier grass via an anaerobic leach bed process: The influence of leachate dilution, inoculum, recirculation, and buffering agent addition",2,1,1,11
Effect of structural individual low-fodmap dietary advice vs. Brief advice on a commonly recommended diet on ibs symptoms and intestinal gas production,4,1,2,36
Size Does Not Matter: Same-Sex Sexual Behavior Occurred Regardless of Mandible Size in Male Stag Beetle Aegus chelifer chelifer (Coleoptera: Lucanidae),3,0,1,2
Once-Daily versus Twice-Daily Tacrolimus in Kidney Transplantation: A Systematic Review and Meta-analysis of Observational Studies,5,1,5,6
A new framework to test parent-child and full sibling relationships with population substructure,3,0,6,0
Hydrothermal liquefaction of microalgae using Fe3O4 nanostructures as efficient catalyst for the production of bio-oil: Optimization of reaction parameters by response surface methodology,11,0,2,22
Quantification of enterocytozoon hepatopenaei (Ehp) in penaeid shrimps from southeast asia and latin america using taqman probe-based quantitative PCR,11,1,6,17
On Properties of t-Fuzzy Modules and Uniform t-Fuzzy Modules,2,1,1,0
Event free survival at 24 months is a strong surrogate prognostic endpoint of peripheral T cell lymphoma,21,0,13,11
Understanding of the drug resistance mechanism of hepatitis C virus NS3/4A to paritaprevir due to D168N/Y mutations: A molecular dynamics simulation perspective,4,0,2,4
Anaerobic biodegradation of trimethoprim with sulfate as an electron acceptor,9,0,6,20
Studies on Riceberry rice (Oryza sativa L.) extract on the key steps related to carbohydrate and lipid digestion and absorption: A new source of natural bioactive substances,5,1,4,18
Polypropylene Copolymer/Calcium Silicate Composites with Enhanced Mechanical Properties and Scratch Resistance,5,0,4,5
"Plumbagin inhibits cancer stem-like cells, angiogenesis and suppresses cell proliferation and invasion by targeting Wnt/β-catenin pathway in endocrine resistant breast cancer",2,0,1,30
"A nanocomposite prepared from platinum particles, polyaniline and a Ti3C2 MXene for amperometric sensing of hydrogen peroxide and lactate",6,0,3,61
"Feline bocavirus-1 associated with outbreaks of hemorrhagic enteritis in household cats: potential first evidence of a pathological role, viral tropism and natural genetic recombination",4,1,3,27
"Prolonged Effect of Zoledronic Acid on Bone Mineral Density and Turnover in HIV-Infected Adults on Tenofovir: A Randomized, Open-Label Study",8,1,5,9
Risk factors of infection-associated mortality in children with lupus nephritis in under-resourced areas,2,0,1,3
Genome sequence and phylogenetic analysis of a novel comovirus from tabasco pepper (Capsicum frutescens),3,0,3,0
Extended vs. standard-duration thromboprophylaxis in acutely ill medical patients: A systematic review and meta-analysis,6,0,5,12
Protective effect of neglected plant Diplocyclos palmatus on quorum sensing mediated infection of Serratia marcescens and UV-A induced photoaging in model Caenorhabditis elegans,8,0,4,34
Evaluation on safety and energy requirement of biodiesel production: Conventional system and microreactors,5,0,3,18
The long road to becoming a farmer: Thai agricultural students’ plans,3,0,4,8
"Serum adipokine levels, bodyweight and functional status in children with cerebral palsy",5,0,2,2
Public policy to support young farmers in Thailand,3,0,5,13
An immune gate of depression – Early neuroimmune development in the formation of the underlying depressive disorder,7,0,5,31
Optimal operation of CCHP and renewable generation-based energy hub considering environmental perspective: An epsilon constraint and fuzzy methods,6,0,4,82
Efficacy of single topical treatment of Selamectin (Revolution®) against Ancylostoma ceylanicum in experimentally infected cats,4,0,3,2
Structural and In Vitro Functional Analyses of Novel Plant-Produced Anti-Human PD1 Antibody,10,1,3,28
"Better survivals in adolescent and Young adults, compared to adults with acute lymphoblastic leukemia – A multicenter prospective registry in Thai population",15,0,8,2
"Topical 2% ketoconazole cream monotherapy significantly improves adult female acne: A double-blind, randomized placebo-controlled trial",4,0,2,4
"Tumor necrosis factor alpha (TNF-α) and its soluble receptors are associated with disability, disability progression and clinical forms of multiple sclerosis",8,0,5,24
"Functional Measures of Sarcopenia: Prevalence, and Associations with Functional Disability in 10,892 Adults Aged 65 Years and Over from Six Lower- and Middle-Income Countries",8,2,9,9
Effect of acrylonitrile content of acrylonitrile butadiene rubber on mechanical and thermal properties of dynamically vulcanized poly(lactic acid) blends,6,0,1,7
Arrhythmias in hematopoietic stem cell transplantation: A systematic review and meta-analysis,9,0,7,8
Enhanced efficacy of immersion vaccination in tilapia against columnaris disease by chitosan-coated “pathogen-like” mucoadhesive nanovaccines,10,0,2,22
Ethoxy mansonone G as an anticancer agent in estrogen receptor-positive and endocrine-resistant breast cancer,6,1,2,7
"Comparison of major depression diagnostic classification probability using the SCID, CIDI, and MINI diagnostic interviews among women in pregnancy or postpartum: An individual participant data meta-analysis",84,1,76,31
Effect of glycerol concentrations and temperatures on epidermal growth factor protein expression in preserved canine amniotic membrane,3,0,1,5
"Answer to the Letter to the Editor of V. Kumar et al. concerning ""Can standard anterior Smith–Robinson supramanubrial approach be utilized for approach down to T2 or T3?"" by Singhatanadgige W, Zebala LP, Luksanapruksa P, Riew KD [Eur Spine J (2017) 26:2357–2362]",4,0,4,0
Molecular clouds in the Cosmic Snake normal star-forming galaxy 8 billion years ago,15,2,16,52
Annealing induced a well-ordered single crystal δ-MnO2 and its electrochemical performance in zinc-ion battery,7,1,4,30
Optimal vancomycin dosing regimens for critically ill patients with acute kidney injury during continuous renal replacement therapy: A Monte Carlo simulation study,6,0,4,7
Southeast Asian Pharmacogenomics Research Network (SEAPharm): Current Status and Perspectives,27,0,17,17
The Influence of Dimethyl Sulfoxide as Electrolyte Additive on Anodic Dissolution of Alkaline Zinc-Air Flow Battery,7,1,3,64
Interleukin 17 (IL-17) manipulates mouse bone marrow- derived neutrophils in response to acute lung inflammation,4,0,2,15
"Unicentric Castleman disease, hyaline vascular variant, stromal rich, with increased plasma cells and a high level of serum IL-6: Raising the diagnostic and therapeutic issues",6,0,2,0
Lattice study of supersymmetry breaking in N=2 supersymmetric quantum mechanics,2,1,4,4
Comparative analysis of auction mechanisms and bidding strategies for P2P solar transactive energy markets,3,2,2,94
Genome-wide association study of alcohol dependence in male Han Chinese and cross-ethnic polygenic risk score comparison,13,1,9,17
Green synthesis of photomediated silver nanoprisms via a light-induced transformation reaction and silver nanoprism-impregnated bacteria cellulose films for use as antibacterial wound dressings,5,0,2,12
Silk sericin as a bio-initiator for grafting from synthesis of polylactide via ring-opening polymerization,5,0,3,13
Elastic buckling of cellular columns under axial compression,3,0,2,7
Role of Ag (0) deposited on TiO2 nanoparticles for superior photocatalytic performance induced by calcination,2,0,1,14
Role of abdominal obesity and body position in kinematics of the chest wall,4,0,1,2
Biomass derived N-doped biochar as efficient catalyst supports for CO2 methanation,10,0,3,51
Furan/thiophene-based fluorescent hydrazones as fluoride and cyanide sensors,6,0,3,20
Relationships between lower extremity strength and the multi-directional reach test in children aged 7 to 12 years,3,1,1,1
Dissolved oxygen/free ammonia (DO/FA) ratio manipulation to gain distinct proportions of nitrogen species in effluent of entrapped-cell-based reactors,3,0,3,8
Role of Clathrin Assembly Protein-2 Beta Subunit during White Spot Syndrome Virus Infection in Black Tiger Shrimp Penaeus monodon,7,1,4,5
Full-Endoscopic Interlaminar Lumbar Discectomy: Retrospective Review of Clinical Results and Complications in 545 International Patients,6,0,5,21
"Effect of packaging materials and storage time on changes of colour, phenolic content, chlorogenic acid and antioxidant activity in arabica green coffee beans (Coffea arabica L. cv. Catimor)",2,0,1,25
Three-dimensional stability analysis of the collapse pressure on flexible pavements over rectangular trapdoors,3,0,2,46
Baseline and kinetics of serum hepatitis B virus RNA predict response to pegylated interferon-based therapy in patients with hepatitis B e antigen-negative chronic hepatitis B,7,0,3,15
Impact of early antiretroviral treatment on sexual behaviour: A randomised comparison,16,1,13,2
"Sensing by wireless reading Ag/AgCl redox conversion on RFID tag: universal, battery-less biosensor design",11,1,5,19
Pharmacokinetics and pharmacodynamics of single dose of inhaled nebulized sodium nitrite in healthy and hemoglobin E/β-thalassemia subjects,11,0,3,4
Discharge performance and dynamic behavior of refuellable zinc-air battery,4,1,2,30
Incidence and risk factors of parenteral nutrition-associated liver disease in hospitalized adults: A prospective cohort study,2,0,1,8
Partial sequence analyses of exon 7 of the ABO locus of cynomolgus (Macaca fascicularis) and rhesus (M. mulatta) macaques: Indeterminate phenotypes show the presence of the O blood group,11,0,6,0
Evaluation of Microencapsulation Techniques for MICP Bacterial Spores Applied in Self-Healing Concrete,4,1,1,68
Application of Blockchain in Collaborative Internet-of-Things Services,2,0,2,103
"Distribution and diversity of benthic macroinvertebrate fauna in three repeated operating ages of the blood cockle Anadara granosa cultivation in Bandon Bay, Suratthani Province, Southern Thailand",2,1,2,2
Impairment of bone microstructure and upregulation of osteoclastogenic markers in spontaneously hypertensive rats,9,1,5,20
Early prediction of donepezil cognitive response in Alzheimer’s disease by brain perfusion single photon emission tomography,12,0,3,4
Serum SHARP1 and uterine artery Doppler for the prediction of preeclampsia,2,1,1,9
Genome and transcriptome evolve separately in recently hybridized Trichosporon fungi,5,1,5,8
Development of celecoxib eye drop solution and microsuspension: A comparative investigation of binary and ternary cyclodextrin complexes,4,0,3,23
Genome-wide analysis of the Dof gene family in durian reveals fruit ripening-associated and cultivar-dependent Dof transcription factors,5,1,1,17
Comparison Between Methotrexate and Mycophenolate Mofetil Monotherapy for the Control of Noninfectious Ocular Inflammatory Diseases,18,1,18,19
"Curcumin diethyl disuccinate, a prodrug of curcumin, enhances anti-proliferative effect of curcumin against HepG2 cells via apoptosis induction",7,1,2,25
Synthesis of Cu/TiO2 catalysts by reactive magnetron sputtering deposition and its application for photocatalytic reduction of CO2 and H2O to CH4,6,2,3,25
Decreased osteogenic activity and mineralization of alveolar bone cells from a patient with amelogenesis imperfecta and FAM83H 1261G>T mutation,6,1,3,5
Pleomorphic adenoma with bizarre myoepithelial cells: A diagnostic challenge on cytologic smear,2,0,2,2
Challenges in using topical calcineurin inhibitors as a treatment for recalcitrant oral lichen planus,1,0,1,1
Improvement of photobiological hydrogen production by suspended and immobilized cells of the N2-fixing cyanobacterium Fischerella muscicola TISTR 8215,3,0,3,15
Optimizing Vancomycin Use Through 2-Point AUC-Based Therapeutic Drug Monitoring in Pediatric Patients,9,0,3,17
Undrained stability of a spherical cavity in cohesive soils using finite element limit analysis,2,1,1,43
The simple treatment of chronic facial pain due to trigeminal neuralgia with dental occlusal equilibration,2,1,2,1
Medium-chain triglyceride ketogenic diet is effective for treatment of an adult with super-refractory status epilepticus: a case report and literature review,3,0,1,10
A mosaic hemagglutinin-based influenza virus vaccine candidate protects mice from challenge with divergent H3N2 strains,8,1,2,27
Atomistic mechanisms underlying the activation of the G protein-coupled sweet receptor heterodimer by sugar alcohol recognition,7,1,2,25
Rapid Discovery and Structure-Property Relationships of Metal-Ion Fluorescent Sensors via Macroarray Synthesis,4,1,1,6
Phosphoproteomics analysis of male and female Schistosoma mekongi adult worms,10,1,2,5
Purification and Characterization of Cellulase from Obligate Halophilic Aspergillus flavus (TISTR 3637) and Its Prospects for Bioethanol Production,9,0,4,24
Solvent extraction based reclaiming technique for the removal of heat stable salts (HSS) and neutral degradation products from amines used during the capture of carbon dioxide (CO2) from industrial flue gases,7,0,3,14
Prescription practices of anti-osteoporosis medication among Thai orthopedic surgeons (PAMOS study) in osteoporotic hip fracture,2,0,3,2
Effect of storage time on transforming growth factor beta 1 and vascular endothelial growth factor subunit A concentration in canine platelet-rich fibrin,5,0,1,1
Blockchain and Internet of Things for Modern Business Process in Digital Economy - The State of the Art,4,0,3,99
Physical and numerical studies of stability of soil blocks reinforced by brittle shear pins,4,0,4,2
Managing QoS of Internet-of-Things Services Using Blockchain,5,0,3,51
The role of GAD pathway for regulation of GABA accumulation and C/N balance in Synechocystis sp. PCC6803,2,0,3,8
Impact of botanical source and processing conditions on physicochemical properties and antioxidant activity of honey in the northern part of Thailand,3,0,1,10
δ-MnO2 nanoflower/graphite cathode for rechargeable aqueous zinc ion batteries,5,1,3,113
Efficacy of curcuminoids for reducing postoperative pain after laparoscopic gynecologic surgery: A pilot randomized trial,4,1,1,6
Inverted U-shaped response of a standardized extract of Centella asiatica (ECa 233) on memory enhancement,6,1,3,16
Sequence and expression analysis of HSP70 family genes in Artemia franciscana,7,1,3,31
