Title,affliation_country
Reference stress approach for fracture assessment of extrados circumferential through-wall crack between elbow and pipe under internal pressure,Thailand
Atmospheric water estimation using GNSS precise point positioning method,Thailand
Development of arbuscular mycorrhizal fungi-organic fertilizer pellets encapsulated with alginate film,Thailand
Cross-sectoral analysis of water usage in Thailand using input–output model,Thailand
Speculation of nano-gap sensor for DNA sequencing technology: A review on synthetic nanopores,Thailand
Peat Endogenous Lignocellulolytic Bacteria for Humic Waste Decomposition,Indonesia
Relationships between causal factors affecting future carbon dioxide output from Thailand's transportation sector under the government's sustainability policy: Expanding the SEM-VECM model,Thailand
Mechanochemical-assisted heterogeneous surface modification of parawood microcrystalline cellulose and its effect on the properties of polypropylene composites,Thailand
Sequential Fractionation of Palm Empty Fruit Bunch and Microwave-Assisted Depolymerization of Lignin for Producing Monophenolic Compounds,Thailand
Enhancement of Hydrogen Evolution Reaction Performance of Graphitic Carbon Nitride with Incorporated Nickel Boride,China
Hemostatic efficacy of sheep-derived fibrin glue for liver biopsy in swine,Thailand
"Plasmid profile of Enterococcus faecium and Enterococcus faecalis isolated from pigs, pork and humans in Thai-Laos border provinces",Myanmar
Ophthalmology Snapshot,Thailand
ECG Quiz,Thailand
Computed tomographic contrast enhancement and tumor angiogenesis in canine oral tumors,Thailand
Efficacy of different vaccination programs of recombinant HVT-NDV vaccine against genotype VII NDV Challenge in broiler chickens,Thailand
Emergence of a classical variant of porcine epidemic diarrhea virus novel to Thailand responsible for the milder clinical disease in a herd previously infected with a pandemic variant,Thailand
Comparative ultrasonographic and computed tomographic images of the adrenal glands of healthy cats,Thailand
"A preliminary study on diversity of midgut microbiota in Aedes aegypti (Linnaeus) and Culex quinquefasciatus (Say) collected from Bangkok, Thailand",Thailand
Concomitant mycotic abdominal aortic aneurysm and lumbar tuberculous spondylitis with cauda equina syndrome: a rare condition — a case report and literature review,Thailand
Predicting the present revisited: The case of Thailand,Thailand
Survival time and prognosis factors in hypertrophic cardiomyopathy cats with congestive heart failure,Thailand
"The potential use of phytoestrogen containing the herb, Pueraria mirifica, for bone healing in osteoporotic monkeys",Thailand
Dynamic symmetry breaking in sat using augmented clauses with a polynomial-time lexicographic pruning,Thailand
Approximation of positive integer in double-base number system with a single term,Thailand
"Machine learning methods for abnormality detection in hard disk drive assembly process: Bi-LSTM, Wavelet-CNN and SVM",Thailand
ALMA twenty-six arcmin2 survey of GOODS-S at one millimeter (ASAGAO): Source catalog and number counts,Japan
Message from General Chairs,Thailand
Railway network modeling using building block of timed coloured petri nets,Thailand
Refactoring orchestrated web services into microservices using decomposition pattern,Thailand
Skin Barrier Function and Atopic Dermatitis,Japan
Corundum with spinel corona from the Tan Huongtruc Lau area in Northern Vietnam,Viet Nam
Effect of food additives on the quality of white shrimp (Litopenaeus vannamei),Malaysia
High infection rate of Zika virus in mosquitoes collected from an area of active Zika virus transmission in eastern Thailand,Thailand
Antimicrobial and weed inhibitory activities of Senna spectabilis extracts against plant pathogens,Thailand
D-minimal expansions of the real field have the zero set property,United States
Current progress in production of flavonoids using systems and synthetic biology platforms,Malaysia
Mucuna pruriens seed extract promotes neurite outgrowth via ten-4 dependent and independent mechanisms in Neuro2a cells,Thailand
A study into perioperative anaesthetic adverse events in Thailand (PAAd THAI): An analysis of suspected emergence delirium,Thailand
Effect of emg biofeedback to improve hand function in children with cerebral palsy: A randomized controlled trial,Thailand
Lipschitz retractions onto sphere vs spherical cup in a hilbert space,Thailand
Mechanisms of carbapenem resistance in Acinetobacter pittii and Acinetobacter nosocomialis isolates from Thailand,Thailand
Domain rearrangement and denaturation in Ebola virus protein VP40,United States
Amyloidosis associated with long-standing enterobacter endocarditis in a dog,Thailand
A New tocopherol derivative and cytotoxicity from the leaves of dalbergia velutina,Thailand
Effecting factors of the mechanical properties of Thai Dendrocalamus gigantues bamboo,Thailand
"Role of acute kidney injury biomarkers to guide renal replacement therapy initiation, what we learn from EARLY-RRT trial and FST trial?",Thailand
Determining the amphipol distribution within membrane-protein fibre samples using small-angle neutron scattering,Thailand
Angular analysis of the decay B+ →k+μ+μ- in proton-proton collisions at s =8 TeV,Armenia
Search for pair-produced resonances decaying to quark pairs in proton-proton collisions at s =13 TeV,Armenia
Long-term effectiveness of omalizumab treatment in Thai severe asthmatic patients: A real-life experience,Thailand
Randomized comparison of caregivers' ability to use epinephrine autoinjectors and prefilled syringes for anaphylaxis,Thailand
Effects of aerobic exercise and vitamin C supplementation on rhinitis symptoms in allergic rhinitis patients,Thailand
First episode of preschool wheeze requiring hospitalization:a prospective study on the chance of recurrence and associated factors,Thailand
"Differential dendritic cell responses to cell wall mannan of Candida albicans, Candida parapsilosis, and Candida dubliniensis",Thailand
Common viral infections in kidney transplant recipients,Thailand
Event shape variables measured using multijet final states in proton-proton collisions at √s=13 TeV,Armenia
A nonrelativistic limit for AdS perturbations,Poland
Melittin induced G1 cell cycle arrest and apoptosis in Chago-K1 human bronchogenic carcinoma cells and inhibited the differentiation of THP-1 cells into tumour- associated macrophages,Thailand
Alteration of urinary neutrophil gelatinase–associated lipocalin as a predictor of tacrolimus-induced chronic renal allograft fibrosis in tacrolimus dose adjustments following kidney transplantation,Thailand
Rapid and sensitive detection of Chlamydia trachomatis sexually transmitted infections in resource-constrained settings in Thailand at the point-of-care,Thailand
The utilization of the surviving sepsis campaign care bundles in the treatment of pediatric patients with severe sepsis or septic shock in a resource-limited environment: A prospective multicenter trial,Thailand
"Real-life clinical pattern, management, and survival in Thai patients with early-stage or metastatic triple-negative breast cancer",Thailand
A robust intracellular metabolite extraction protocol for human neutrophil metabolic profiling,United Kingdom
Role of mucoprotective agents in endoscopic submucosal dissection-derived ulcers: A systematic review,Canada
GOODS-ALMA: 1.1 mm galaxy survey: I. Source catalog and optically dark galaxies,France
Complete genome analysis demonstrates multiple introductions of enterovirus 71 and coxsackievirus A16 recombinant strains into Thailand during the past decade,Thailand
Two-state co-expression network analysis to identify genes related to salt tolerance in Thai rice,Thailand
The [CII] emission as a molecular gas mass tracer in galaxies at low and high redshifts,Germany
Rice overexpressing OsNUC1-s reveals differential gene expression leading to yield loss reduction after salt stress at the booting stage,Thailand
How might normative and mimetic pressures improve local government service performance reporting?,Thailand
"The new 4th edition World Health Organization classification for thyroid tumors, Asian perspectives",Japan
The coexistence of Cushing syndrome and gynecomastia as the manifestations of adrenocortical carcinoma,Thailand
Genetic diversity and relationships among Lyle's flying fox colonies in Thailand,Thailand
Improving Thai word and sentence segmentation using linguistic knowledge,Japan
Baseline atrial fibrillation is associated with contrast-induced nephropathy after cardiac catheterization in coronary artery disease: Systemic review and meta-analysis,United States
Extraction of Trend Keywords and stop words from Thai Facebook pages using character n-Grams,Thailand
Numerical data on the shear stress distribution generated by a rotating rod within a stationary ring over a 35-mm cell culture dish,Thailand
Adjunctive Use of Cidofovir and Intravenous Immunoglobulin to Treat Invasive Adenoviral Disease in Solid Organ Transplant Recipients,United States
"Two regulators, PA3898 and PA2100, modulate the pseudomonas aeruginosa multidrug resistance MexAB-OprM and EmrAB efflux pumps and biofilm formation",United States
Low-density lipoprotein cholesterol target attainment in patients with stable or acute coronary heart disease in the Asia-Pacific region: results from the Dyslipidemia International Study II,Singapore
"Data analysis of the U–Pb geochronology and Lu–Hf system in zircon and whole-rock Sr, Sm–Nd and Pb isotopic systems for the granitoids of Thailand",Australia
Cell wall mannan of Candida krusei mediates dendritic cell apoptosis and orchestrates Th17 polarization via TLR-2/MyD88-dependent pathway,Thailand
Relations between cardinalities of the finite sequences and the finite subsets of a set,Thailand
AFOMP policy number 6: code of ethics for medical physicists in AFOMP Countries,New Zealand
New application of dynamic magnetic resonance imaging for the assessment of deglutitive tongue movement,Japan
The Effect of a Brief HIV Prevention Program on Risk Reduction Behaviors Among Thai Men Diagnosed With Sexually Transmitted Infections,Thailand
Impact of AlCl3 and FeCl2 Addition on Catalytic Behaviors of TiCl4/MgCl2/THF Catalysts for Ethylene Polymerization and Ethylene/1-Hexene Copolymerization,Thailand
Vonoprazan versus proton-pump inhibitors for gastric endoscopic submucosal dissection-induced ulcers: A systematic review and meta-analysis,United States
Cardol triene inhibits dengue infectivity by targeting kl loops and preventing envelope fusion,Thailand
The metal kiln with heat distribution pipes for high quality charcoal and wood vinegar production,Thailand
"Major depression model induced by repeated and intermittent lipopolysaccharide administration: Long-lasting behavioral, neuroimmune and neuroprogressive alterations",Brazil
"Metal accumulation in the marine bivalve, Marcia optima collected from the coastal area of Phuket Bay, Thailand",Thailand
Incorporation of 13 C-HCO 3 − by ammonia-oxidizing archaea and bacteria during ammonia oxidation of sludge from a municipal wastewater treatment plant,Thailand
Effects of varying soil and atmospheric water deficit on water use characteristics of tropical street tree species,Thailand
"The benefits of angiotensin-converting enzyme inhibitors/angiotensin II receptor blockers combined with calcium channel blockers on metabolic, renal, and cardiovascular outcomes in hypertensive patients: a meta-analysis",Thailand
Comparison between digital image analysis and visual assessment of immunohistochemical HER2 expression in breast cancer,Thailand
Chitosan-based nanoparticles with damnacanthal suppress CRM1 expression,South Korea
Evaluation of Plasmodium vivax isolates in Thailand using polymorphic markers Plasmodium merozoite surface protein (PvMSP) 1 and PvMSP3,Thailand
Detection of host pathways universally inhibited after Plasmodium yoelii infection for immune intervention,United States
Classification of unusual insertion of the pectoralis minor muscle,South Korea
Scaling laws for static displacement of linearly elastic cracked beam by energy method,Thailand
Data in support of photosynthetic responses in a chromosome segment substitution line of ‘Khao Dawk Mali 105’ rice at seedling stage,Thailand
"Inflammatory reaction, clinical efficacy, and safety of bacterial cellulose wound dressing containing silk sericin and polyhexamethylene biguanide for wound treatment",Thailand
Caring for Thai Older Persons With Long-Term Care Needs,United States
Facilitated transport of cadmium with montmorillonite KSF colloids under different pH conditions in water-saturated sand columns: Experiment and transport modeling,Thailand
"Adaptive effect of sericin on hepatic mitochondrial conformation through its regulation of apoptosis, autophagy and energy maintenance: a proteomics approach",Thailand
Discharge Performance of Zinc-Air Flow Batteries Under the Effects of Sodium Dodecyl Sulfate and Pluronic F-127,Thailand
Influence of anisotropic properties on vertical vibrations of circular foundation on saturated elastic layer,Thailand
Generation and characterization of hepatocellular carcinoma cell lines with enhanced cancer stem cell potential,Germany
Evaluation of different pretreatments of Napier grass for enzymatic saccharification and ethanol production,Taiwan
Biofuel production via the pyrolysis of sugarcane (Saccharum officinarum L.) leaves: Characterization of the optimal conditions,Thailand
Is the occiput-wall distance valid and reliable to determine the presence of thoracic hyperkyphosis?,Thailand
Optimization of process parameters using response surface methodology for Pd(II) extraction with quaternary ammonium salt from chloride medium: kinetic and thermodynamics study,Thailand
Loss of Gsα in osteocytes leads to osteopenia due to sclerostin induced suppression of osteoblast activity,United States
Intracatheter Antifungal Lock Leading to Detrimental Complications,Thailand
Optimization of exposure parameters in dental cone beam computed tomography using a 3-step approach,Thailand
Distinctive features of low-grade myofibroblastic sarcoma on aspiration cytology: A case report,Thailand
A randomized trial of low-dose gabapentin for post hospitalization relapse prevention in a Thai clinical sample of alcohol dependence,Thailand
Three-dimensional lower bound finite element limit analysis of Hoek-Brown material using semidefinite programming,Thailand
Clinical and functional studies of two novel variants in the LPL gene in subjects with severe hypertriglyceridemia,Thailand
Topical drug delivery to the posterior segment of the eye: The effect of benzalkonium chloride on topical dexamethasone penetration into the eye in vivo,Iceland
"Effect of pressure on the structure stability, electronic structure and band gap engineering in Zn16O1S15",Thailand
Co-overexpression of native phospholipid-biosynthetic genes plsX and plsC enhances lipid production in Synechocystis sp. PCC 6803,Thailand
Two host gut-derived lactic acid bacteria activate the proPO system and increase resistance to an AHPND-causing strain of Vibrio parahaemolyticus in the shrimp Litopenaeus vannamei,Thailand
Improved Survival of Elderly-fit Patients With Acute Myeloid Leukemia Requiring Intensive Therapy: 3-Year Multicenter Analysis From TALWG,Thailand
Changes of cardiac function in diabetic dogs,Thailand
Quinolone-resistant phenotype of Flavobacterium columnare isolates harbouring point mutations both in gyrA and parC but not in gyrB or parE,Thailand
Mechanistic aspect based on the role of reactive oxidizing species (ROS) in macroscopic level on the glycerol photooxidation over defected and defected-free TiO2,Thailand
The crucial role of density functional nonlocality and on-axis CH3NH3 rotation induced I2 formation in hybrid organic-inorganic CH3NH3PbI3 cubic perovskite,Thailand
High tissue eosinophilia as a marker to predict recurrence for eosinophilic chronic rhinosinusitis: a systematic review and meta-analysis,Canada
Constitutive equations for vertical upward two-phase flow in rod bundle,United States
"Serological evidence of duck Tembusu virus infection in free-grazing ducks, Thailand",Thailand
Evaluation of dielectric cure monitoring for in situ measurement of natural rubber vulcanization,Thailand
A spectroscopic study of indigo dye in aqueous solution: A combined experimental and TD-DFT study,Thailand
"Permian–Triassic back-arc basin development in response to Paleo-Tethys subduction, Sa Kaeo–Chanthaburi area in Southeastern Thailand",Japan
Ultrasound evaluation of arterial anastomosis of the forehead,Thailand
Factorizable non-atomic copulas,Thailand
Characterization of N-type and P-type Aluminum Antimonides on Si substrates for room-temperature optoelectronic devices,Thailand
Cortical Bone Loss in a Spontaneous Murine Model of Systemic Lupus Erythematosus,Thailand
Cytotoxicity against cancer cells of chitosan oligosaccharides prepared from chitosan powder degraded by electrical discharge plasma,Thailand
Inhibition of amyloid fibril formation in the variable domain of λ6 light chain mutant Wil caused by the interaction between its unfolded state and epigallocatechin-3-O-gallate,Japan
Measurement of ballistic impact performance of fiber reinforced polybenzoxazine/polyurethane composites,Thailand
Development of a high throughput yeast-based screening assay for human carbonic anhydrase isozyme II inhibitors,Thailand
Nephrology nurses' perceptions of discussing sexual health issues with patients who have end-stage kidney disease,Thailand
Effects of decongestant addition to intranasal corticosteroid for chronic rhinitis: a systematic review and meta-analysis,Thailand
Simultaneous assessment of various quality attributes and shelf life of packaged bratwurst using hyperspectral imaging,Thailand
Finite element modelling of flexural behaviour of geosynthetic cementitious composite mat (GCCM),Thailand
Chitosan/alginate nanoparticles as a promising approach for oral delivery of curcumin diglutaric acid for cancer treatment,Thailand
Ethanol as an electrolyte additive for alkaline zinc-air flow batteries,Thailand
Environmental risk factors and nonpharmacological and nonsurgical interventions for obesity: An umbrella review of meta-analyses of cohort studies and randomized controlled trials,Italy
A colorimetric paper-based analytical device coupled with hollow fiber membrane liquid phase microextraction (HF-LPME) for highly sensitive detection of hexavalent chromium in water samples,Thailand
Detection of Aujeszky's disease virus DNA and antibody in swine oral fluid specimens,Thailand
"Acemannan increased bone surface, bone volume, and bone density in a calvarial defect model in skeletally-mature rats",Thailand
Transcriptional and post-transcriptional regulation of PenA β-lactamase in acquired Burkholderia pseudomallei β-lactam resistance,United States
A fluorometric paper-based sensor array for the discrimination of volatile organic compounds (VOCs) with novel salicylidene derivatives,Thailand
GRAMD1B regulates cell migration in breast cancer cells through JAK/STAT and Akt signaling,Singapore
Metabolic variation in the pulps of two durian cultivars: Unraveling the metabolites that contribute to the flavor,Thailand
"A comparative study of mango seed kernel starches and other commercial starches: the contribution of chemical fine structure to granule crystallinity, gelatinization, retrogradation, and pasting properties",Thailand
Investigation of benzylisoquinoline alkaloid biosynthetic pathway and its transcriptional regulation in lotus,China
"An α-1,6-and α-1,3-linked glucan produced by Leuconostoc citreum ABK-1 alternansucrase with nanoparticle and film-forming properties",Thailand
Late Presentation of Anomalous Origin of the Right Pulmonary Artery,Thailand
Cypripedin diminishes an epithelial-to-mesenchymal transition in non-small cell lung cancer cells through suppression of Akt/GSK-3β signalling,Thailand
Genome-wide association study identified new susceptible genetic variants in HLA class i region for hepatitis B virus-related hepatocellular carcinoma,Japan
The Influence of Nonionic Surfactant Adsorption on Enzymatic Hydrolysis of Oil Palm Fruit Bunch,Thailand
"Evaluation of FOCEI and SAEM Estimation Methods in Population Pharmacokinetic Analysis Using NONMEM ® Across Rich, Medium, and Sparse Sampling Data",Thailand
Yttrium (III) Recovery with D2EHPA in Pseudo-Emulsion Hollow Fiber Strip Dispersion System,Thailand
Relativistic finite-difference time-domain analysis of high-speed moving metamaterials,Thailand
Novel canine circovirus strains from Thailand: Evidence for genetic recombination,Thailand
Identification of the effector domain of biglycan that facilitates BMP-2 osteogenic function,Thailand
Screening cyanobacteria from marine coastal waters of Thailand for biohydrogen production,Thailand
"A randomized, double-blind, placebo-controlled trial on the efficacy of ginger in the prevention of abdominal distention in post cesarean section patients",Thailand
Prevalence and risk factors of depression among Indonesian elderly: A nursing home-based cross-sectional study,Thailand
"MitoQ supplementation prevent long-term impact of maternal smoking on renal development, oxidative stress and mitochondrial density in male mice offspring",Australia
Bio-composite hydrogels of cellulose and vulcanized natural rubber with nanointerconnected layers for reinforced water-retaining materials,Japan
Genetic homogeneity of goat malaria parasites in Asia and Africa suggests their expansion with domestic goat host,Thailand
Cyperenoic acid suppresses osteoclast differentiation and delays bone loss in a senile osteoporosis mouse model by inhibiting non-canonical NF-κB pathway,Thailand
The Compensatory Immune-Regulatory Reflex System (CIRS) in Depression and Bipolar Disorder,Thailand
Structural prediction of host-guest structure in lithium at high pressure,Thailand
The Endoplasmic Reticulum Stress Response in Neuroprogressive Diseases: Emerging Pathophysiological Role and Translational Implications,United Kingdom
"Analysis of the complete mitochondrial genome of the giant honeybee, Apis dorsata, (Hymenoptera: Apidae) in Thailand",Japan
"Polygonumins A, a newly isolated compound from the stem of Polygonum minus Huds with potential medicinal activities",Malaysia
The High-Pressure Superconducting Phase of Arsenic,Thailand
The model of circulating immune complexes and interleukin-6 improves the prediction of disease activity in systemic lupus erythematosus,Thailand
"Oxidized Carbon Black: Preparation, Characterization and Application in Antibody Delivery across Cell Membrane",Thailand
One-pot synthesis of wormhole-like mesostructured silica with a high amine loading for enhanced adsorption of clofibric acid,Thailand
Intelligent monitoring and prediction of tool wear in CNC turning by utilizing wavelet transform,Thailand
Rare zooxanthellate Nanipora octocoral (Helioporacea) in the Gulf of Thailand,Thailand
THE great transition: Implications from environmental policy for the quality-quantity trade-off in children-rearing,Thailand
"An integrative identification guide to the Hydrozoa (Cnidaria) of Bocas del Toro, Panama",United States
Factors associated with death acceptance among thai patients with advanced cancer,Thailand
Clinical and laboratory diagnosis of TTP: An integrated approach,Thailand
Regulation of periostin expression by Notch signaling in hepatocytes and liver cancer cell lines,Thailand
Evidence for the Associated Production of a Single Top Quark and a Photon in Proton-Proton Collisions at s =13 TeV,Armenia
Analysis of socioeconomic and behavioral factors influencing participation in community-based recycling program: A case of peri-urban town in Thailand,Thailand
Nanomaterial-incorporated nanofiltration membranes for organic solvent recovery,Thailand
Zeolite-based mixed matrix membranes for hazardous gas removal,Thailand
A Direct Load Control Algorithm for Air Conditioners Concerning Customers' Comfort,Thailand
Development of Smart Water Heater Complied with MQTT and ECHONET Lite Protocols,Thailand
Baseline Calculation of Industrial Factories for Demand Response Application,Thailand
Development of a Gateway for OpenADR-ECHONET Lite Protocols with Raspberry Pi Board,Thailand
Thin cloud removal using local minimization and logarithm image transformation in HSI color space,Thailand
"Diplazium thailandicum (Athyriaceae), a new fern from Thailand",Thailand
Magnetization of NdFeB Permanent Magnet Considering Demagnetization Effect,Thailand
Demonstration of Photovoltaic Effects in Hybrid Type-I InAs/GaAs Quantum Dots and Type-II GaSb/GaAs Quantum Dots,Thailand
Liquid-Phase Sintering and Properties of PIMed 10-20 vol.% SiCp-Reinforced Aluminium Composites,Thailand
Discovery and Characterization of Cyclotides from Rinorea Species,Australia
"Global identity, perceptions of luxury value and consumer purchase intention: a cross-cultural examination",United States
A novel paper-based colorimetry device for the determination of the albumin to creatinine ratio,Thailand
Deep Learning for Stock Market Prediction Using Event Embedding and Technical Indicators,Thailand
Concurrent Starbursts in Molecular Gas Disks within a Pair of Colliding Galaxies at z = 1.52,Japan
Microbial and small eukaryotes associated with reefs in the upper Gulf of Thailand,Thailand
Computational screening of fatty acid synthase inhibitors against thioesterase domain,Thailand
Combination of three-dimensional ultrasound measurement of foetal adrenal gland enlargement and placental alpha microglobulin-1 for the prediction of the timing of delivery within seven days in women with threatened preterm labour and preterm labour,Thailand
A new 4-arylflavan from the pericarps of Horsfieldia motleyi displaying dual inhibition against α-glucosidase and free radicals,Thailand
Shrink sleeve labelling on aluminium can implement for air freshener product,Thailand
Application of design of experiments for industrial paint production process improvement,Thailand
Collaborative product development project selection from supply chain integration,Thailand
Solving cockpit crew scheduling problem of a low-cost airline using metaheuristics,Thailand
Titanium nitride promoted Ni-based SBA-15 catalyst for dry reforming of methane,Thailand
Recent developments in bifunctional air electrodes for unitized regenerative proton exchange membrane fuel cells – A review,Thailand
Compatibility of banana starch nanocrystals/poly(butylene succinate) bio-nanocomposite packaging films,Thailand
"One pot preparation of chitosan/hyaluronic acid-based triple network hydrogel via in situ click reaction, metal coordination and polyion complexation in water",Thailand
"Ceropegia foetidiflora sp. Nov. (Asclepiodoideae, Apocynaceae), a new species from northeastern Thailand",Thailand
Comparative effectiveness of anti-viral drugs with dual activity for treating hepatitis B and HIV co-infected patients: A network meta-analysis,Malaysia
The Molecular Gas Content and Fuel Efficiency of Starbursts at z ∼ 1.6 with ALMA,Japan
Thai defamatory text classification on social media,Thailand
Optical Properties of Individual Aragonite Plates from Nacre,Japan
Factors influencing the quality of life among Indonesian elderly: A nursing home-based cross-sectional survey,Indonesia
Health and disease concepts: an approach to health development,Thailand
Developement of Composite Armors Using Natural Rubber Reinforced with Steel Wire Mesh for Ballistic Resistance,Thailand
"Examining the relationships between HR practices, organizational job embeddedness, job satisfaction, and quit intention: Evidence from Thai accountants",Thailand
Investigation of instructional design on reading comprehension affect the demand for mobile application for students with learning disabilities,Thailand
Comparison of perceived waiting time between two lengths of progress indicator and two styles of graphics animation with perceived uncertainty as a covariate,Thailand
Detecting points of interest in a city from taxi GPS with adaptive DBSCAN,Thailand
Results of a real-world study on vortioxetine in patients with major depressive disorder in South East Asia (REVIDA),Malaysia
1H NMR Metabolomics Identifies Underlying Inflammatory Pathology in Osteoarthritis and Rheumatoid Arthritis Synovial Joints,United Kingdom
Correlation of plasma microRNA-21 expression and bone turnover markers in postmenopausal women,Thailand
Integration of the biorefinery concept for the development of sustainable processes for pulp and paper industry,Thailand
The impact of cigarette smoking on healthcare utilization among rural residents in China,Thailand
Study of nonionic surfactants on HVOCs removal from coacervate solutions using cocurrent vacuum stripping in a packed column,Thailand
"Caloinophyllin A, a new chromanone derivative from Calophyllum inophyllum roots",Thailand
Teacher development in rural China: how ineffective school leadership fails to make a difference,China
"Comparison of Anterior Segment Parameters among Koreans, Chinese, and White Persons",United States
