Title,ref_count,Author_count,Subject_area_count,Unique_affiliations_count,Open_access,subtype,Cite_count
HPV16 E1 dysregulated cellular genes involved in cell proliferation and host DNA damage: A possible role in cervical carcinogenesis,43,4,1,2,1,ar,2
Accuracy assessment of integrated GNSS measurements with LIDAR mobile mapping data in urban environments,7,3,4,2,1,cp,2
Sinovac COVID-19 vaccine–induced cutaneous leukocytoclastic vasculitis,7,2,1,2,1,ar,17
Mental health among Thai medical students: Preadmission evaluation and service utilization,36,2,1,1,1,ar,3
Safety of the second dose of the ChAdOx1 nCoV-19 vaccine in people with persistent anti–platelet factor 4 antibodies,2,10,1,1,1,le,2
Overview of quartz crystal microbalance behavior analysis and measurement,82,2,2,2,1,re,20
An applying colored petri net for computerized accounting system and ledger accounts instruction,27,4,2,2,1,ar,1
Finite element analysis of glass fiber-reinforced polymer-(Gfrp) reinforced continuous concrete beams,34,6,2,5,1,ar,6
In vitro synergism of azithromycin combination with antibiotics against oxa-48-producing klebsiella pneumoniae clinical isolates,48,3,6,1,1,ar,4
Biological Functions and Activities of Rice Bran as a Functional Ingredient: A Review,132,3,3,1,1,re,23
Application of artificial intelligence in non-alcoholic fatty liver disease and liver fibrosis: a systematic review and meta-analysis,50,4,1,3,1,re,11
A scientometric assessment of agri-food technology for research activity and productivity,71,4,5,1,1,ar,3
Experimental study on the behavior of steel–concrete composite decks with different shear span-to-depth ratios,36,8,3,4,1,ar,7
"Lactobacillus rhamnosus attenuates Thai chili extracts induced gut inflammation and dysbiosis despite capsaicin bactericidal effect against the probiotics, a possible toxicity of high dose capsaicin",93,8,1,2,1,ar,25
Application of essential oils for maintaining postharvest quality of ‘rongrien’ rambutan fruit,27,2,3,2,1,ar,2
Search for a heavy resonance decaying to a top quark and a W boson at √s = 13 TeV in the fully hadronic final state,63,2324,1,272,1,ar,4
Exploring moocs that promote innovative public services,52,4,5,3,1,ar,1
Pre- and post-fire mechanical performances of high calcium fly ash geopolymer concrete containing granite waste,69,6,5,1,0,ar,16
Gaucher disease: clinical phenotypes and refining GBA mutational spectrum in Thai patients,23,12,2,9,1,ar,4
"Detachable dissolvable microneedles: intra-epidermal and intradermal diffusion, effect on skin surface, and application in hyperpigmentation treatment",68,10,1,3,1,ar,5
Transformer-based decoder designs for semantic segmentation on remotely sensed images,43,5,1,3,1,ar,15
Nucleic acid vaccines and CpG oligodeoxynucleotides for allergen immunotherapy,46,1,1,1,0,re,6
Applying cassava stems biochar produced from agronomical waste to enhance the yield and productivity of maize in unfertile soil,86,2,3,2,1,ar,3
Lacticaseibacillus casei Strain T21 Attenuates Clostridioides difficile Infection in a Murine Model Through Reduction of Inflammation and Gut Dysbiosis With Decreased Toxin Lethality and Enhanced Mucin Production,73,6,2,2,1,ar,10
Investigating the role of the carbon storage regulator A (CsrA) in Leptospira spp.,90,6,1,3,1,ar,4
The role of viral marketing in social media on brand recognition and preference,67,2,1,2,1,ar,2
Erratum: Complete genome sequences of mycobacterium farcinogenes strains isolated from clinical specimens from patients in Thailand (Microbiology Resource Announcements (2021) 10:46 (e01005-21) DOI: 10.1128/MRA.01005-21),,5,3,2,1,er,0
Strength enhancement of interlocking hollow brick masonry walls with low-cost mortar and wire mesh,37,7,5,6,1,ar,2
New landscape of data and sustainable development in Asia,12,3,3,3,0,ar,0
Sensitivity and specificity of anti-double-stranded RNA immunofluorescence for universal detection of viral infection in respiratory specimens,21,6,1,4,1,ar,1
Organization benefit as an outcome of organizational security adoption: The role of cyber security readiness and technology readiness,97,5,8,2,1,ar,3
"The effects of the modified transtheoretical theory of stress and coping (TTSC) program on dementia caregivers’ knowledge, burden, and quality of life",40,2,3,1,1,ar,0
Asia pacific stroke organization,2,6,3,6,1,ar,1
Optimization of loading condition for maxillary molar intrusion with midpalatal miniscrews by using finite element analysis,43,5,6,2,1,ar,1
Intermodulation distortions from an array of active nonlinear oscillators,35,5,4,1,0,ar,0
"Evaluation of regulating and provisioning services provided by a park designed to be resilient to climate change in bangkok, Thailand",70,6,5,3,1,ar,10
COVID-19 experience transforming the protective environment of office buildings and spaces,149,3,9,1,1,ar,2
Two or four injections of platelet-rich plasma for osteoarthritic knee did not change synovial biomarkers but similarly improved clinical outcomes,38,12,1,2,1,ar,8
Reheating after inflation by supersymmetry breaking,21,4,2,3,1,ar,3
Awareness and perspectives among asian anesthesiologists on postoperative delirium: A multinational survey,33,10,1,9,1,ar,0
Extensive Lensing Survey of Optical and Near-infrared Dark Objects (El Sonido): HST H-faint Galaxies behind 101 Lensing Clusters,128,25,2,26,1,ar,10
"Chikungunya virus infection: molecular biology, clinical characteristics, and epidemiology in Asian countries",226,4,6,2,1,re,21
Evaluation of Elafin as a Prognostic Biomarker in Acute Graft-versus-Host Disease: M. G. Zewde et al,27,32,5,20,1,ar,9
Genetic population of Plasmodium knowlesi during pre-malaria elimination in Thailand,41,10,2,4,1,ar,1
"Effect of ultra-high-molecular-weight molecular chains on the morphology, crystallization, and mechanical properties of polypropylene",56,11,2,3,1,ar,11
Effect of needle sizes 30 G and 32 G on skin penetration force in cadavers: Implications for pain perception and needle change during botulinum toxin injections,4,4,1,3,1,le,1
Recent developments in magnetic nanoparticles and nano-composites for wastewater treatment,183,9,4,7,0,ar,27
Autism-related transcription factors underlying the sex-specific effects of prenatal bisphenol a exposure on transcriptome-interactome profiles in the offspring prefrontal cortex,189,8,7,4,1,ar,12
Long-term specific IgG response to SARS-CoV-2 nucleocapsid protein in recovered COVID-19 patients,28,23,1,7,1,ar,22
The effects of oral Aloe vera on the efficacy of transplanted human endothelial cells and the expression of matrix metalloproteinases in diabetic wound healing,43,5,1,1,1,ar,3
Training of psychiatry and mental health in a low- and middle-income country: Experience from Thailand before and after COVID-19 outbreak,19,2,1,2,2,ar,2
First record of non-flying mammalian contributors to pollination in a tropical montane forest in Asia,41,7,3,6,1,ar,1
Pongamol inhibits epithelial to mesenchymal transition through suppression of FAK/Akt-mTOR signaling,41,3,2,1,0,ar,3
"Phase II, Randomized Study of Spartalizumab (PDR001), an Anti-PD-1 Antibody, versus Chemotherapy in Patients with Recurrent/Metastatic Nasopharyngeal Cancer",41,26,1,21,1,ar,23
Pressure Support versus Spontaneous Ventilation during Anesthetic Emergence - Effect on Postoperative Atelectasis: A Randomized Controlled Trial,46,7,1,2,1,ar,15
Seroprevalence and incidence of hepatitis A in Southeast Asia: A systematic review,70,8,1,6,1,re,2
"Asplenium appressifolium (Aspleniaceae), a new species from Thailand",27,2,2,2,0,ar,0
Growth-climate relationships and long-term growth trends of the tropical forest tree choerospondias axillaris (Anacardiaceous) in east-central Thailand,60,13,1,10,1,ar,3
What is the risk of intraoperative cerebral oxygen desaturation in patients undergoing shoulder surgery in the beach chair position?,27,3,2,1,1,ar,4
Impacts of blended bombyx mori silk fibroin and recombinant spider silk fibroin hydrogels on cell growth,33,8,2,2,1,ar,7
Supercritical reaction between methanol and glycerol: The effects of reaction products on biodiesel properties,32,4,4,2,1,ar,7
Anisotropic silver nanoparticles gel exhibits antibacterial action and reduced scar formation on wounds contaminated with methicillin-resistant staphylococcus pseudintermedius (Mrsp) in a mice model,54,7,2,2,1,ar,4
In vivo biocompatible self-assembled nanogel based on hyaluronic acid for aqueous solubility and stability enhancement of asiatic acid,58,7,2,3,1,ar,4
Safety of PRRSV-2 MLV vaccines administrated via the intramuscular or intradermal route and evaluation of PRRSV transmission upon needle-free and needle delivery,60,4,1,1,1,ar,9
Porous electrodeposited cu as a potential electrode for electrochemical reduction reactions of co2,38,6,6,2,1,ar,2
Multifunctional polymeric nanogels for biomedical applications,104,4,4,2,1,re,15
Association between daily niacin intake and glaucoma: National health and nutrition examination survey,59,4,2,4,1,ar,6
Limited protection of inactivated SARS-CoV-2 vaccine against wild-type strain and variants of concern,5,16,3,4,1,ar,10
Enhanced energy recovery from food waste by co-production of bioethanol and biomethane process,57,4,3,2,1,ar,10
Patterns and outcomes of immune-related adverse events in solid tumor patients treated with immune checkpoint inhibitors in Thailand: a multicenter analysis,27,5,3,3,1,ar,7
"Related health risk assessment of exposure to arsenic and some heavy metals in gold mines in Banmauk Township, Myanmar",96,4,1,2,1,ar,13
"Klebsiella pneumoniae complex harboring mcr‐1, mcr‐7, and mcr‐8 isolates from slaughtered pigs in thailand",51,8,3,5,1,ar,14
Synergistic effect of starch/polyvinyl alcohol/citric acid films decorated with in-situ green-synthesized nano silver on bioactive packaging films,54,6,4,5,0,ar,15
"COVID-19 vaccine acceptance, hesitancy, and determinants among physicians in a university-based teaching hospital in Thailand",29,7,1,2,1,ar,31
Alteration of extracellular matrix components in the anterior pituitary gland of neonatal rats induced by a maternal bisphenol a diet during pregnancy,35,6,7,4,1,ar,1
Cross-regulation of notch/AKT and serum/glucocorticoid regulated kinase 1 (SGK1) in IL-4-stimulated human macrophages,43,2,3,3,0,ar,1
Changing look AGN Mrk 590: Broad-line region and black hole mass from photometric reverberation mapping,65,12,2,9,2,ar,1
Acute coronary syndrome with non-obstructive coronary arteries (ACS-NOCA) in patients with hypertrophic cardiomyopathy,35,6,1,2,1,ar,5
Food allergy across the globe,172,37,2,37,2,re,63
Evolution of multidrug resistance in plasmodium falciparum: A longitudinal study of genetic resistance markers in the greater mekong subregion,34,31,3,11,1,ar,10
MILITARY POWER DOES NOT DENOTE CAPACITY: The Contest for World Domination,118,1,1,1,0,ar,1
Vascular pythiosis caused by Pythium aphanidermatum: the first case report in Asia,12,7,1,3,1,ar,4
A critical review on second- and third-generation bioethanol production using microwaved-assisted heating (MAH) pretreatment,141,10,1,10,0,ar,27
Thromboembolic and hemorrhagic risks after vaccination against SARS-CoV-2: a systematic review and meta-analysis of randomized controlled trials,32,4,1,1,1,ar,13
"Gymnema wiyadae (Apocynaceae: Asclepiadoideae), a new species from eastern Thailand",15,1,2,1,0,ar,0
GRP78/BiP determines senescence evasion cell fate after cisplatin-based chemotherapy,58,8,1,5,1,ar,4
A simple method for estimating the Lorenz curve,36,2,5,2,1,ar,8
"Author Correction: Women and other risk factors for chronic kidney disease of unknown etiology in Thailand: National Health Examination V Survey (Scientific Reports, (2021), 11, 1, (21366), 10.1038/s41598-021-00694-9)",,8,1,5,1,er,0
Effects of tube potential selection together with computed tomography automatic tube current modulation on CT imaging performance,47,3,2,3,0,ar,3
Computational redesign of Fab CC12.3 with substantially better predicted binding affinity to SARS-CoV-2 than human ACE2 receptor,61,3,1,1,1,ar,2
Implementation of Seismic Ground Response Analysis in Estimating Liquefaction Potential in Northern Thailand,30,2,1,2,0,ar,5
Definitions of acute renal dysfunction: an evolving clinical and biomarker paradigm,29,4,1,6,0,re,8
Rapid characterization of feline leukemia virus infective stages by a novel nested recombinase polymerase amplification (RPA) and reverse transcriptase-RPA,45,3,1,1,1,ar,6
"Efficacy and safety of weekly paclitaxel with or without ramucirumab as second-line therapy for the treatment of advanced gastric or gastroesophageal junction adenocarcinoma (RAINBOW-Asia): a randomised, multicentre, double-blind, phase 3 trial",30,17,2,15,0,ar,29
A comparison of efficiency and safety between dual and triple immunosuppressive regimens in pediatric living donor liver transplantation at King Chulalongkorn Memorial Hospital,13,6,2,2,1,ar,0
Identification of Highly Potent α-Glucosidase Inhibitors from Artocarpus integer and Molecular Docking Studies,40,11,5,9,0,ar,3
One-pot upgrading of coconut coir lignin over high-efficiency Ni2P catalysts,37,10,4,6,0,ar,4
"Effectiveness of mobile application on changing weight, healthy eating habits, and quality of life in children and adolescents with obesity: a randomized controlled trial",39,5,1,2,1,ar,5
Use of Microbially Induced Calcite Precipitation for Soil Improvement in Compacted Clays,57,5,2,2,0,ar,16
Solidification of Sediments Deposited in Reservoirs with Cement and Fly Ash for Road Construction,42,6,2,4,0,ar,16
Global diversity of the gene encoding the Pfs25 protein—a Plasmodium falciparum transmission-blocking vaccine candidate,96,9,2,2,1,ar,3
A new cluster of rhabdovirus detected in field-caught sand flies (Diptera: Psychodidae: Phlebotominae) collected from southern Thailand,50,4,2,2,1,ar,2
Novel colistin-EDTA combination for successful eradication of colistin-resistant Klebsiella pneumoniae catheter-related biofilm infections,50,24,1,15,1,ar,11
"Effects of pyrrolidine on methane hydrate formation: Thermodynamic, kinetic, and morphology perspectives",60,5,3,1,0,ar,6
"Multidrug-resistant Neisseria gonorrhoeae infection in heterosexual men with reduced susceptibility to ceftriaxone, first report in Thailand",54,18,1,17,1,ar,20
Use of ozone for Vibrio parahaemolyticus inactivation alongside nitrification biofilter treatment in shrimp-rearing recirculating aquaculture system,46,7,4,2,0,ar,5
The chemotherapeutic drug carboplatin affects macrophage responses to LPS and LPS tolerance via epigenetic modifications,47,6,1,2,1,ar,4
Factors affecting optimal antenatal care utilization in Indonesia: implications for policies and practices,31,7,2,5,0,ar,2
