Title,Author_count,Open_access,Unique_affiliations_count,cite_count
Shared metabolic and neuroimmune mechanisms underlying Type 2 Diabetes Mellitus and Major Depressive Disorder,6,0,9,17
Translational evidence for the Inflammatory Response System (IRS)/Compensatory Immune Response System (CIRS) and neuroprogression theory of major depression,3,0,5,19
The Development of Architectural Education in Thailand under the ASEAN Community,5,,2,0
Liver- and Spleen-Specific Immune Responses in Experimental Leishmania martiniquensis Infection in BALB/c Mice,8,1,4,1
Intermittent Fasting and Obesity-Related Health Outcomes: An Umbrella Review of Meta-analyses of Randomized Clinical Trials,9,1,8,68
Tropical Pacific Forcing of Hydroclimate in the Source Area of the Yellow River,9,0,6,6
Determination of Kinetic Parameters for CO2 Methanation (Sabatier Reaction) over Ni/ZrO2 at a Stoichiometric Feed-Gas Composition under Elevated Pressure,10,0,4,10
Brief Report: HCV Universal Test-and-Treat With Direct Acting Antivirals for Prisoners With or Without HIV: A Prison Health Care Workers-Led Model for HCV Microelimination in Thailand,9,1,4,2
Pressure-induced isostructural clustering and semiconductor-to-semimetal transition in 2H-W(Se1−xTex)2 solid solutions: A first-principles investigation,1,0,1,2
3D structural model and visualization of blood vessels based on L-system,2,1,1,0
Injectable eggshell-derived hydroxyapatite-incorporated fibroin-alginate composite hydrogel for bone tissue engineering,6,0,3,16
Enhancement of large ring cyclodextrin production using pretreated starch by glycogen debranching enzyme from Corynebacterium glutamicum,7,0,1,6
Molecular insights into complex formation between scandenin and various types of β-cyclodextrin,6,0,3,0
In-situ chemical modification of printed conducting polymer films for specific glucose biosensing,5,0,4,2
Fouling mitigation in an anaerobic membrane bioreactor via membrane surface modification with tannic acid and copper,5,0,2,11
Sintering behavior and mechanical properties of hydroxyapatite ceramics prepared from Nile Tilapia (Oreochromis niloticus) bone and commercial powder for biomedical applications,13,0,7,8
Toward sustainable stormwater management: Understanding public appreciation and recognition of urban Low Impact Development (LID) in the San Francisco Bay Area,2,0,3,26
Online and offline preconcentration techniques on paper-based analytical devices for ultrasensitive chemical and biochemical analysis: A review,3,0,1,16
Strongly coupled tungsten oxide/carbide heterogeneous hybrid for ultrastable aqueous rocking‐chair zinc-ion batteries,10,0,5,29
Detection and identification of a fish pathogen Flavobacterium columnare using specific monoclonal antibodies,7,0,2,8
Supporting Clean Energy in the ASEAN: Policy Opportunities from Sustainable Aviation Fuels Initiatives in Indonesia and Malaysia,10,1,9,1
Lipid nanoparticles enhance the efficacy of mRNA and protein subunit vaccines by inducing robust T follicular helper cell and humoral responses,32,1,7,145
Reliability Quantification of Railway Electrification Mast Structure Considering Buckling,3,1,3,0
"Sprout Caffeoylquinic Acid Profiles as Affected by Variety, Cooking, and Storage",4,1,1,0
Engineering of Battery Type Electrodes for High Performance Lithium Ion Hybrid Supercapacitors,6,0,4,5
Incorporation of diethyl ether production to existing bioethanol process: Techno-economic analysis,4,0,1,3
Raman spectroscopy investigation of a manganese oxide layer caused by water corrosion on an IrMn thin film,7,0,3,1
"DEVELOPMENT OF A DISASTER RISK PROFILE IN THE PUBLIC HEALTHCARE SYSTEM DURING FLOOD SITUATION: A CASE STUDY OF NAKHON SAWAN CITY MUNICIPALITY, NAKHON SAWAN PROVINCE, THAILAND",3,1,1,0
The crest injection technique for glabellar line correction and the paracentral artery,3,1,2,3
Molecularly imprinted polymers for the extraction and determination of water-soluble vitamins: A review from 2001 to 2020,2,0,2,4
Prevalence of pre-sarcopenia among postmenopausal women younger than 65 years,6,0,3,1
Core slide defect reduction of PVC tape by Six Sigma approach,2,0,2,0
"Immunogenicity, safety and reactogenicity of a heterogeneous booster following the CoronaVac inactivated SARS-CoV-2 vaccine in patients with SLE: A case series",6,1,2,10
A comparison of students’ competencies of thai and international documents,2,1,2,0
Development and testing of a metacognition scale using computer multimedia for nursing students: An application of multidimensional item response theory,3,1,1,0
“Macbeth Effect”: The link between physical cleanliness and moral judgement,4,1,2,1
Social returns on investment for doctor of philosophy program in educational measurement and evaluation,3,1,1,1
Development of a process to change teachers’ misconceptions in using portfolio for elementary school student assessment,2,1,2,0
“Everyone else does it”: Influence of colleagues’ cheating and psychological mechanisms on individuals’ cheating in an organization,3,1,1,0
Vascularized Toe Joint Transfer for Hypoplastic Thumb Type IV,3,0,2,0
"Identification of Key Genes in ‘Luang Pratahn’, Thai Salt-Tolerant Rice, Based on Time-Course Data and Weighted Co-expression Networks",7,1,3,2
Patient perception and treatment convenience of dabigatran versus vitamin K antagonist when used for stroke prophylaxis in atrial fibrillation: Real-world Evaluation of Long-term Anticoagulant Treatment Experience (RE-LATE) study,9,1,11,0
Modeling the determinants of English writing perfor-mance: Directions to interdisciplinary writing instruction,1,0,1,0
"Clinical outcomes of pediatric COVID-19 in a tertiary care center in Bangkok, Thailand",6,1,4,5
Genetic correlations between gestation length and litter traits of sows,2,,1,1
Calcinosis circumscripta associated with surgical site of the right femur in a Belgian sheepdog: Imaging diagnosis and surgical treatment,4,,2,0
"Potential risk factors for Brachyspira hyodysenteriae, Lawsonia intracellularis and Salmonella spp. infection and their prevalence in commercial swine farms in Thailand",7,,3,0
Evaluation of the hematological and serum protein profiles of blood parasite coinfection in naturally infected dogs,3,,1,2
Successful treatment of demodicosis due to Demodex cati in a cat using spot - On formulation of fluralaner,2,,1,0
A seroepidemiological investigation on major viral and bacterial pathogens in small-scale chicken flocks in the Mekong delta region of Vietnam,13,,5,0
Cardiovascular Risk and Health Among People With Human Immunodeficiency Virus (HIV) Eligible for Primary Prevention: Insights From the REPRIEVE Trial,21,1,13,12
"Taxonomic Status of Fowlea tytleri (Blyth, 1863) from the Andaman Islands",3,,3,2
"Nesting Ecology and Reproducing Females of the Snail-eating Turtle, Malayemys macrocephala, in Paddy Fields in Central Plain of Thailand",3,,1,0
Environmental DNA signatures distinguish between tsunami and storm deposition in overwash sand,11,1,9,8
Production of oil with increasing palmitoleic acid content by Cyberlindnera subsufficiens NG8.2 from oil palm empty fruit bunch via co-fermentation with cassava starch,2,0,1,1
The origins of the Cold War in Southeast Asia: Pre-Second World War Siamese cooperation with foreign powers against communism,2,0,1,0
Development of multiplex reverse transcription-polymerase chain reaction for differentiation of strains of infectious bursal disease virus and primary screening of the virus in Thailand,1,1,1,1
Validation of Brix refractometer to estimate immunoglobulin G concentration in goat colostrum,5,1,2,2
Deep margin elevation with resin composite and resin-modified glass-ionomer on marginal sealing of CAD-CAM ceramic inlays: An in vitro study,2,,1,2
What is the best systemic treatment for newly diagnosed inflammatory breast cancer?-a narrative review,3,1,2,2
FOURTH-ORDER STRAIN GRADIENT BAR-SUBSTRATE MODEL WITH NONLOCAL AND SURFACE EFFECTS FOR THE ANALYSIS OF NANOWIRES EMBEDDED IN SUBSTRATE MEDIA,6,1,4,12
"Barriers and Challenges in Managing Hypertension in Belitung, Indonesia: A Qualitative Study",6,1,2,1
Changes in Choroidal Vascularity Index (CVI) in Intermediate Uveitis,5,1,3,7
Spiritual Care Needs of Terminal Ill Cancer Patients,3,1,3,4
Effects of Complementary and Alternative Medicine on Chemotherapy Delivery in Thai Patients,6,1,2,0
Measurement of the inclusive and differential t t¯ γ cross sections in the single-lepton channel and EFT interpretation at √s = 13 TeV,2361,1,271,3
Probing effective field theory operators in the associated production of top quarks with a Z boson in multilepton final states at √s = 13 TeV,2358,1,272,5
Erectile dysfunction among Thai patients with COVID-19 infection,5,1,1,8
Therapeutic vaccine BRII-179 restores HBV-specific immune responses in patients with chronic HBV in a phase Ib/IIa study,25,1,16,21
Research priorities for an HIV cure: International AIDS Society Global Scientific Strategy 2021,70,1,63,96
"Investigation of sulfonated solid acid catalysts derived from oil palm kernel shell, corncob, and diatomaceous earth for esterification of ethanol and propanoic acid, characterisation and their performance",5,0,2,5
Chloride-induced corrosion of a galvanized steel-embedded calcium sulfoaluminate stucco system,4,0,2,10
Quality Assessment of Mobile Cone-beam Computerized Tomography Scanner Made in Thailand: A Phantom Study,4,0,2,0
Chemotherapy-Related Cerebral Venous Sinus Thrombosis in a Colon Cancer Patient Receiving Adjuvant Chemotherapy: Case Report and Literature Review,3,0,1,0
Healthcare Resource Utilization and Healthcare Costs of COVID-19 Patients in A Tertiary Care Public Hospital: A Retrospective Cohort Study in Thailand,5,0,4,1
Risk of HIV/STIs among Muslim army conscripts in the three deep southern provinces of Thailand,3,1,1,2
The analgesic efficacy of anterior femoral cutaneous nerve block in combination with femoral triangle block in total knee arthroplasty: a randomized controlled trial,6,1,2,3
The effects of active break and postural shift interventions on recovery from and recurrence of neck and low back pain in office workers: A 3-arm cluster-randomized controlled trial,3,0,2,4
Global guideline for the diagnosis and management of the endemic mycoses: an initiative of the European Confederation of Medical Mycology in cooperation with the International Society for Human and Animal Mycology,39,2,48,55
Myositis Caused by Trachipleistophora hominis in a Person with Human Immunodeficiency Virus: The First Case in Thailand,5,1,4,3
Mass Atrocities and Their Prevention,2,2,3,6
"Inventory of Agroecological Practices as part of the ""Peasant to Peasant"" Methodology in Ceará: An instrument to decolonize a territory and (re)value peasant knowledge Inventário de Práticas Agroecológicas na Metodologia ""de Camponês/a a Camponês/a"" no Ceará: Um instrumento para descolonizar o território e (re)valorizar o conhecimento camponês",4,1,6,2
Profiling the most elderly parkinson's disease patients: Does age or disease duration matter?,3,1,2,3
Social principles of emancipatory agroecologies Principios sociales de las agroecologías emancipadoras,2,1,5,4
"Agroecology and La Vía Campesina I. The symbolic and material construction of agroecology through ""peasant-to-peasant"" processes Agroecología y La Vía Campesina I. La construcción simbólica y material de la agroecología a través de los procesos de ""campesina(o) a campesina(o)""",5,1,6,2
Bringing agroecology to scale: Key drivers and emblematic cases Ampliação da agroecologia: Principais impulsores e casos emblemáticos Masificación de la agroecología: Impulsores clave y casos emblemáticos,8,1,5,0
Culicoides Latreille (Diptera: Ceratopogonidae) as potential vectors for Leishmania martiniquensis and Trypanosoma sp. in northern Thailand,7,1,4,15
"Caffeine induces g0/g1 cell cycle arrest and inhibits migration through Integrin αv, β3, and FAK/AKT/c-MYC signaling pathway",5,1,5,4
Zero Budget Natural Farming in India - From inception to institutionalization Agricultura natural de presupuesto cero en India - Desde su inicio hasta su institucionalización,2,1,4,1
Agroecology and La Vía Campesina II. Peasant agroecology schools and the formation of a sociohistorical and political subject Agroecología y La Vía Campesina II. Las escuelas campesinas de agroecología y la formación de un sujeto sociohistórico y politico,4,1,5,1
Horizontal and deep scaling of agroecology: Lessons from two organizations that defend seed sovereignty in Colombia Escalamiento horizontal y profundo de la agroecología: Lecciones de dos organizaciones defensoras de la soberanía de semillas en Colombia,5,1,5,0
4-Hyperclique Decompositions of 3-Hyperdistance Multihypergraphs of Multipartite Graphs,2,,1,0
"Diversity, antimicrobial activity, and susceptibility of culturable soil actinobacteria isolated from Sichang Island",4,1,3,2
"Petrogenesis of mafic-ultramafic and associated rocks along Sa Kaeo and Pattani Sutures, Thailand",5,1,1,0
Measurement of the top quark mass using events with a single reconstructed top quark in pp collisions at √s = 13 TeV,2371,1,269,3
Oxyresveratrol and its synthetic derivatives on the stimulation of glucose uptake in skeletal muscle cells and the activation of AMPK,6,1,4,1
HPV16 E1 dysregulated cellular genes involved in cell proliferation and host DNA damage: A possible role in cervical carcinogenesis,4,1,2,2
Accuracy assessment of integrated GNSS measurements with LIDAR mobile mapping data in urban environments,3,1,2,2
Sinovac COVID-19 vaccine–induced cutaneous leukocytoclastic vasculitis,2,1,2,17
Mental health among Thai medical students: Preadmission evaluation and service utilization,2,1,1,3
Safety of the second dose of the ChAdOx1 nCoV-19 vaccine in people with persistent anti–platelet factor 4 antibodies,10,1,1,2
Overview of quartz crystal microbalance behavior analysis and measurement,2,1,2,20
An applying colored petri net for computerized accounting system and ledger accounts instruction,4,1,2,1
Finite element analysis of glass fiber-reinforced polymer-(Gfrp) reinforced continuous concrete beams,6,1,5,6
In vitro synergism of azithromycin combination with antibiotics against oxa-48-producing klebsiella pneumoniae clinical isolates,3,1,1,4
Biological Functions and Activities of Rice Bran as a Functional Ingredient: A Review,3,1,1,23
Application of artificial intelligence in non-alcoholic fatty liver disease and liver fibrosis: a systematic review and meta-analysis,4,1,3,11
A scientometric assessment of agri-food technology for research activity and productivity,4,1,1,3
Experimental study on the behavior of steel–concrete composite decks with different shear span-to-depth ratios,8,1,4,7
"Lactobacillus rhamnosus attenuates Thai chili extracts induced gut inflammation and dysbiosis despite capsaicin bactericidal effect against the probiotics, a possible toxicity of high dose capsaicin",8,1,2,25
Application of essential oils for maintaining postharvest quality of ‘rongrien’ rambutan fruit,2,1,2,2
Search for a heavy resonance decaying to a top quark and a W boson at √s = 13 TeV in the fully hadronic final state,2324,1,272,4
Exploring moocs that promote innovative public services,4,1,3,1
Pre- and post-fire mechanical performances of high calcium fly ash geopolymer concrete containing granite waste,6,0,1,16
Gaucher disease: clinical phenotypes and refining GBA mutational spectrum in Thai patients,12,1,9,4
"Detachable dissolvable microneedles: intra-epidermal and intradermal diffusion, effect on skin surface, and application in hyperpigmentation treatment",10,1,3,5
Transformer-based decoder designs for semantic segmentation on remotely sensed images,5,1,3,15
Nucleic acid vaccines and CpG oligodeoxynucleotides for allergen immunotherapy,1,0,1,6
Applying cassava stems biochar produced from agronomical waste to enhance the yield and productivity of maize in unfertile soil,2,1,2,3
Lacticaseibacillus casei Strain T21 Attenuates Clostridioides difficile Infection in a Murine Model Through Reduction of Inflammation and Gut Dysbiosis With Decreased Toxin Lethality and Enhanced Mucin Production,6,1,2,10
Investigating the role of the carbon storage regulator A (CsrA) in Leptospira spp.,6,1,3,4
The role of viral marketing in social media on brand recognition and preference,2,1,2,2
Erratum: Complete genome sequences of mycobacterium farcinogenes strains isolated from clinical specimens from patients in Thailand (Microbiology Resource Announcements (2021) 10:46 (e01005-21) DOI: 10.1128/MRA.01005-21),5,1,2,0
Strength enhancement of interlocking hollow brick masonry walls with low-cost mortar and wire mesh,7,1,6,2
New landscape of data and sustainable development in Asia,3,0,3,0
Sensitivity and specificity of anti-double-stranded RNA immunofluorescence for universal detection of viral infection in respiratory specimens,6,1,4,1
Organization benefit as an outcome of organizational security adoption: The role of cyber security readiness and technology readiness,5,1,2,3
"The effects of the modified transtheoretical theory of stress and coping (TTSC) program on dementia caregivers’ knowledge, burden, and quality of life",2,1,1,0
Asia pacific stroke organization,6,1,6,1
Optimization of loading condition for maxillary molar intrusion with midpalatal miniscrews by using finite element analysis,5,1,2,1
Intermodulation distortions from an array of active nonlinear oscillators,5,0,1,0
"Evaluation of regulating and provisioning services provided by a park designed to be resilient to climate change in bangkok, Thailand",6,1,3,10
COVID-19 experience transforming the protective environment of office buildings and spaces,3,1,1,2
Two or four injections of platelet-rich plasma for osteoarthritic knee did not change synovial biomarkers but similarly improved clinical outcomes,12,1,2,8
Reheating after inflation by supersymmetry breaking,4,1,3,3
Awareness and perspectives among asian anesthesiologists on postoperative delirium: A multinational survey,10,1,9,0
Extensive Lensing Survey of Optical and Near-infrared Dark Objects (El Sonido): HST H-faint Galaxies behind 101 Lensing Clusters,25,1,26,10
"Chikungunya virus infection: molecular biology, clinical characteristics, and epidemiology in Asian countries",4,1,2,21
Evaluation of Elafin as a Prognostic Biomarker in Acute Graft-versus-Host Disease: M. G. Zewde et al,32,1,20,9
Genetic population of Plasmodium knowlesi during pre-malaria elimination in Thailand,10,1,4,1
"Effect of ultra-high-molecular-weight molecular chains on the morphology, crystallization, and mechanical properties of polypropylene",11,1,3,11
Effect of needle sizes 30 G and 32 G on skin penetration force in cadavers: Implications for pain perception and needle change during botulinum toxin injections,4,1,3,1
Recent developments in magnetic nanoparticles and nano-composites for wastewater treatment,9,0,7,27
Autism-related transcription factors underlying the sex-specific effects of prenatal bisphenol a exposure on transcriptome-interactome profiles in the offspring prefrontal cortex,8,1,4,12
Long-term specific IgG response to SARS-CoV-2 nucleocapsid protein in recovered COVID-19 patients,23,1,7,22
The effects of oral Aloe vera on the efficacy of transplanted human endothelial cells and the expression of matrix metalloproteinases in diabetic wound healing,5,1,1,3
Training of psychiatry and mental health in a low- and middle-income country: Experience from Thailand before and after COVID-19 outbreak,2,2,2,2
First record of non-flying mammalian contributors to pollination in a tropical montane forest in Asia,7,1,6,1
Pongamol inhibits epithelial to mesenchymal transition through suppression of FAK/Akt-mTOR signaling,3,0,1,3
"Phase II, Randomized Study of Spartalizumab (PDR001), an Anti-PD-1 Antibody, versus Chemotherapy in Patients with Recurrent/Metastatic Nasopharyngeal Cancer",26,1,21,23
Pressure Support versus Spontaneous Ventilation during Anesthetic Emergence - Effect on Postoperative Atelectasis: A Randomized Controlled Trial,7,1,2,15
Seroprevalence and incidence of hepatitis A in Southeast Asia: A systematic review,8,1,6,2
"Asplenium appressifolium (Aspleniaceae), a new species from Thailand",2,0,2,0
Growth-climate relationships and long-term growth trends of the tropical forest tree choerospondias axillaris (Anacardiaceous) in east-central Thailand,13,1,10,3
What is the risk of intraoperative cerebral oxygen desaturation in patients undergoing shoulder surgery in the beach chair position?,3,1,1,4
Impacts of blended bombyx mori silk fibroin and recombinant spider silk fibroin hydrogels on cell growth,8,1,2,7
Supercritical reaction between methanol and glycerol: The effects of reaction products on biodiesel properties,4,1,2,7
Anisotropic silver nanoparticles gel exhibits antibacterial action and reduced scar formation on wounds contaminated with methicillin-resistant staphylococcus pseudintermedius (Mrsp) in a mice model,7,1,2,4
In vivo biocompatible self-assembled nanogel based on hyaluronic acid for aqueous solubility and stability enhancement of asiatic acid,7,1,3,4
Safety of PRRSV-2 MLV vaccines administrated via the intramuscular or intradermal route and evaluation of PRRSV transmission upon needle-free and needle delivery,4,1,1,9
Porous electrodeposited cu as a potential electrode for electrochemical reduction reactions of co2,6,1,2,2
Multifunctional polymeric nanogels for biomedical applications,4,1,2,15
Association between daily niacin intake and glaucoma: National health and nutrition examination survey,4,1,4,6
Limited protection of inactivated SARS-CoV-2 vaccine against wild-type strain and variants of concern,16,1,4,10
Enhanced energy recovery from food waste by co-production of bioethanol and biomethane process,4,1,2,10
Patterns and outcomes of immune-related adverse events in solid tumor patients treated with immune checkpoint inhibitors in Thailand: a multicenter analysis,5,1,3,7
"Related health risk assessment of exposure to arsenic and some heavy metals in gold mines in Banmauk Township, Myanmar",4,1,2,13
"Klebsiella pneumoniae complex harboring mcr‐1, mcr‐7, and mcr‐8 isolates from slaughtered pigs in thailand",8,1,5,14
Synergistic effect of starch/polyvinyl alcohol/citric acid films decorated with in-situ green-synthesized nano silver on bioactive packaging films,6,0,5,15
"COVID-19 vaccine acceptance, hesitancy, and determinants among physicians in a university-based teaching hospital in Thailand",7,1,2,31
Alteration of extracellular matrix components in the anterior pituitary gland of neonatal rats induced by a maternal bisphenol a diet during pregnancy,6,1,4,1
Cross-regulation of notch/AKT and serum/glucocorticoid regulated kinase 1 (SGK1) in IL-4-stimulated human macrophages,2,0,3,1
Changing look AGN Mrk 590: Broad-line region and black hole mass from photometric reverberation mapping,12,2,9,1
Acute coronary syndrome with non-obstructive coronary arteries (ACS-NOCA) in patients with hypertrophic cardiomyopathy,6,1,2,5
Food allergy across the globe,37,2,37,63
Evolution of multidrug resistance in plasmodium falciparum: A longitudinal study of genetic resistance markers in the greater mekong subregion,31,1,11,10
MILITARY POWER DOES NOT DENOTE CAPACITY: The Contest for World Domination,1,0,1,1
Vascular pythiosis caused by Pythium aphanidermatum: the first case report in Asia,7,1,3,4
A critical review on second- and third-generation bioethanol production using microwaved-assisted heating (MAH) pretreatment,10,0,10,27
Thromboembolic and hemorrhagic risks after vaccination against SARS-CoV-2: a systematic review and meta-analysis of randomized controlled trials,4,1,1,13
"Gymnema wiyadae (Apocynaceae: Asclepiadoideae), a new species from eastern Thailand",1,0,1,0
GRP78/BiP determines senescence evasion cell fate after cisplatin-based chemotherapy,8,1,5,4
A simple method for estimating the Lorenz curve,2,1,2,8
"Author Correction: Women and other risk factors for chronic kidney disease of unknown etiology in Thailand: National Health Examination V Survey (Scientific Reports, (2021), 11, 1, (21366), 10.1038/s41598-021-00694-9)",8,1,5,0
Effects of tube potential selection together with computed tomography automatic tube current modulation on CT imaging performance,3,0,3,3
Computational redesign of Fab CC12.3 with substantially better predicted binding affinity to SARS-CoV-2 than human ACE2 receptor,3,1,1,2
Implementation of Seismic Ground Response Analysis in Estimating Liquefaction Potential in Northern Thailand,2,0,2,5
Definitions of acute renal dysfunction: an evolving clinical and biomarker paradigm,4,0,6,8
Rapid characterization of feline leukemia virus infective stages by a novel nested recombinase polymerase amplification (RPA) and reverse transcriptase-RPA,3,1,1,6
"Efficacy and safety of weekly paclitaxel with or without ramucirumab as second-line therapy for the treatment of advanced gastric or gastroesophageal junction adenocarcinoma (RAINBOW-Asia): a randomised, multicentre, double-blind, phase 3 trial",17,0,15,29
A comparison of efficiency and safety between dual and triple immunosuppressive regimens in pediatric living donor liver transplantation at King Chulalongkorn Memorial Hospital,6,1,2,0
Identification of Highly Potent α-Glucosidase Inhibitors from Artocarpus integer and Molecular Docking Studies,11,0,9,3
One-pot upgrading of coconut coir lignin over high-efficiency Ni2P catalysts,10,0,6,4
"Effectiveness of mobile application on changing weight, healthy eating habits, and quality of life in children and adolescents with obesity: a randomized controlled trial",5,1,2,5
Use of Microbially Induced Calcite Precipitation for Soil Improvement in Compacted Clays,5,0,2,16
Solidification of Sediments Deposited in Reservoirs with Cement and Fly Ash for Road Construction,6,0,4,16
Global diversity of the gene encoding the Pfs25 protein—a Plasmodium falciparum transmission-blocking vaccine candidate,9,1,2,3
A new cluster of rhabdovirus detected in field-caught sand flies (Diptera: Psychodidae: Phlebotominae) collected from southern Thailand,4,1,2,2
Novel colistin-EDTA combination for successful eradication of colistin-resistant Klebsiella pneumoniae catheter-related biofilm infections,24,1,15,11
"Effects of pyrrolidine on methane hydrate formation: Thermodynamic, kinetic, and morphology perspectives",5,0,1,6
"Multidrug-resistant Neisseria gonorrhoeae infection in heterosexual men with reduced susceptibility to ceftriaxone, first report in Thailand",18,1,17,20
Use of ozone for Vibrio parahaemolyticus inactivation alongside nitrification biofilter treatment in shrimp-rearing recirculating aquaculture system,7,0,2,5
The chemotherapeutic drug carboplatin affects macrophage responses to LPS and LPS tolerance via epigenetic modifications,6,1,2,4
Factors affecting optimal antenatal care utilization in Indonesia: implications for policies and practices,7,0,5,2
Women and other risk factors for chronic kidney disease of unknown etiology in Thailand: National Health Examination V Survey,8,1,5,6
An Efficient DNA Extraction for a Blue Xestospongia sp. Sponge and Its Associated Microorganisms Containing Cytotoxic Substances,2,0,2,0
"Biosynthesis, characterization, and antibacterial activity of gold nanoparticles",7,1,6,62
"Corrigendum to “Drift-flux correlation for gas-liquid two-phase flow in a horizontal pipe” [Int. J. Heat Fluid flow 69 (2018) 33–42] (International Journal of Heat and Fluid Flow (2018) 69 (33–42), (S0142727X17307865), (10.1016/j.ijheatfluidflow.2017.11.002))",2,1,2,0
Leptospira collagenase and LipL32 for antibody detection in leptospirosis,4,0,2,1
Non-destructive method for discrimination of weedy rice using near infrared spectroscopy and modified self-organizing maps (SOMs),4,0,1,5
CAMSAP3 depletion induces lung cancer cell senescence-associated phenotypes through extracellular signal-regulated kinase inactivation,6,1,3,5
"KDM6A mutations promote acute cytoplasmic DNA release, DNA damage response and mitosis defects",6,1,3,4
Imipenem dosing recommendations for patients undergoing continuous renal replacement therapy: systematic review and Monte Carlo simulations,9,1,8,1
Fear inoculation among snake experts,4,1,6,5
Comparison between same-day discharge and overnight stay after atrial fibrillation ablation: Systematic review and meta-analysis,7,2,7,7
Payment mechanism and hospital admission: New evidence from Thailand healthcare reform,2,0,2,0
Negative inotropic mechanisms of β-cardiotoxin in cardiomyocytes by depression of myofilament ATPase activity without activation of the classical β-adrenergic pathway,7,1,4,0
"Contrasting coral community structures between natural and artificial substrates at Koh Tao, Gulf of Thailand",9,2,9,11
"Fortilin inhibits p53, halts cardiomyocyte apoptosis, and protects the heart against heart failure",5,1,4,2
Boosting photocurrent density of 1D TiO2 based photoanodes by bismuth vanadium oxide enhancement for photoelectrochemical cell application,4,0,3,2
Endoscopic ultrasound guided fine needle biopsy (EUS-FNB) from peritoneal lesions: a prospective cohort pilot study,10,1,1,2
CFD simulation and statistical experimental design analysis of core annular flow in T-junction and Y-junction for oil-water system,3,0,2,10
Hydroxyxanthone ameliorates IL1β-induced epithelial barrier disruption in colonic-like cells by down-regulation of p-MLC expression,4,1,2,0
Net energy analysis and techno-economic assessment of co-production of bioethanol and biogas from cellulosic biomass,2,1,2,11
Clinical outcomes of an ultrathin-strut sirolimus-eluting stent in all-comers population: Thailand Orsiro registry,9,1,2,1
Immunodominant linear B cell epitopes in the spike and membrane proteins of SARS-CoV-2 identified by immunoinformatics prediction and immunoassay,10,1,5,12
"Effects of high flow nasal cannula on the coordination between swallowing and breathing in postextubation patients, a randomized crossover study",2,1,1,2
Scale-up and flow behavior of cohesive granular material in a four-bladed mixer: effect of system and particle size,3,0,3,5
Effects of early estradiol valerate administration on bone turnover markers in surgically induced menopausal women,3,1,1,1
Lignin-Based Microgels by Inverse Suspension Polymerization: Syntheses and Dye Removal,3,0,4,6
Comprehensive genome-wide analysis of calmodulin-binding transcription activator (CAMTA) in Durio zibethinus and identification of fruit ripening-associated DzCAMTAs,6,1,2,4
"Curcumin upregulates transforming growth factor-β1, its receptors, and vascular endothelial growth factor expressions in an in vitro human gingival fibroblast wound healing model",2,1,2,9
Strength and stiffness parameters for hardening soil model of rockfill materials,4,1,3,13
