title,publisher,aggregationType,subject_area_abbrevs,subject_area_names,SNIP,SJR,citeScoreTracker_2024,citeScoreCurrentMetric_2023,publicationCount_2022,citeCountSCE_2022,zeroCitesSCE_2022,revPercent_2022,publicationCount_2023,citeCountSCE_2023,zeroCitesSCE_2023,revPercent_2023,publicationCount_2024,citeCountSCE_2024,zeroCitesSCE_2024,revPercent_2024
Acta Botanica Hungarica,Akademiai Kiado,journal,AGRI,"Plant Science;Ecology, Evolution, Behavior and Systematics",0.749,0.240,1.4,1.7,16,356,6,0.0,20,321,13,0.0,0,225,0,0.0
Acta Botanica Mexicana,"Instituto de Ecologia, A.C.",journal,AGRI,"Ecology, Evolution, Behavior and Systematics;Plant Science",0.42,0.232,1.2,1.6,61,360,29,0.0,48,421,27,2.08,38,377,35,2.63
Acta Botanica Venezuelica,Universidad Central de Venezuela,journal,AGRI,Plant Science,0,0.103,0.1,0.2,9,40,8,0.0,0,21,0,0.0,0,29,0,0.0
Acta Chiropterologica,Museum and Institute of Zoology PAS,journal,AGRI,Animal Science and Zoology,0.709,0.421,1.9,2.5,20,962,5,0.0,26,1056,13,0.0,26,770,23,0.0
Acta Entomologica Musei Nationalis Pragae,National Museum/Narodni muzeum,journal,AGRI,"Insect Science;Ecology, Evolution, Behavior and Systematics",0.695,0.442,1.6,1.6,25,340,11,0.0,27,376,15,7.41,15,252,15,0.0
Acta Ethologica,Springer Science and Business Media Deutschland GmbH,journal,AGRI,"Animal Science and Zoology;Ecology, Evolution, Behavior and Systematics",0.57,0.306,2.1,1.9,23,522,4,4.35,25,577,9,4.0,23,507,17,0.0
Acta Facultatis Xylologiae,Technical University in Zvolen,journal,AGRI,Forestry,0.43,0.216,1.9,2.1,26,206,7,0.0,27,198,12,0.0,13,164,13,0.0
Acta Fytotechnica et Zootechnica,Slovak University of Agriculture in Nitra,journal,AGRI,Agronomy and Crop Science;Animal Science and Zoology;Food Science,0.238,0.170,0.6,0.9,43,83,26,4.65,51,140,41,9.8,20,100,19,0.0
Acta Herpetologica,Firenze University Press,journal,AGRI,Animal Science and Zoology,0.387,0.224,1.4,1.2,20,305,5,0.0,17,291,10,0.0,7,279,6,0.0
Acta Horticulturae,International Society for Horticultural Science,bookseries,AGRI,Horticulture,0.169,0.151,0.5,0.6,1391,16510,942,0.0,1332,15735,1083,0.0,984,12374,950,0.61
Acta Horticulturae Sinica,Editorial Office of Horticultural Plant Journal,journal,AGRI,Horticulture;Plant Science,0.561,0.249,1.4,1.4,510,1015,328,2.94,325,1172,224,2.46,217,1035,207,7.37
Acta Hydrobiologica Sinica,"Institute of Hydrobiology, Chinese Academy of Sciences",journal,AGRI;ENVI,Aquatic Science;Ecology;Water Science and Technology,0.373,0.218,1.3,1.2,213,308,86,0.47,211,533,114,0.0,156,577,129,3.85
Acta Ichthyologica et Piscatoria,Pensoft Publishers,journal,AGRI,Aquatic Science;Animal Science and Zoology,0.548,0.266,2.1,2.2,39,744,17,0.0,25,697,14,8.0,27,733,25,0.0
Acta Limnologica Brasiliensia,Brazilian Limnology Association,journal,AGRI;ENVI,"Aquatic Science;Ecology;Water Science and Technology;Ecology, Evolution, Behavior and Systematics",0.405,0.330,1.2,2.2,29,559,8,3.45,35,518,25,5.71,35,496,31,5.71
Acta Mycologica,Polish Botanical Society,journal,AGRI,"Ecology, Evolution, Behavior and Systematics;Plant Science",0.154,0.134,1.2,0.9,8,46,4,0.0,12,53,8,0.0,0,63,0,0.0
Acta Oceanologica Sinica,Springer Verlag,journal,AGRI;EART,Aquatic Science;Oceanography,0.635,0.411,2.3,2.5,178,2864,38,1.12,173,2966,86,1.16,103,2602,92,0.0
Acta Oecologica,Elsevier B.V.,journal,AGRI;ENVI,"Nature and Landscape Conservation;Ecology, Evolution, Behavior and Systematics",0.555,0.512,2.9,3.6,54,3928,8,3.7,56,3581,19,1.79,46,3152,41,2.17
Acta Ornithologica,Polish Academy of Sciences,journal,AGRI,Animal Science and Zoology,0.696,0.341,1.7,2.1,7,678,3,0.0,21,651,11,4.76,5,589,5,0.0
Acta Palaeobotanica,"W. Szafer Institute of Botany, Polish Academy of Sciences",journal,AGRI;EART,Agricultural and Biological Sciences (all);Earth and Planetary Sciences (all),0.643,0.265,1.5,1.6,13,469,4,0.0,12,413,7,0.0,7,350,4,0.0
Acta Palaeontologica Romaniae,Romanian Society of Palaeontologists,journal,ENVI;AGRI;EART,"Paleontology;Atmospheric Science;Geology;Ecology, Evolution, Behavior and Systematics;Stratigraphy;Ecology",0.424,0.256,2.0,1.8,9,27,4,11.11,8,31,2,0.0,5,29,4,0.0
Acta Pedologica Sinica,Science China Press,journal,AGRI,Soil Science,0.792,0.392,3.3,3.2,164,1004,31,3.66,152,1323,48,3.95,145,1246,107,7.59
Acta Physiologiae Plantarum,Springer Nature,journal,AGRI;BIOC,Physiology;Agronomy and Crop Science;Plant Science,0.753,0.540,4.5,5.1,141,11604,12,5.67,144,11494,40,2.08,94,9021,66,3.19
Acta Phytopathologica et Entomologica Hungarica,Akademiai Kiado,journal,AGRI,Insect Science;Plant Science,0.279,0.220,1.0,1.1,16,387,11,6.25,17,337,12,5.88,8,254,8,25.0
Acta Phytotaxonomica et Geobotanica,Japanese Society for Plant Systematics,journal,AGRI;ENVI,"Ecology;Plant Science;Ecology, Evolution, Behavior and Systematics",0.513,0.275,0.8,0.9,29,75,24,0.0,18,72,12,0.0,11,71,10,0.0
Acta Prataculturae Sinica,Editorial Department of Acta Prataculturae Sinica,journal,AGRI;ENVI,Agronomy and Crop Science;Nature and Landscape Conservation;Soil Science;Plant Science,0.394,0.211,2.0,1.5,214,1208,56,0.93,221,1443,112,0.0,194,1236,161,0.52
Acta Protozoologica,Jagiellonian University Press,journal,AGRI,Agricultural and Biological Sciences (all),0.807,0.592,2.3,2.0,6,627,2,33.33,6,497,5,0.0,1,422,1,0.0
Acta Scientiarum - Agronomy,Universidade Estadual de Maringa,journal,AGRI,Agronomy and Crop Science,0.669,0.342,2.0,2.3,57,1375,7,0.0,60,1285,25,3.33,60,1061,49,1.67
Acta Scientiarum - Animal Sciences,Universidade Estadual de Maringa,journal,AGRI,Animal Science and Zoology;Food Science,0.498,0.287,1.3,1.6,59,764,21,0.0,60,751,38,0.0,59,548,47,0.0
Acta Scientiarum - Biological Sciences,Universidade Estadual de Maringa,journal,AGRI;BIOC,"Agricultural and Biological Sciences (all);Biochemistry, Genetics and Molecular Biology (all)",0.316,0.175,0.7,1.0,47,662,27,0.0,60,625,49,0.0,30,582,30,0.0
"Acta Scientiarum Polonorum, Hortorum Cultus",Wydawnictwo Akad Rolniczej W Lublinie,journal,AGRI,Horticulture;Plant Science,0.359,0.197,1.3,1.3,76,1151,35,1.32,59,1150,33,1.69,29,883,24,0.0
"Acta Scientiarum Polonorum, Technologia Alimentaria",Wydawnictwo Uniwersytetu Przyrodniczego w Poznaniu,journal,AGRI,Food Science,0.439,0.373,2.4,2.7,40,1171,15,0.0,39,1135,25,2.56,29,923,26,0.0
Acta Silvatica et Lignaria Hungarica,University of West Hungary Press,journal,AGRI,Forestry,0.128,0.175,1.1,0.9,10,128,5,0.0,7,109,6,0.0,0,114,0,0.0
Acta Societatis Botanicorum Poloniae,Polish Botanical Society,journal,AGRI,Plant Science,0.402,0.285,1.8,2.0,32,1041,13,31.25,25,1071,14,20.0,13,764,9,0.0
Acta Tabacaria Sinica,State Tobacco Monopoly Bureau and China Tobacco Society,journal,AGRI,Agricultural and Biological Sciences (miscellaneous),0.505,0.447,1.3,1.1,92,349,44,1.09,42,393,23,2.38,22,372,21,4.55
Acta Technologica Agriculturae,De Gruyter Open Ltd.,journal,ENGI;AGRI;ENVI,Agronomy and Crop Science;Waste Management and Disposal;Mechanical Engineering,0.8,0.381,2.5,2.5,32,224,11,0.0,32,243,16,0.0,24,204,19,0.0
Acta Theriologica Sinica,Science China Press,journal,AGRI,Animal Science and Zoology,0.495,0.283,1.5,1.3,78,579,43,6.41,67,667,43,4.48,66,534,64,1.52
Acta Universitatis Agriculturae et Silviculturae Mendelianae Brunensis,Mendel University of Agriculture and Forestry Brno,journal,AGRI,Agricultural and Biological Sciences (all),0.387,0.181,1.2,1.4,30,1162,13,0.0,24,1137,16,0.0,8,930,8,0.0
Acta Zoologica,Wiley-Blackwell Publishing Ltd,journal,AGRI;BIOC,"Animal Science and Zoology;Cell Biology;Ecology, Evolution, Behavior and Systematics",0.69,0.338,2.8,2.9,37,1356,2,5.41,58,1202,23,3.45,53,1113,40,13.21
Acta Zoologica Academiae Scientiarum Hungaricae,Hungarian Natural History Museum,journal,AGRI,Animal Science and Zoology,0.513,0.276,1.3,1.5,27,497,12,0.0,30,488,16,3.33,0,378,0,0.0
Acta Zoologica Bulgarica,Institute of Biodiversity and Ecosystem Research - Bulgarian Academy of Sciences,journal,AGRI,"Aquatic Science;Animal Science and Zoology;Insect Science;Ecology, Evolution, Behavior and Systematics",0.365,0.216,0.8,1.2,70,606,35,0.0,79,558,62,1.27,49,480,44,0.0
Acta Zoologica Lilloana,Fundacion Miguel Lillo,journal,AGRI,Animal Science and Zoology,0.071,0.135,0.3,0.2,17,3,15,11.76,43,7,38,0.0,17,7,15,0.0
Adansonia,Museum National d'Histoire Naturelle,journal,AGRI,Plant Science,0.503,0.286,1.4,1.3,23,233,10,0.0,27,180,17,0.0,17,145,13,0.0
Advanced Agrochem,KeAi Communications Co.,journal,AGRI;CHEM,Agricultural and Biological Sciences (miscellaneous);Chemistry (miscellaneous);Food Science,1.011,0.738,8.9,3.5,19,6,0,42.11,43,182,4,18.6,50,651,31,24.0
Advances in Agriculture,Hindawi Limited,journal,AGRI,Soil Science;Agronomy and Crop Science;Food Science;Agricultural and Biological Sciences (miscellaneous);Animal Science and Zoology,0.961,0.350,3.9,2.6,106,446,16,16.04,39,659,18,25.64,18,700,13,5.56
Advances in Agronomy,Academic Press Inc.,bookseries,AGRI,Agronomy and Crop Science;Soil Science,2.419,1.140,13.8,15.1,43,9834,7,0.0,36,9720,7,0.0,42,8730,29,0.0
Advances in Animal and Veterinary Sciences,ResearchersLinks Ltd,journal,VETE;AGRI,Animal Science and Zoology;Veterinary (all),0.372,0.222,1.3,1.4,260,820,122,0.0,254,1029,170,0.79,279,1130,254,0.0
Advances in Bamboo Science,Elsevier B.V.,journal,AGRI;ENVI,Environmental Science (miscellaneous);Forestry,0.347,0.180,2.1,0.9,9,1,1,11.11,42,35,10,14.29,64,149,45,15.63
Advances in Botanical Research,Academic Press Inc.,bookseries,AGRI,Plant Science,1.266,0.624,3.9,4.2,45,2451,11,0.0,37,2353,14,0.0,71,1993,57,0.0
"Advances in Chemical Pollution, Environmental Management and Protection",Elsevier B.V.,bookseries,AGRI;ENVI,"Pollution;Environmental Science (miscellaneous);Agricultural and Biological Sciences (miscellaneous);Waste Management and Disposal;Management, Monitoring, Policy and Law",1.051,0.372,2.3,2.8,10,89,6,0.0,19,145,4,0.0,30,197,20,0.0
Advances in Ecological Research,Academic Press Inc.,bookseries,AGRI;ENVI,"Ecology;Ecology, Evolution, Behavior and Systematics",2.206,0.615,7.7,10.6,27,2667,3,0.0,12,2670,5,0.0,6,2408,6,0.0
Advances in Food and Nutrition Research,Academic Press Inc.,bookseries,AGRI,Food Science,2.336,0.591,6.1,8.5,35,3234,5,0.0,43,3281,9,0.0,61,2830,41,0.0
Advances in Horticultural Science,University of Florence,journal,AGRI,Horticulture,0.297,0.190,1.1,1.2,32,671,13,6.25,38,690,26,0.0,23,504,20,21.74
Advances in Insect Physiology,Academic Press Inc.,bookseries,AGRI,Insect Science,1.386,1.938,6.6,5.6,9,1271,1,0.0,12,1215,1,0.0,4,1127,3,0.0
Advances in Marine Biology,Academic Press,bookseries,AGRI,"Aquatic Science;Ecology, Evolution, Behavior and Systematics",0,0.133,6.0,6.1,7,2048,2,0.0,13,1924,4,0.0,17,1724,17,0.0
Advances in Nutrition,Elsevier B.V.,journal,NURS;AGRI;MEDI,Nutrition and Dietetics;Medicine (miscellaneous);Food Science,2.308,2.249,16.2,17.4,171,14078,18,36.26,119,15043,20,72.27,125,14020,59,67.2
Advances in Oceanography and Limnology,Page Press Publications,journal,AGRI;EART,Aquatic Science;Oceanography,0.344,0.268,1.9,2.0,10,233,4,20.0,6,211,4,0.0,1,170,1,0.0
Advances in Sample Preparation,Elsevier B.V.,journal,AGRI;CHEM,Organic Chemistry;Analytical Chemistry;Food Science,1.041,0.598,6.9,3.5,45,30,4,2.22,49,225,6,4.08,29,520,19,0.0
Advances in Simulation,BioMed Central Ltd,journal,PSYC;SOCI;NEUR;NURS;AGRI,"Social Sciences (all);Cognitive Neuroscience;Psychology (all);Psychiatric Mental Health;Developmental Neuroscience;Ecology, Evolution, Behavior and Systematics",1.333,0.759,5.0,5.7,42,646,3,2.38,32,791,8,0.0,41,886,31,0.0
Advances in Weed Science,Sociedade Brasileira da Ciencia das Plantas Daninhas,journal,AGRI;BIOC,Physiology;Agronomy and Crop Science;Biochemistry;Plant Science,0.868,0.308,2.5,2.1,46,44,13,21.74,25,106,17,8.0,22,114,19,22.73
Advances in the Study of Behavior,Academic Press Inc.,bookseries,PSYC;AGRI;NEUR,Animal Science and Zoology;Behavioral Neuroscience;Neuropsychology and Physiological Psychology,2.399,1.997,5.2,7.1,5,1429,1,0.0,4,1289,1,0.0,4,1069,2,0.0
Aerobiologia,Springer Science and Business Media B.V.,journal,AGRI;MEDI;IMMU,Immunology and Allergy;Immunology;Plant Science,0.684,0.569,4.9,4.5,38,1761,6,5.26,31,1825,10,3.23,42,1559,28,11.9
African Entomology,Academy of Science of South Africa,journal,AGRI,"Agronomy and Crop Science;Insect Science;Ecology, Evolution, Behavior and Systematics",0.621,0.332,2.6,2.0,16,1079,6,0.0,38,1056,19,0.0,13,947,10,0.0
African Invertebrates,Pensoft Publishers,journal,AGRI;EART,"Paleontology;Animal Science and Zoology;Insect Science;Ecology, Evolution, Behavior and Systematics",0.423,0.426,1.3,1.0,6,157,4,0.0,15,151,10,0.0,5,168,4,0.0
African Journal of Agricultural and Resource Economics,African Association of Agricultural Economists,journal,ECON;AGRI,Agricultural and Biological Sciences (miscellaneous);Economics and Econometrics,0.303,0.213,0.9,1.2,24,73,14,0.0,17,106,14,0.0,5,102,5,0.0
African Journal of Aquatic Science,Taylor and Francis Ltd.,journal,AGRI,"Aquatic Science;Ecology, Evolution, Behavior and Systematics",0.689,0.565,2.7,3.9,42,1116,7,4.76,37,1107,13,8.11,21,942,19,9.52
African Journal of Biological Sciences (South Africa),Institute of Advanced Studies,journal,AGRI;BIOC,Agricultural and Biological Sciences (miscellaneous);Animal Science and Zoology;Biotechnology;Biochemistry,0.146,0.152,1.0,0.8,44,54,35,13.64,0,78,0,0.0,0,46,0,0.0
African Journal of Ecology,Wiley-Blackwell Publishing Ltd,journal,AGRI,"Ecology, Evolution, Behavior and Systematics",0.511,0.388,2.1,2.0,151,3010,45,0.0,109,2715,43,1.83,138,2322,105,0.0
"African Journal of Food, Agriculture, Nutrition and Development",African Scholarly Science Communications Trust (ASSCAT),journal,AGRI;SOCI,Agricultural and Biological Sciences (miscellaneous);Development;Food Science,0.303,0.184,0.8,0.9,147,520,74,0.0,146,595,104,1.37,144,584,141,1.39
African Journal of Herpetology,Taylor and Francis Ltd.,journal,AGRI,"Animal Science and Zoology;Ecology, Evolution, Behavior and Systematics",0.467,0.406,1.6,3.0,14,277,6,0.0,12,203,6,0.0,16,148,13,0.0
African Journal of Marine Science,National Inquiry Services Centre Ltd,journal,AGRI,"Aquatic Science;Ecology, Evolution, Behavior and Systematics",0.632,0.444,2.7,2.6,30,1920,6,3.33,25,1704,14,16.0,17,1466,15,5.88
African Journal of Range and Forage Science,Taylor and Francis Ltd.,journal,AGRI;ENVI,Animal Science and Zoology;Ecology,0.778,0.516,3.3,4.0,33,743,8,12.12,36,804,11,5.56,24,640,17,4.17
African Zoology,Taylor and Francis Ltd.,journal,AGRI,Animal Science and Zoology,0.504,0.328,1.7,2.6,15,841,3,0.0,18,769,9,5.56,5,614,4,0.0
AgBioForum,University of Missouri,journal,ECON;AGRI;BIOC,Biotechnology;Agronomy and Crop Science;Economics and Econometrics;Food Science,0.734,0.357,4.6,4.4,48,524,7,0.0,32,507,19,0.0,6,343,5,0.0
Agraarteadus,Estonian Academic Agricultural Society,journal,AGRI;ENVI,Agricultural and Biological Sciences (all);Nature and Landscape Conservation;Environmental Science (all),0.733,0.240,3.4,2.6,32,119,10,0.0,8,147,6,0.0,0,131,0,0.0
Agrarforschung Schweiz,Recherche agronomique suisse,journal,AGRI;ENVI,Agronomy and Crop Science;Food Science;Animal Science and Zoology;Pollution;Horticulture,0.208,0.144,0.4,0.8,17,99,12,0.0,17,106,13,0.0,30,104,30,0.0
Agraris,"Department of Agribusiness, Universitas Muhammadiyah Yogyakarta",journal,ECON;AGRI;SOCI,Agricultural and Biological Sciences (miscellaneous);Social Sciences (miscellaneous);Economics and Econometrics,0.601,0.219,2.2,1.9,17,44,7,0.0,18,65,10,5.56,9,73,9,22.22
Agrekon,Taylor and Francis Ltd.,journal,ECON;AGRI;SOCI,"Agronomy and Crop Science;Geography, Planning and Development;Economics and Econometrics",0.701,0.355,2.9,2.8,28,781,9,0.0,22,729,9,0.0,14,667,14,0.0
AgriEngineering,Multidisciplinary Digital Publishing Institute (MDPI),journal,ENGI;AGRI,Horticulture;Agronomy and Crop Science;Engineering (miscellaneous);Food Science,1.155,0.506,4.4,4.7,74,569,11,9.46,150,1002,30,8.67,198,1369,154,9.09
AgriScientia,Universidad Nacional de Cordoba,journal,AGRI,Agronomy and Crop Science;Soil Science,0.204,0.139,0.6,0.3,19,84,12,0.0,14,71,12,0.0,7,90,7,0.0
Agribusiness,Wiley-VCH Verlag,journal,ECON;AGRI;SOCI,"Geography, Planning and Development;Agronomy and Crop Science;Economics and Econometrics;Food Science;Animal Science and Zoology",1.203,0.843,5.8,5.5,50,1642,1,0.0,93,1772,24,0.0,120,1628,90,0.0
Agriculturae Conspectus Scientificus,University of Zagreb Faculty of Agriculture,journal,AGRI,Agricultural and Biological Sciences (all),0.361,0.213,1.4,1.5,40,606,18,12.5,40,638,23,7.5,30,561,27,10.0
Agricultural Commodities,Australian Bureau of Agricultural and Resource Economics,tradejournal,BUSI;AGRI,Agricultural and Biological Sciences (all);Business and International Management,0.042,0.101,0.0,0.0,25,22,24,8.0,27,18,27,7.41,0,14,0,0.0
Agricultural Economics (Czech Republic),Czech Academy of Agricultural Sciences,journal,ECON;AGRI,"Agricultural and Biological Sciences (miscellaneous);Economics, Econometrics and Finance (all)",0.801,0.435,3.6,4.3,48,1249,3,6.25,48,1326,13,2.08,32,1082,28,0.0
Agricultural Economics (United Kingdom),Wiley-Blackwell Publishing Ltd,journal,ECON;AGRI,Agronomy and Crop Science;Economics and Econometrics,1.74,1.601,7.3,7.3,71,5694,10,0.0,51,5951,10,0.0,50,5110,33,0.0
Agricultural Economics Review,Greek Association of Agricultural Economists,journal,AGRI,Agronomy and Crop Science,0.053,0.114,0.1,0.1,4,119,4,0.0,4,114,4,25.0,5,73,5,0.0
Agricultural Engineering,De Gruyter Open Ltd.,journal,AGRI;ENVI,Environmental Engineering;Agricultural and Biological Sciences (miscellaneous),0.37,0.247,3.2,2.0,20,83,3,0.0,25,107,10,4.0,12,160,11,0.0
Agricultural Engineering International: CIGR Journal,International Commission of Agricultural and Biosystems Engineering,journal,ENGI;AGRI;ENER,Agronomy and Crop Science;Automotive Engineering;Industrial and Manufacturing Engineering;Energy (miscellaneous),0.35,0.191,0.9,1.2,89,1232,46,0.0,86,1286,63,0.0,63,1032,58,0.0
Agricultural Finance Review,Emerald Publishing,journal,ECON;BUSI;AGRI,Agricultural and Biological Sciences (miscellaneous);Finance;Economics and Econometrics;Strategy and Management,1.004,0.564,3.4,3.7,51,758,12,0.0,43,986,12,0.0,24,903,21,4.17
Agricultural History,Agricultural History Society,journal,ARTS;AGRI,History;Agricultural and Biological Sciences (miscellaneous),1.08,0.276,0.5,0.7,26,409,21,3.85,30,312,29,3.33,5,287,4,20.0
Agricultural History Review,British Agricultural History Society,journal,ECON;ARTS;AGRI,Animal Science and Zoology;Agronomy and Crop Science;Economics and Econometrics;History and Philosophy of Science,1.054,0.145,0.9,0.7,10,182,2,0.0,12,329,5,0.0,5,199,5,0.0
Agricultural Research,Springer International Publishing AG,journal,AGRI,Agronomy and Crop Science;Plant Science;Food Science,0.62,0.367,3.4,3.8,77,1474,12,0.0,47,1538,18,0.0,135,1419,109,2.22
Agricultural Research Journal,Punjab Agricultural University,journal,AGRI,Agricultural and Biological Sciences (miscellaneous);Agronomy and Crop Science;Horticulture;Food Science,0.157,0.142,0.4,0.3,161,98,130,1.86,129,146,116,1.55,40,157,39,2.5
Agricultural Research in the Arid Areas,Editorial Department of Agricultural Research in the Arid Areas,journal,AGRI,Agronomy and Crop Science,0.341,0.207,1.2,1.2,169,485,67,0.59,159,562,92,0.0,110,517,102,0.91
Agricultural Science Digest,Agricultural Research Communication Centre,journal,AGRI,Agricultural and Biological Sciences (all),0.357,0.176,0.7,0.5,135,91,82,1.48,145,148,95,2.07,125,192,110,3.2
Agricultural Systems,Elsevier B.V.,journal,AGRI,Animal Science and Zoology;Agronomy and Crop Science,1.91,1.585,11.5,13.3,166,14189,3,4.22,174,14548,13,9.2,285,13172,169,4.21
Agricultural Water Management,Elsevier B.V.,journal,ENVI;AGRI;EART,Agronomy and Crop Science;Earth-Surface Processes;Water Science and Technology;Soil Science,1.875,1.579,12.4,12.1,640,30753,9,2.03,577,34271,31,3.29,487,32375,259,2.87
