title,Author_count,Open_access,Unique_affiliations_count,citedby_count
A comprehensive review of spatial distribution modeling of plant species in mountainous environments: Implications for biodiversity conservation and climate change assessment,4,1,3,0
Enhancing artificial permafrost table predictions using integrated climate and ground temperature data: A case study from the Qinghai-Xizang highway,6,0,2,1
Instant infrared: Estimating urban surface temperatures from street view imagery,6,0,4,0
A data-driven model for steel bridge temperature behaviour based on deep learning technology and heat transfer analysis,4,0,3,0
Enhancing energy efficiency in supermarkets: A data-driven approach for fault detection and diagnosis in CO<inf>2</inf> refrigeration systems,4,0,2,0
Monitoring China's solar power plant in-use stocks and material recycling potentials using multi-source geographical data,7,0,6,0
Cost effectiveness of carbon capture and storage based on probability estimation of social cost of carbon,3,0,2,1
A comparative study of machine learning frameworks for predicting CO<inf>2</inf> conversion into light olefins,5,0,4,0
Designing a predictive optimal water and energy irrigation (POWEIr) controller for solar-powered drip irrigation systems in resource-constrained contexts,5,0,2,1
Extending intraday solar forecast horizons with deep generative models,4,1,4,0
Artificial intelligence application for assessment/optimization of a cost-efficient energy system: Double-flash geothermal scheme tailored combined heat/power plant,10,0,12,1
Assessing the spatial-temporal performance of machine learning in predicting grapevine water status from Landsat 8 imagery via block-out and date-out cross-validation,5,1,2,0
Fluoride contamination in African groundwater: Predictive modeling using stacking ensemble techniques,6,0,1,0
Spatial-temporal characteristics and the importance of environmental factors in relation to algal blooms in coastal seas,9,0,4,0
Incorporating long-term numerical weather forecasts to quantify dynamic vulnerability of irrigation supply system: A case study of Shihmen Reservoir in Taiwan,2,1,2,0
Is soil contamination a missing driver of soil heterotrophic respiration in land surface models? A study case with copper –,3,1,2,0
Comparative analysis of machine learning models and explainable AI for agriculture drought prediction: A case study of the Ta-pieh mountains,10,1,4,0
"Distribution, transport and ecological risk prediction of organophosphate esters in China seas based on machine learning",6,0,2,0
A renewable multigeneration system based on biomass gasification and geothermal energy: Techno-economic analysis using neural network and Grey Wolf optimization,9,0,12,0
Assessing and improving the high uncertainty of global gross primary productivity products based on deep learning under extreme climatic conditions,8,0,3,0
Long-term (2000–2020) global 0.05° continuous atmospheric carbon dioxide mapping combining OCO-2 observations and model simulations,6,0,3,0
Predicting storm surge extremes on the Southeast Brazilian Coast: Long-term projections with neural networks,3,0,2,0
Integrating machine learning algorithms and fuzzy AHP for assessing livelihood vulnerability in Southwestern Coastal Bangladesh,2,0,1,0
A comprehensive comparison of bias correction methods in climate model simulations: Application on ERA5-Land across different temporal resolutions,7,1,2,0
Drone Photogrammetry-based Wind Field Simulation for Climate Adaptation in Urban Environments,5,0,2,0
Climate change as a challenge for pharmaceutical storage and tackling antimicrobial resistance,6,1,2,0
Roadside measurement of N<inf>2</inf>O and CH<inf>4</inf> emissions from vehicles in Hong Kong,9,0,4,0
Modeling regional forest site productivity accounting spatial structure in climatic and edaphic variables,5,0,4,0
Refining water and carbon fluxes modeling in terrestrial ecosystems via plant hydraulics integration,11,0,9,0
Enhanced CO<inf>2</inf> leak detection in soil: High-fidelity digital colorimetry with machine learning and ACES AP0,5,0,2,0
High-resolution satellite imagery reveals a recent accelerating rate of increase in land evapotranspiration,2,1,1,1
Forest disturbance detection in Central Europe using transformers and Sentinel-2 time series,5,1,2,0
Unlocking the full potential of Sentinel-1 for flood detection in arid regions,5,1,5,0
Two-stage estimation of hourly diffuse solar radiation across China using end-to-end gradient boosting with sequentially boosted features,7,0,1,0
Retrieval of high-resolution melting-season albedo and its implications for the Karakoram Anomaly,12,0,2,0
A novel framework for developing a machine learning-based forecasting model using multi-stage sensitivity analysis to predict the energy consumption of PCM-integrated building,3,0,1,0
Multi-objective optimization for energy-efficient building design considering urban heat island effects,3,0,2,3
A novel approach to estimate land surface temperature from landsat top-of-atmosphere reflective and emissive data using transfer-learning neural network,7,0,3,0
Exploring action-law of microplastic abundance variation in river waters at coastal regions of China based on machine learning prediction,5,0,1,0
Unlocking the ecohydrological dynamics of vegetation growth's impact on Terrestrial Water Storage trends across the China-Pakistan Economic Corridor,6,0,2,0
Carbon dioxide fertilization enhanced carbon sink offset by climate change and land use in Amazonia on a centennial scale,6,0,5,0
Climate change drives fish communities: Changing multiple facets of fish biodiversity in the Northwest Pacific Ocean,8,0,6,0
Impact of amorphous structure on CO<inf>2</inf> electrocatalysis with Cu: A combined machine learning forcefield and DFT modelling approach,2,1,1,0
Modeling time series of vegetation indices in tallgrass prairie using machine and deep learning algorithms,8,1,2,0
DATA ANALYSIS AND MACHINE LEARNING APPLICATIONS IN ENVIRONMENTAL MANAGEMENT,7,1,2,0
Using non-continuous accelerometry to identify cryptic nesting events of Galapagos giant tortoises,8,1,5,0
Development of a simple prediction model for cowpea yield under environmentally growth-restricted conditions,5,1,4,0
Enhancing Alaskan wildfire prediction and carbon flux estimation: a two-stage deep learning approach within a process-based model,2,1,1,0
Framework for deep learning diagnosis of plant disorders in horticultural crops: From data collection tools to user-friendly web and mobile apps,13,1,5,0
Prospects of artificial intelligence for the sustainability of sugarcane production in the modern era of climate change: An overview of related global findings,15,1,15,0
Dynamical systems-inspired machine learning methods for drought prediction,3,1,2,0
"Evaluation of machine learning and deep learning models for daily air quality index prediction in Delhi city, India",3,0,1,0
Artificial intelligence in environmental monitoring: in-depth analysis,2,1,2,0
"Review of dynamic façade typologies, physical performance and control methods: Towards smarter and cleaner zero-energy buildings",4,0,1,0
Overview and advancement of power system topology addressing pre- and post-event strategies under abnormal operating conditions,4,0,1,0
Challenges to and importance of considering early and intermediate ontogenetic stages in mangrove forest recovery and restoration,6,0,5,0
Long-term water quality assessment in coastal and inland waters: An ensemble machine-learning approach using satellite data,3,0,1,0
"Assessing climate change threats and urbanization impacts on surface runoff in Gdańsk (Poland): insights from remote sensing, machine learning and hydrological modeling",3,1,2,0
Inclusive Indian Central Himalayan soil carbon estimates underscores significant inorganic carbon contribution and temporal dynamics: Implications for carbon sequestration,2,0,1,0
Reconstructed centennial precipitation-driven water storage anomalies in the Nile River Basin using RecNet and their suitability for studying ENSO and IOD impacts,6,0,4,0
Global greenhouse gas reduction forecasting via machine learning model in the scenario of energy transition,2,0,2,0
Revolutionizing the future of hydrological science: Impact of machine learning and deep learning amidst emerging explainable AI and transfer learning,4,1,1,0
SMART-CYPS: an intelligent internet of things and machine learning powered crop yield prediction system for food security,9,1,5,0
Machine learning-driven CO2 emission forecasting for light-duty vehicles in China,4,0,2,0
Global forecasting of carbon concentration through a deep learning spatiotemporal modeling,3,1,1,0
Machine learning models for river flow forecasting in small catchments,4,1,4,0
SAR image integration for multi-temporal analysis of Lake Manchar Wetland dynamics using machine learning,9,1,7,0
Coastal urban flood risk management: Challenges and opportunities − A systematic review,5,1,2,0
Mapping coastal green infrastructure along the Pondicherry coast using remote sensing data and machine learning algorithm,5,0,1,0
A detection of street trees and green space: Understanding contribution of urban trees to climate change mitigation,6,0,3,0
Comprehensive assessment of cascading dams-induced hydrological alterations in the lancang-mekong river using machine learning technique,4,0,3,0
Multi-temporal image analysis of wetland dynamics using machine learning algorithms,9,0,3,0
Machine learning approach for Studying the multifunctionality of soil against global climate changes,4,1,2,0
Identifying climate-ready plant for urban environment: Integrating machine learning with traditional plant selection tools,5,0,1,0
Neural network based estimates of the climate impact on mortality in Germany: application to storyline climate simulations,4,1,3,0
Detecting climate anxiety in therapy through natural language processing,3,1,3,0
Endogenous phosphorus release from plateau lakes responds significantly to temperature variability over the last 50 years,10,0,5,0
Optimizing silt density index prediction in water treatment systems using pressure-based gradient boosting hybridized with Salp Swarm Algorithm,6,1,7,0
Future climate-driven escalation of Southeastern Siberia wildfires revealed by deep learning,14,1,2,0
Machine learning for high-performance solar radiation prediction,7,1,7,0
Remote sensing and machine learning algorithms to predict soil salinity in southern Kazakhstan,6,1,3,0
Near future flash flood prediction in an arid region under climate change,7,1,4,1
How synchronized human networks escape local minima,6,1,3,0
A review of remote sensing of flood monitoring and assessment in southern Africa,2,0,2,0
"Projected risk and vulnerability to heat waves for Montreal, Quebec, using Gaussian processes",4,1,4,0
Improving electric vehicles sustainability: Accurate forecasting of lithium-ion battery health using machine learning models,5,0,2,0
The role of pumped hydro storage in the Portuguese National Plan for energy and climate for 2030: A hybrid approach using Energy PLAN and machine learning,3,0,2,0
Investigating agricultural drought in Northern Italy through explainable Machine Learning: Insights from the 2022 drought,4,1,2,0
An optimal global biochar application strategy based on matching biochar and soil properties to reduce global cropland greenhouse gas emissions: findings from a global meta-analysis and density functional theory calculation,3,1,3,0
Assessing the impacts of land use and climate change on the distribution patterns of Ulex europaeus L. (Fabaceae) in the Canary Islands,7,1,7,0
"Evaluating and Predicting Meteorological Drought Using Different Climate Reanalysis Datasets over New South Wales, Australia",3,1,4,0
Current progress in subseasonal-to-decadal prediction based on machine learning,8,1,3,0
Evaluating the Performance of Data-Driven Models Combined with IoT to Predict the Onion Yield under Different Irrigation Regimes,5,0,3,0
High-resolution modeling and projection of heat-related mortality in Germany under climate change,4,1,2,0
Artificial intelligence for predicting arctic permafrost and active layer temperatures along the Alaskan North Slope,4,1,2,0
Assessing critical flood-prone districts and optimal shelter zones in the Brahmaputra Valley: Strategies for effective flood risk management,7,0,7,0
Lake responses and mechanisms to El Niño on the Tibetan Plateau using deep learning-based semantic segmentation,7,0,2,0
Land-atmosphere interaction during heat waves diagnosed using vapor pressure deficit dynamics,6,0,2,0
Flash flood prediction modeling in the hilly regions of Southeastern Bangladesh: A machine learning attempt on present and future climate scenarios,4,1,2,0
Major distribution shifts are projected for key rangeland grasses under a high-emission scenario in East Africa at the end of the 21<sup>st</sup> century,10,1,6,0
Combating wheat yellow mosaic virus through microbial interactions and hormone pathway modulations,10,1,3,1
Assessing the impact of climate policy stringency on corporate energy innovation: Insights from China,4,0,5,0
"A comprehensive review of livestock development: insights into domestication, phylogenetics, diversity, and genomic advances",8,0,2,0
A combined data assimilation and deep learning approach for continuous spatio-temporal SWE reconstruction from sparse ground tracks,4,1,4,0
BEW-YOLOv8: A deep learning model for multi-scene and multi-scale flood depth estimation,4,0,1,0
Varying influences of the built environment on household travel in the United States – An update with 36 diverse regions and machine learning,4,0,3,0
"Groundwater dynamics clustering and prediction based on grey relational analysis and LSTM model: A case study in Beijing Plain, China",7,1,2,0
Faster dieback of rainforests altering tropical carbon sinks under climate change,3,1,3,0
Improving global gross primary productivity estimation using two-leaf light use efficiency model by considering various environmental factors via machine learning,8,0,2,0
A rough set-based model for predicting soil greenhouse gases response to biochar,7,1,2,0
AVA-YOLO: image-based multiscale feature fusion enhanced perception model for snow avalanche detection,6,0,1,0
Reverse logistics for electric vehicles under uncertainty: An intelligent emergency management approach,5,0,4,0
Extracting paleoweather from paleoclimate through a deep learning reconstruction of Last Millennium atmospheric blocking,1,1,1,0
"Predicting the effect of climate change on the spatiotemporal distribution of two endangered plant species, Silene leucophylla Boiss. and Silene schimperiana Boiss., using machine learning, in Saint Catherine Protected Area, Egypt",4,1,2,0
Technologies in cattle traceability: A bibliometric analysis,3,0,2,0
Predictive analytics on crop yield using supervised learning techniques,7,1,6,0
Climate change will decrease the coverage of suitable niches for Asian medicinal orchid (Bulbophyllum odoratissimum) and its main phorophyte (Pistacia weinmannifolia),1,1,1,0
Clarifying the impact of engine operating parameters of heavy-duty diesel vehicles on NOx and CO<inf>2</inf> emissions using multimodal fusion methods,10,0,4,0
Drought impairs detritivore feeding activity more strongly in northern than in southern European latitudes,9,1,6,0
Attenuated Total Reflection Fourier Transform Infrared Spectral Identification of Bioaerosol Based on 1D-CNN,7,0,2,0
Classifying eutrophication spatio-temporal dynamics in river systems using deep learning technique,5,0,1,0
Assessing the impact of urbanization on forest carbon stocks and social costs using a machine learning approach,3,0,1,0
A new methodology for establishing an SOC content prediction model that is spatiotemporally transferable at multidecadal and intercontinental scales,5,0,4,1
Predictive modeling of CO<inf>2</inf> solubility in piperazine aqueous solutions using boosting algorithms for carbon capture goals,5,1,2,0
The Promise of Health for All: A Collaborative Model to Close Treatment Gaps for Neglected Diseases,1,0,1,1
Constraining the trend in the ocean CO<inf>2</inf> sink during 2000–2022,6,1,3,0
Sensitivity analysis and multi-objective optimization for design guideline of effective direct conversion of CO<inf>2</inf> to DME,6,0,4,0
Enhancing soil organic carbon prediction of LUCAS soil database using deep learning and deep feature selection,5,1,4,2
Editorial overview: Plant synthetic biology,2,0,1,0
Sustainable approaches and advancements in the recycling and recovery of metals in batteries: A review,2,1,1,0
"Analyzing trend and forecasting of temperature and rainfall in Shimla district of Himachal Pradesh, India using non-parametric and bagging REPTree machine learning approaches",6,0,1,0
Review of machine learning methods for sea level change modeling and prediction,3,0,2,1
Towards optimizing conservation planning: A performance evaluation of modeling techniques for predicting Mediterranean native species distribution,4,0,2,0
Implementation of stack-based ensemble technique for classification of glaciers in the western Himalayan catchments,3,0,2,0
Corroboration of arsenic variation over the Indian Peninsula through standardized precipitation evapotranspiration indices and groundwater level fluctuations: Water quantity indicators for water quality prediction,5,0,3,1
Potential negative impacts of climate change outweigh opportunities for the Colombian Pacific Ocean Shrimp Fishery,3,1,4,0
Flood simulation using LISFLOOD and inundation effects: A case study of Typhoon In-Fa in Shanghai,11,0,3,0
Rice yield prediction through integration of biophysical parameters with SAR and optical remote sensing data using machine learning models,5,1,4,0
Glacier lakes detection utilizing remote sensing integration with satellite imagery and advanced deep learning method,3,0,2,0
Advanced prediction of rice yield gaps under climate uncertainty using machine learning techniques in Eastern India,3,1,3,0
Identifying the habitat suitability of Pteris vittata in China and associated key drivers using machine learning models,5,0,3,0
"Comparative efficiency of the SWAT model and a deep learning model in estimating nitrate loads at the Tuckahoe creek watershed, Maryland",11,0,6,0
"Phlebotomine sand flies (Diptera: Psychodidae) of Bosnia and Herzegovina: distribution, ecology and environmental preferences",10,1,7,0
Machine learning and deep learning models based grid search cross validation for short-term solar irradiance forecasting,4,1,2,0
Unveiling fractional vegetation cover dynamics: A spatiotemporal analysis using MODIS NDVI and machine learning,11,1,10,1
EMLARDE tree: ensemble machine learning based random de-correlated extra decision tree for the forest cover type prediction,2,0,2,0
Unveiling the spatiotemporal dynamics and influencing factors of carbon stocks in the yangtze river basin over the past two decades,2,0,2,0
Enhancing the accuracy of wind power projections under climate change using geospatial machine learning models,4,1,3,0
Drought index time series forecasting via three-in-one machine learning concept for the Euphrates basin,4,0,2,0
Reshuffling of Azorean Coastal Marine Biodiversity Amid Climate Change,4,1,5,0
Egypt's water future: AI predicts evapotranspiration shifts across climate zones,5,1,6,2
Advances and future directions of environmental risk research: A bibliometric review,6,0,3,1
Unraveling the complex interactions between ozone pollution and agricultural productivity in China's main winter wheat region using an interpretable machine learning framework,3,0,3,1
Scalable spatiotemporal prediction with Bayesian neural fields,7,1,2,0
Synergistic approach for land use and land cover dynamics prediction in Uttarakhand using cellular automata and Artificial neural network,3,1,1,0
Health impact assessment of air pollutants in simulated temperature scenarios in the largest coal mining region of Brazil,13,1,6,0
Influence of Protected Areas in the Carbon Cycle: A Machine Learning Approach for Future Forecasting,3,1,3,1
Decoding environmental impact with image-based CO<inf>2</inf> emission analytics,6,1,3,0
Attributing impacts of LULCC on the boundary layer climate of South Africa’s eastern escarpment,7,0,6,0
Advancing forest carbon stocks’ mapping using a hierarchical approach with machine learning and satellite imagery,6,1,4,0
"Upcycling biowaste into advanced carbon materials via low-temperature plasma hybrid system: applications, mechanisms, strategies and future prospects",6,0,2,1
Machine learning downscaling of GRACE/GRACE-FO data to capture spatial-temporal drought effects on groundwater storage at a local scale under data-scarcity,3,1,2,0
A greater negative impact of future climate change on vegetation in Central Asia: Evidence from trajectory/pattern analysis,10,0,2,0
"Correction to: Adsorbent based on MOF-5/cellulose aerogel composite for adsorption of organic dyes from wastewater (Scientific Reports, (2024), 14, 1, (15623), 10.1038/s41598-024-65774-y)",4,1,2,0
Modeling the presidential approval ratings of the United States using machine-learning: Does climate policy uncertainty matter?,3,0,4,0
Digitalisation opportunities for livestock welfare monitoring with a focus on heat stress,10,0,6,0
Environmental assessment of soluble solids contents and pH of orange using hyperspectral method and machine learning,3,1,3,0
A framework for natural resource management with geospatial machine learning: a case study of the 2021 Almora forest fires,4,1,3,0
A machine learning approach for estimating snow depth across the European Alps from Sentinel-1 imagery,4,1,2,0
Forest growing stock volume mapping with accompanying uncertainty in heterogeneous landscapes using remote sensing data,7,0,1,0
Genetic modification optimization technique: A neural network multi-objective energy management approach,2,1,2,0
"The impact of climate change on Al-wala basin based on geomatics, hydrology and climate models",3,0,1,1
Modelling bluetongue and African horse sickness vector (Culicoides spp.) distribution in the Western Cape in South Africa using random forest machine learning,4,1,2,0
Role and applications of advanced digital technologies in achieving sustainability in multimodal logistics operations: A systematic literature review,4,1,1,1
Development of L-band fully polarimetric SAR algorithm for forest biomass retrieval using 7SD and random forest regression,7,1,6,1
Deep learning for detecting and characterizing oil and gas well pads in satellite imagery,9,1,3,0
Report of the 2023 Asia Pacific Conference on Mosquito and Vector Control: “reimagining vector control—innovations for a changed world”,9,1,3,0
Uncovering waterlogging-responsive genes in cucumber through machine learning and differential gene correlation analysis,3,1,2,0
Hierarchical machine learning models can identify stimuli of climate change misinformation on social media,6,1,3,0
Green versus grey: Impact of renewable and non-renewable energy usage on Canada's growth trajectory in the context of internal and external forces,3,1,3,1
Characterizing Shifts in Major Land Use Types and the Response of Water Yield in a Catchment with Widespread Peaty Wetlands,3,0,2,0
"Impact of climate change on spatiotemporal patterns of snow hydrology: Conceptual frameworks, machine learning versus nested model",2,0,1,1
Advancing climate resilience through a geo-design framework: strengthening urban and community forestry for sustainable environmental design,7,1,6,0
ML-based technologies in sustainable agro-food production and beyond: Tapping the (semi) arid landscape for bioactives-based product development,8,1,1,0
Environmental benefit of recycling plastics from waste electrical & electronic equipment,8,0,2,0
Unlocking the potential of Naive Bayes for spatio temporal classification: a novel approach to feature expansion,2,1,1,1
Avoiding future surprises after acute shocks: long-term flood risk lessons catalysed by the 2021 summer flood in the Netherlands,3,1,2,0
A machine learning-based multiclass classification model for bee colony anomaly identification using an IoT-based audio monitoring system with an edge computing framework,9,0,5,0
Modest forest and welfare gains from initiatives for reduced emissions from deforestation and forest degradation,6,1,5,0
"Enhancing landslide susceptibility mapping using a positive-unlabeled machine learning approach: a case study in Chamoli, India",5,1,3,1
The Canadian Fire Spread Dataset,9,1,4,1
Case study on climate change effects and food security in Southeast Asia,11,1,8,2
European beech spring phenological phase prediction with UAV-derived multispectral indices and machine learning regression,2,1,2,0
Mapping of 10-km daily diffuse solar radiation across China from reanalysis data and a Machine-Learning method,8,1,3,0
Fertilization and soil management machine learning based sustainable agronomic prescriptions for durum wheat in Italy,9,0,3,0
Research progress and state-of-the-art on solar membrane desalination,4,1,2,0
Securing China’s rice harvest: unveiling dominant factors in production using multi-source data and hybrid machine learning models,6,1,7,3
Impact and recovery of forest cover following wildfire in the Northern Rocky Mountains of the United States,3,1,1,0
Climate and urbanization drive changes in the habitat suitability of Schistosoma mansoni competent snails in Brazil,14,1,7,0
Glacial troughs as centres of organic carbon accumulation on the Norwegian continental margin,6,1,3,0
A review of short-term wind power generation forecasting methods in recent technological trends,3,1,1,3
Harmonizing existing climate change mitigation policy datasets with a hybrid machine learning approach,4,1,1,0
Interpretable machine learning decodes soil microbiome’s response to drought stress,6,1,2,0
Leveraging unsupervised machine learning to examine women's vulnerability to climate change,3,0,4,1
"Global high-resolution growth projections dataset for rooftop area consistent with the shared socioeconomic pathways, 2020–2050",9,1,10,1
Global biogeography of microbes driving ocean ecological status under climate change,12,1,7,4
Agricultural land use modeling and climate change adaptation: A reinforcement learning approach,3,1,1,0
Unveiling Regional Climate Patterns Through Global Subsurface Ocean Temperature Data: An AI Multi-Layer Analysis Framework,2,1,1,1
Ecological niche modelling of Culicoides imicola and future range shifts under climate change scenarios in Italy,7,1,2,1
Insights from modelling sixteen years of climatic and fumonisin patterns in maize in South Africa,3,1,1,1
Optimizing scope 3 emissions in the automotive manufacturing industry: a multidisciplinary approach,5,1,4,2
Systematic review and meta-analysis of ex-post evaluations on the effectiveness of carbon pricing,15,1,12,13
"A culture-independent approach, supervised machine learning, and the characterization of the microbial community composition of coastal areas across the Bay of Bengal and the Arabian Sea",3,1,4,1
Control of Vibrio vulnificus proliferation in the Baltic Sea through eutrophication and algal bloom management,22,1,10,5
Future groundwater potential mapping using machine learning algorithms and climate change scenarios in Bangladesh,8,1,8,2
Artificial intelligence to predict soil temperatures by development of novel model,9,1,7,2
Immunological and molecular diagnostic techniques in fish health: present and future prospectus,7,0,1,2
Unequal impacts of urban industrial land expansion on economic growth and carbon dioxide emissions,4,1,2,3
"A taxonomy to map evidence on the co-benefits, challenges, and limits of carbon dioxide removal",5,1,4,8
Effects of public policy interventions for environmentally sustainable food consumption: a systematic map of available evidence,8,1,6,3
Machine Learning Algorithms for Power System Sign Classification and a Multivariate Stacked LSTM Model for Predicting the Electricity Imbalance Volume,2,1,1,3
Assessment of large-scale multiple forest disturbance susceptibilities with AutoML framework: an Izmir Regional Forest Directorate case,3,1,2,1
Vertical structural complexity of plant communities represents the combined effects of resource acquisition and environmental stress on the Tibetan Plateau,6,1,4,0
A framework to assess permafrost thaw threat for land transportation infrastructure in northern Canada,2,1,2,2
Exploring super-resolution spatial downscaling of several meteorological variables and potential applications for photovoltaic power,5,1,3,2
Analysis of decarbonization path in New York state and forecasting carbon emissions using different machine learning algorithms,2,1,1,0
Field-scale crop water consumption estimates reveal potential water savings in California agriculture,6,1,3,3
A control oriented strategy of disruption prediction to avoid the configuration collapse of tokamak reactors,100,1,37,3
"Natural variables separate the endemic areas of Clonorchis sinensis and Opisthorchis viverrini along a continuous, straight zone in Southeast Asia",10,1,8,1
Earlier spring greening in Northern Hemisphere terrestrial biomes enhanced net ecosystem productivity in summer,10,1,9,7
Wildfire probability estimated from recent climate and fine fuels across the big sagebrush region,12,1,9,4
Creation and environmental applications of 15-year daily inundation and vegetation maps for Siberia by integrating satellite and meteorological datasets,8,1,9,0
Irrigation expansion has kept pace with the CO<inf>2</inf> fertilization effect on vegetation growth in a typical arid region,9,1,6,0
Mapping of soil suitability for medicinal plants using machine learning methods,6,1,4,5
"Towards an intelligent malaria outbreak warning model based intelligent malaria outbreak warning in the northern part of Benin, West Africa",4,1,3,0
Signatures of local adaptation to current and future climate in phenology-related genes in natural populations of Quercus robur,4,1,2,0
Quantifying peatland land use and CO<inf>2</inf> emissions in Irish raised bogs: mapping insights using Sentinel-2 data and Google Earth Engine,4,1,2,7
Distribution of global sea turtle nesting explained from regional-scale coastal characteristics,6,1,3,0
Knowledge-guided machine learning can improve carbon cycle quantification in agroecosystems,17,1,9,19
"A multilayered urban tree dataset of point clouds, quantitative structure and graph models",5,1,1,9
The financial well-being of fruit farmers in Chile and Tunisia depends more on social and geographical factors than on climate change,3,1,2,1
A machine learning assisted prediction of potential biochar and its applications in anaerobic digestion for valuable chemicals and energy recovery from organic waste,9,1,4,9
Identification of influential weather parameters and seasonal drought prediction in Bangladesh using machine learning algorithm,8,1,5,7
"Prediction of annual CO<inf>2</inf> emissions at the country and sector levels, based on a matrix completion optimization problem",4,1,2,2
Data-driven energy consumption prediction of a university office building using machine learning algorithms,3,0,2,1
Predicting Cloud-To-Ground Lightning in the Western United States From the Large-Scale Environment Using Explainable Neural Networks,6,1,6,0
Influence of surface water and groundwater gradient on spatial distribution of typical vegetation in the hinterland of Taklamakan desert,5,0,3,0
Factors controlling the water quality of rock glacier springs in European and American mountain ranges,26,1,21,0
Investigating the influence of urban morphology on pluvial flooding: Insights from urban catchments in England (UK),5,1,2,0
"Cold threat and moisture deficit induced individual tree mortality via 25-year monitoring in seminatural mixed forests, northeastern China",3,0,3,0
Revisiting the impact of temperature on ground-level ozone: A causal inference approach,8,0,4,0
Predicting groundwater phosphate levels in coastal multi-aquifers: A geostatistical and data-driven approach,10,0,10,0
"Deteriorating wintertime habitat conditions for waterfowls in Caizi Lake, China: Drivers and adaptive measures",10,0,6,0
Prediction of CO<inf>2</inf> Storage in Different Geological Conditions Based on Machine Learning,8,0,3,0
Integrating machine learning for enhanced wildfire severity prediction: A study in the Upper Colorado River basin,5,0,2,0
