title,aggregationType,subject_area_abbrevs,subject_area_names,SNIP,SJR,publicationCount_2022,citeCountSCE_2022,zeroCitesSCE_2022,revPercent_2022,publicationCount_2023,citeCountSCE_2023,zeroCitesSCE_2023,revPercent_2023,publicationCount_2024,citeCountSCE_2024,zeroCitesSCE_2024,revPercent_2024,publisher,citeScoreTracker_2024,citeScoreCurrentMetric_2023
AEU - International Journal of Electronics and Communications,journal,ENGI,Electrical and Electronic Engineering,1.262,0.714,285,9270,24,0.35,413,9287,72,0.73,476,8451,302,1.68,Elsevier GmbH,6.0,6.9
AFTE Journal,journal,ENGI;SOCI,"Mechanics of Materials;Law;Health (social science);Safety, Risk, Reliability and Quality",0.14,0.173,13,56,9,0.0,14,102,13,0.0,0,48,0,0.0,Association of Firearm and Tool Mark Examiners,0.9,0.9
AIAA Journal,journal,ENGI,Aerospace Engineering,1.355,1.023,543,34300,54,0.0,423,34426,88,0.0,189,31134,108,0.0,American Institute of Aeronautics and Astronautics Inc. (AIAA),5.8,5.6
AIAA/IEEE Digital Avionics Systems Conference - Proceedings,conferenceproceeding,ENGI,Aerospace Engineering;Electrical and Electronic Engineering,0.669,0.311,168,1777,56,0.0,239,2029,147,0.0,0,1745,0,0.0,Institute of Electrical and Electronics Engineers Inc.,2.1,1.7
AIJ Journal of Technology and Design,journal,ENGI,Architecture;Building and Construction,0.916,0.272,284,247,240,0.0,282,325,255,0.0,194,251,193,0.0,Architectural Institute of Japan,0.3,0.3
AIMS Electronics and Electrical Engineering,journal,ENGI;COMP,Control and Systems Engineering;Computer Science Applications;Electrical and Electronic Engineering,0.557,0.272,29,134,5,6.9,16,190,9,6.25,21,179,18,4.76,American Institute of Mathematical Sciences,2.9,2.4
AISTech - Iron and Steel Technology Conference Proceedings,conferenceproceeding,ENGI,Industrial and Manufacturing Engineering,0.33,0.144,211,292,184,0.0,257,241,242,0.0,252,291,248,0.0,"Association for Iron and Steel Technology, AISTECH",0.2,0.2
AIUB Journal of Science and Engineering,journal,ENGI;MATH;COMP,Mathematics (miscellaneous);Engineering (all);Computer Science (all),0.188,0.166,21,32,15,0.0,30,90,16,0.0,20,60,19,0.0,AIUB Office of Research and Publication,1.2,1.0
AP-S International Symposium (Digest) (IEEE Antennas and Propagation Society),conferenceproceeding,ENGI,Electrical and Electronic Engineering,0.422,0.108,0,3109,0,0.0,927,2833,669,0.0,1372,2170,1356,0.0,Institute of Electrical and Electronics Engineers Inc.,0.2,0.1
APL Bioengineering,journal,CENG;ENGI;BIOC;MATE,Biomedical Engineering;Bioengineering;Biophysics;Biomaterials,1.028,1.119,44,1361,2,40.91,86,1564,13,12.79,86,1603,56,18.6,American Institute of Physics,8.4,9.3
APL Materials,journal,ENGI;MATE,Engineering (all);Materials Science (all),1.339,1.527,220,10156,9,1.36,293,10581,64,4.78,285,10195,187,7.37,American Institute of Physics,7.6,9.6
ARPN Journal of Engineering and Applied Sciences,journal,ENGI,Engineering (all),0.231,0.150,255,3650,206,0.0,279,3400,241,0.72,105,2540,101,0.95,Asian Research Publishing Network (ARPN),0.6,0.7
ARQ,journal,ARTS;ENGI,Conservation;Architecture;Visual Arts and Performing Arts,0.184,0.118,44,51,38,0.0,48,72,42,0.0,15,44,15,0.0,Pontificia Universidad Catolica de Chile,0.2,0.2
ASAIO Journal,journal,CENG;BIOC;MEDI;MATE;ENGI,Bioengineering;Medicine (all);Biomaterials;Biophysics;Biomedical Engineering,1.128,0.993,299,6128,61,8.03,286,5821,111,4.9,233,5147,167,5.15,Lippincott Williams and Wilkins,5.5,6.6
"ASCE-ASME Journal of Risk and Uncertainty in Engineering Systems, Part A: Civil Engineering",journal,ENGI,"Building and Construction;Safety, Risk, Reliability and Quality;Civil and Structural Engineering",0.955,0.622,84,1047,10,2.38,63,1253,15,3.17,108,1257,71,1.85,American Society of Civil Engineers (ASCE),4.6,5.3
"ASCE-ASME Journal of Risk and Uncertainty in Engineering Systems, Part B: Mechanical Engineering",journal,ENGI;SOCI,"Mechanical Engineering;Safety Research;Safety, Risk, Reliability and Quality",0.773,0.467,48,553,12,2.08,31,582,13,0.0,38,570,29,0.0,The American Society of Mechanical Engineers(ASME),4.2,5.2
ASEAN Engineering Journal,journal,CENG;ENVI;ENER;ENGI;EART;COMP,Energy Engineering and Power Technology;Engineering (all);Computer Science Applications;Environmental Engineering;Geotechnical Engineering and Engineering Geology;Chemical Engineering (all),0.262,0.158,95,75,49,2.11,80,111,53,0.0,75,146,67,0.0,Penerbit UTM Press,0.8,0.6
ASEAN Journal of Science and Engineering,journal,CENG;ENGI;CHEM,Engineering (miscellaneous);Mechanical Engineering;Chemistry (miscellaneous);Chemical Engineering (miscellaneous),1.298,0.579,31,182,5,0.0,33,311,6,0.0,20,316,8,0.0,Universitas Pendidikan Indonesia,7.5,5.2
ASHRAE Journal,journal,ENGI,Mechanical Engineering;Building and Construction,0.406,0.211,87,908,65,1.15,81,807,68,7.41,38,622,37,0.0,American Society of Heating Refrigerating and Air-Conditioning Engineers,0.7,1.0
ASHRAE Transactions,conferenceproceeding,ENGI,Mechanical Engineering;Building and Construction,0.171,0.156,155,2809,110,0.0,207,2490,176,0.0,128,1918,125,0.0,"Amer. Soc. Heating, Ref. Air-Conditoning Eng. Inc.",0.3,0.5
AUS,journal,ENGI;SOCI,Architecture;Urban Studies,0.542,0.173,28,46,22,0.0,13,75,12,0.0,26,38,25,0.0,Universidad Austral de Chile,0.2,0.4
AVS Quantum Science,journal,PHYS;MATE;CHEM;ENGI;COMP,"Atomic and Molecular Physics, and Optics;Condensed Matter Physics;Physical and Theoretical Chemistry;Electronic, Optical and Magnetic Materials;Computer Networks and Communications;Computational Theory and Mathematics;Electrical and Electronic Engineering",2.125,2.534,72,617,11,15.28,62,887,26,1.61,47,822,31,4.26,American Institute of Physics,6.8,9.9
Academic Journal of Manufacturing Engineering,journal,ENGI,Industrial and Manufacturing Engineering,0.104,0.121,60,130,42,1.67,64,145,49,3.13,47,125,44,8.51,Editura Politehnica,0.5,0.4
Accident Analysis and Prevention,journal,ENGI;SOCI;MEDI,"Law;Public Health, Environmental and Occupational Health;Human Factors and Ergonomics;Safety, Risk, Reliability and Quality",2.18,1.897,246,30347,6,0.0,305,30403,38,0.0,345,29959,185,0.0,Elsevier Ltd,11.2,11.9
Accreditation and Quality Assurance,journal,CENG;PHYS;ENGI;CHEM,"Chemistry (all);Instrumentation;Safety, Risk, Reliability and Quality;Chemical Engineering (all)",0.74,0.274,36,873,11,5.56,37,831,25,0.0,65,754,57,4.62,Springer New York,1.4,1.8
Acta Acustica,journal,PHYS;HEAL;ARTS;ENGI;COMP,Acoustics and Ultrasonics;Music;Electrical and Electronic Engineering;Computer Science Applications;Speech and Hearing,0.782,0.341,61,2304,11,4.92,67,2226,34,4.48,20,1593,16,0.0,"European Acoustics Association, EAA",3.2,2.8
Acta Astronautica,journal,ENGI,Aerospace Engineering,1.682,1.106,588,19135,52,3.06,616,21096,111,2.76,661,19381,457,3.48,Elsevier Ltd,6.6,7.2
Acta Biomaterialia,journal,ENGI;BIOC;MATE,Biotechnology;Biomaterials;Molecular Biology;Biochemistry;Biomedical Engineering,1.561,1.925,672,63888,14,9.67,692,66208,34,10.4,563,63417,286,10.3,Acta Materialia Inc,16.8,16.8
Acta Cybernetica,journal,DECI;ENGI;MATH;COMP,Computer Science (miscellaneous);Information Systems and Management;Software;Management Science and Operations Research;Computer Vision and Pattern Recognition;Electrical and Electronic Engineering;Theoretical Computer Science,0.438,0.161,10,159,5,0.0,13,154,10,0.0,18,123,16,0.0,"University of Szeged, Institute of Informatics",1.0,1.1
Acta Geodaetica et Geophysica,journal,ENGI;EART,Building and Construction;Geology;Geophysics,0.794,0.347,37,581,6,0.0,31,634,9,0.0,24,611,19,0.0,Akademiai Kiado,3.4,3.1
Acta IMEKO,journal,PHYS;ENGI,Instrumentation;Mechanical Engineering;Electrical and Electronic Engineering,0.466,0.262,94,514,43,0.0,153,585,83,0.0,104,448,93,1.92,International Measurement Confederation (IMEKO),2.5,2.5
Acta Innovations,journal,ENVI;BUSI;SOCI;MEDI;ENER;ENGI,"Education;Public Health, Environmental and Occupational Health;Management of Technology and Innovation;Renewable Energy, Sustainability and the Environment;Energy (miscellaneous);Medicine (miscellaneous);Engineering (miscellaneous);Environmental Engineering;Social Sciences (miscellaneous)",0.562,0.344,25,244,7,0.0,33,261,14,0.0,14,252,6,0.0,Rotherham Academic Press Ltd,3.1,3.9
Acta Logistica,journal,BUSI;ENGI;SOCI,Industrial and Manufacturing Engineering;Transportation;Business and International Management;Civil and Structural Engineering,0.481,0.231,48,93,18,0.0,60,139,30,0.0,45,194,44,6.67,"4S go, s.r.o",1.8,1.8
Acta Mechanica,journal,ENGI,Mechanical Engineering;Computational Mechanics,0.992,0.558,278,8935,42,0.36,336,8533,84,0.3,405,8876,263,0.49,Springer-Verlag Wien,3.9,4.3
Acta Mechanica Sinica/Lixue Xuebao,journal,ENGI,Mechanical Engineering;Computational Mechanics,1.154,0.809,161,3444,16,4.35,172,3867,26,2.33,158,4264,106,1.27,Springer Verlag,6.4,5.6
Acta Mechanica Solida Sinica,journal,ENGI,Mechanical Engineering;Computational Mechanics;Mechanics of Materials,0.718,0.511,91,1663,11,0.0,80,1811,18,3.75,102,1837,81,0.0,Huazhong University of Science and Technology,3.8,3.8
Acta Mechanica et Automatica,journal,ENGI,Control and Systems Engineering;Mechanical Engineering,0.534,0.219,50,300,12,2.0,70,348,32,0.0,60,388,46,1.67,Bialystok University of Technology,1.7,1.4
Acta Metallurgica Sinica (English Letters),journal,ENGI;MATE,Metals and Alloys;Industrial and Manufacturing Engineering,1.041,0.732,173,3863,6,4.05,163,4224,26,4.91,184,4615,124,2.72,Springer International Publishing AG,6.0,6.6
Acta Periodica Technologica,journal,ENGI,Engineering (all),0.174,0.139,26,288,16,3.85,26,288,18,11.54,0,241,0,0.0,"University of Novi Sad, Faculty of Technology",0.8,0.6
Acta Polytechnica,journal,ENGI,Engineering (all),0.428,0.187,68,463,31,0.0,42,475,32,0.0,36,370,35,0.0,Czech Technical University in Prague,1.5,1.9
Acta Polytechnica CTU Proceedings,conferenceproceeding,PHYS;ENGI;MATH,Engineering (all);Applied Mathematics;Physics and Astronomy (all),0.236,0.161,303,75,196,0.0,93,108,82,0.0,39,175,36,0.0,Czech Technical University in Prague,0.5,0.4
Acta Polytechnica Hungarica,journal,ENGI,Engineering (all),0.684,0.368,149,1958,20,0.0,148,2224,35,0.0,174,1817,122,0.57,Obuda University,5.1,5.2
Acta Scientiarum - Technology,journal,MATH;PHYS;CHEM;ENGI;EART;COMP,Earth and Planetary Sciences (all);Engineering (all);Physics and Astronomy (all);Mathematics (all);Computer Science (all);Chemistry (all),0.215,0.174,70,687,29,0.0,57,624,38,0.0,39,576,35,0.0,Universidade Estadual de Maringa,1.2,1.4
Acta Technologica Agriculturae,journal,ENGI;AGRI;ENVI,Agronomy and Crop Science;Waste Management and Disposal;Mechanical Engineering,0.8,0.381,32,224,11,0.0,32,243,16,0.0,24,204,19,0.0,De Gruyter Open Ltd.,2.5,2.5
Acta of Bioengineering and Biomechanics,journal,CENG;ENGI;BIOC;MATE,Bioengineering;Biomaterials;Biophysics;Biomedical Engineering,0.356,0.285,69,1063,35,0.0,74,1005,58,0.0,0,929,0,0.0,Sciendo,2.0,2.1
Active and Passive Electronic Components,journal,ENGI;MATE,"Electronic, Optical and Magnetic Materials;Electrical and Electronic Engineering",0.221,0.184,0,323,0,0.0,6,266,3,16.67,2,203,2,0.0,Hindawi Publishing Corporation,1.9,1.3
Actuators,journal,ENGI;MATH,Control and Systems Engineering;Control and Optimization,0.916,0.517,370,2286,34,3.51,471,3326,129,5.73,426,3655,335,2.11,Multidisciplinary Digital Publishing Institute (MDPI),4.0,3.9
Ad-Hoc and Sensor Wireless Networks,journal,PHYS;ENGI;COMP,Instrumentation;Computer Science (all);Electrical and Electronic Engineering,0.227,0.265,52,408,21,0.0,38,352,25,0.0,24,229,22,0.0,Old City Publishing,2.1,2.0
Additive Manufacturing,journal,ENGI;MATE,Biomedical Engineering;Materials Science (all);Engineering (miscellaneous);Industrial and Manufacturing Engineering,2.399,2.837,676,30821,1,3.85,564,40044,14,2.48,583,45220,279,2.4,Elsevier B.V.,19.0,19.8
Additive Manufacturing Letters,journal,ENGI;MATE,Mechanics of Materials;Engineering (miscellaneous);Materials Science (miscellaneous);Industrial and Manufacturing Engineering,1.166,1.094,71,127,3,2.82,75,465,5,1.33,62,740,40,0.0,Elsevier B.V.,5.8,3.7
Advanced Biology,journal,ENGI;BIOC;MATE,"Biomaterials;Biochemistry, Genetics and Molecular Biology (all);Biomedical Engineering",0.685,0.993,94,2422,8,34.04,183,2525,38,32.24,225,2713,140,22.22,John Wiley & Sons Inc.,4.9,6.6
Advanced Biomedical Engineering,journal,ENGI;BIOC;MATE;COMP,Biotechnology;Computer Vision and Pattern Recognition;Biomaterials;Biomedical Engineering;Computer Science Applications,0.331,0.228,25,100,10,4.0,28,80,18,3.57,34,86,31,0.0,Japanese Society for Medical and Biological Engineering,1.0,1.4
Advanced Composite Materials,journal,ENGI;MATE,Mechanics of Materials;Mechanical Engineering;Ceramics and Composites,0.955,0.502,39,1271,3,0.0,56,1236,14,0.0,103,1300,72,0.0,Taylor and Francis Ltd.,4.0,5.0
Advanced Composites Bulletin,tradejournal,BUSI;ENGI;MATE,Industrial and Manufacturing Engineering;Business and International Management;Polymers and Plastics;Ceramics and Composites,0,0.102,25,0,24,0.0,0,1,0,0.0,0,2,0,0.0,Boughton Technical Media,0.0,0.0
Advanced Control for Applications: Engineering and Industrial Systems,journal,ENGI;MATH;ENER;COMP,Modeling and Simulation;Signal Processing;Artificial Intelligence;Computer Science Applications;Energy (miscellaneous);Computer Networks and Communications;Control and Systems Engineering,0.553,0.439,21,120,7,0.0,22,185,10,0.0,90,179,75,3.33,John Wiley and Sons Inc,2.5,2.6
Advanced Electromagnetics,journal,PHYS;ENGI;MATE,"Electronic, Optical and Magnetic Materials;Radiation;Electrical and Electronic Engineering",0.491,0.227,42,367,15,0.0,28,369,15,0.0,16,276,14,0.0,Advance Electromagnetics,2.7,2.4
Advanced Healthcare Materials,journal,ENGI;PHAR;MATE,Biomaterials;Pharmaceutical Science;Biomedical Engineering,1.391,2.337,515,29129,5,10.49,896,33846,25,10.71,1263,39313,571,14.57,John Wiley and Sons Inc,14.6,14.4
Advanced Industrial and Engineering Polymer Research,journal,CENG;ENGI;MATE,Polymers and Plastics;Materials Science (miscellaneous);Industrial and Manufacturing Engineering;Chemical Engineering (miscellaneous),3.746,2.234,26,1111,3,57.69,33,1688,1,33.33,42,2254,8,47.62,KeAi Communications Co.,19.8,26.3
Advanced Manufacturing: Polymer and Composites Science,journal,BUSI;ENGI;MATE,Management of Technology and Innovation;Polymers and Plastics;Electrical and Electronic Engineering,1.196,0.384,13,409,2,7.69,10,415,3,0.0,10,419,8,0.0,Taylor and Francis Ltd.,2.6,4.0
Advanced Materials,journal,ENGI;MATE,Materials Science (all);Mechanics of Materials;Mechanical Engineering,3.856,9.191,1838,375091,12,12.19,2412,386481,30,11.07,3548,408016,1079,14.18,Wiley-Blackwell,37.7,43.0
Advanced Materials Interfaces,journal,ENGI,Mechanical Engineering;Mechanics of Materials,0.835,1.194,1099,20715,25,9.1,668,23456,61,5.99,462,23296,294,6.71,John Wiley and Sons Ltd,9.1,8.4
Advanced Materials Technologies,journal,ENGI;MATE,Industrial and Manufacturing Engineering;Materials Science (all);Mechanics of Materials,1.203,1.694,575,14245,15,12.17,903,18425,64,13.62,725,21839,418,11.72,Wiley-Blackwell,10.2,10.2
Advanced Materials and Processes,tradejournal,ENGI;MATE,Materials Science (all);Mechanics of Materials;Mechanical Engineering,0.411,0.132,51,514,45,0.0,61,484,58,1.64,32,412,29,0.0,ASM International,0.5,0.4
Advanced Modeling and Simulation in Engineering Sciences,journal,ENGI;MATH;COMP,Modeling and Simulation;Computer Science Applications;Engineering (miscellaneous);Applied Mathematics,1.243,0.741,24,547,2,8.33,17,601,2,0.0,18,631,13,0.0,SpringerOpen,4.3,6.8
Advanced Photonics,journal,PHYS;ENGI;MATE,"Electronic, Optical and Magnetic Materials;Biomedical Engineering;Atomic and Molecular Physics, and Optics",5.043,5.361,43,1654,5,23.26,71,2307,7,9.86,38,2649,19,15.79,SPIE,28.6,22.7
Advanced Powder Technology,journal,CENG;ENGI,Mechanics of Materials;Chemical Engineering (all),1.113,0.813,429,14909,16,0.7,263,15906,35,0.76,299,15298,176,0.33,Elsevier B.V.,8.5,9.5
Advanced Quantum Technologies,journal,MATH;PHYS;MATE;ENGI;COMP,"Statistical and Nonlinear Physics;Condensed Matter Physics;Electronic, Optical and Magnetic Materials;Computational Theory and Mathematics;Electrical and Electronic Engineering;Mathematical Physics;Nuclear and High Energy Physics",1.278,1.609,88,1523,7,22.73,159,2133,33,7.55,256,2504,178,6.64,John Wiley & Sons Inc.,6.5,7.9
Advanced Robotics,journal,ENGI;COMP,Software;Computer Science Applications;Human-Computer Interaction;Hardware and Architecture;Control and Systems Engineering,0.898,0.605,98,3740,24,0.0,120,3706,40,0.83,129,3030,115,3.1,Taylor and Francis Ltd.,3.2,4.1
Advanced Science,journal,CENG;PHYS;BIOC;MEDI;MATE;ENGI,"Engineering (all);Physics and Astronomy (all);Materials Science (all);Medicine (miscellaneous);Biochemistry, Genetics and Molecular Biology (miscellaneous);Chemical Engineering (all)",2.11,3.914,1537,56470,21,11.13,1947,76126,64,8.47,3122,99368,1530,6.92,Wiley-VCH Verlag,17.7,18.9
Advanced Sciences and Technologies for Security Applications,bookseries,ENGI;SOCI;ENVI;COMP,"Political Science and International Relations;Health, Toxicology and Mutagenesis;Computer Networks and Communications;Safety Research;Computer Science Applications;Safety, Risk, Reliability and Quality",0,0.133,87,682,58,0.0,165,863,102,0.0,97,833,88,0.0,Springer Nature,1.4,1.1
Advanced Series on Ocean Engineering,bookseries,ENGI;EART,Ocean Engineering;Oceanography,0,0.133,2,20,2,50.0,13,19,13,0.0,0,14,0,0.0,World Scientific,0.1,0.3
Advanced Steel Construction,journal,ENGI,Mechanical Engineering;Building and Construction;Mechanics of Materials;Civil and Structural Engineering,0.817,0.512,40,526,13,0.0,41,587,25,0.0,31,539,29,0.0,Hong Kong Institute of Steel Construction,2.5,2.6
Advances in Aerodynamics,journal,ENGI;MATH;ENER,"Modeling and Simulation;Civil and Structural Engineering;Renewable Energy, Sustainability and the Environment;Mechanical Engineering;Aerospace Engineering",1.279,0.773,40,238,4,15.0,30,383,7,6.67,24,453,19,8.33,Springer China,5.2,4.5
Advances in Aircraft and Spacecraft Science,journal,CENG;ENGI,Aerospace Engineering;Fluid Flow and Transfer Processes,0.481,0.197,34,226,19,0.0,29,262,17,0.0,10,229,9,0.0,Techno-Press,1.5,1.9
Advances in Applied Ceramics,journal,ENGI;MATE,Industrial and Manufacturing Engineering;Ceramics and Composites,0.731,0.342,32,2086,8,6.25,34,1966,5,11.76,0,1861,0,0.0,SAGE Publications Inc.,3.4,4.4
Advances in Applied Energy,journal,ENGI;ENVI;ENER,"Energy Engineering and Power Technology;Renewable Energy, Sustainability and the Environment;Mechanical Engineering;Fuel Technology;Energy (all);Building and Construction;Management, Monitoring, Policy and Law",3.46,3.788,34,1238,0,0.0,42,1774,2,28.57,33,2039,10,15.15,Elsevier Ltd,31.2,23.9
Advances in Applied Mathematics and Mechanics,journal,ENGI;MATH,Mechanical Engineering;Applied Mathematics,0.742,0.531,41,777,7,2.44,88,771,39,0.0,28,706,25,0.0,Cambridge University Press,3.1,2.6
Advances in Applied Mechanics,bookseries,ENGI,Mechanical Engineering;Computational Mechanics,2.812,0.292,7,1967,1,0.0,8,1991,3,0.0,16,1903,13,0.0,Academic Press Inc.,4.7,23.3
Advances in Astronautics Science and Technology,journal,ENGI;EART,Space and Planetary Science;Aerospace Engineering,0.319,0.212,46,46,21,23.91,12,94,10,8.33,19,90,15,5.26,Springer,1.2,1.2
Advances in Bridge Engineering,journal,ENGI,Civil and Structural Engineering,0.907,0.584,28,131,4,14.29,32,189,7,6.25,30,292,22,10.0,Springer,4.0,3.5
Advances in Building Energy Research,journal,ENGI,Building and Construction,0.681,0.429,34,640,2,5.88,27,667,6,7.41,28,665,23,7.14,Taylor and Francis Ltd.,5.1,4.8
Advances in Cement Research,journal,ENGI;MATE,Materials Science (all);Building and Construction,0.483,0.595,61,2150,12,1.64,63,2105,29,0.0,43,2043,34,0.0,ICE Publishing,2.7,3.7
Advances in Civil Engineering,journal,ENGI,Civil and Structural Engineering,0.603,0.435,659,9024,139,4.1,325,10150,144,2.46,213,10201,172,3.76,Hindawi Publishing Corporation,4.2,4.0
Advances in Civil Engineering Materials,journal,ENGI;MATE,Materials Chemistry;Ceramics and Composites;Civil and Structural Engineering;Metals and Alloys;Polymers and Plastics;Mechanics of Materials,0.39,0.439,42,670,11,0.0,17,665,7,11.76,13,576,10,7.69,ASTM International,2.8,2.7
Advances in Complex Systems,journal,ENGI,Control and Systems Engineering,0.511,0.224,26,1077,10,3.85,18,576,10,0.0,10,491,8,0.0,World Scientific Publishing Co. Pte Ltd,1.5,1.4
Advances in Computational Design,journal,ENGI;MATH;COMP,Computer Graphics and Computer-Aided Design;Computational Mechanics;Computational Mathematics,0.415,0.229,21,197,6,0.0,17,188,15,0.0,13,132,13,0.0,Techno-Press,1.9,3.1
Advances in Concrete Construction,journal,ENGI,"Mechanics of Materials;Building and Construction;Safety, Risk, Reliability and Quality;Civil and Structural Engineering",0.612,0.452,75,966,21,0.0,42,988,21,0.0,6,840,6,0.0,Techno-Press,4.3,4.7
Advances in Electrical and Computer Engineering,journal,ENGI;COMP,Electrical and Electronic Engineering;Computer Science (all),0.314,0.221,41,671,8,0.0,42,643,23,0.0,27,554,24,0.0,University of Suceava,1.8,1.8
Advances in Electrical and Electronic Engineering,journal,ENGI,Electrical and Electronic Engineering,0.404,0.176,40,438,11,0.0,41,404,16,0.0,19,382,18,0.0,VSB-Technical University of Ostrava,1.6,1.3
Advances in Engineering Education,journal,ENGI;SOCI,Education;Engineering (all),0.788,0.351,21,478,6,0.0,11,553,9,0.0,4,415,4,0.0,American Society for Engineering Education,2.1,2.9
Advances in Engineering Software,journal,ENGI;COMP,Software;Engineering (all),1.367,0.826,157,14145,9,5.1,140,14985,8,3.57,141,13850,88,1.42,Elsevier Ltd,8.1,7.7
