Title,cover_date,authkey_word,Year
A Comparative Analysis of Machine Learning Techniques for National Glacier Mapping: Evaluating Performance through Spatial Cross-Validation in Perú,2023-12-01,climate change | glacier mapping | glacier retreat | machine learning | spatial autocorrelation | spatial cross-validation | spatial modeling,2023
"MaxEnt model strategies to studying current and future potential land suitability dynamics of wheat, soybean and rice cultivation under climatic change scenarios in East Asia",2023-12-01,,2023
Edge-based graph neural network for ranking critical road segments in a network,2023-12-01,,2023
Multi-Dimensional Urban Flooding Impact Assessment Leveraging Social Media Data: A Case Study of the 2020 Guangzhou Rainstorm,2023-12-01,disaster assessment | sentiment analysis | social media | spatiotemporal analysis | urban flooding,2023
"Sellin' in the Rain: Weather, Climate, and Retail Sales",2023-12-01,adaptation | climate change | machine learning | retail sales | weather,2023
"First close insight into global daily gapless 1 km PM<inf>2.5</inf> pollution, variability, and health impact",2023-12-01,,2023
Towards understanding policy design through text-as-data approaches: The policy design annotations (POLIANNA) dataset,2023-12-01,,2023
Flood susceptibility mapping at the country scale using machine learning approaches,2023-12-01,England | flood risk | flood susceptibility | flooding | fluvial flood | pluvial flood | XGBoost,2023
Predicting regional carbon price in China based on multi-factor HKELM by combining secondary decomposition and ensemble learning,2023-12-01,,2023
A Non-Linear Trend Function for Kriging with External Drift Using Least Squares Support Vector Regression,2023-12-01,geostatistics | kriging with external drift | least squares support vector regression | spatial interpolation | trend function,2023
"Preliminary Results in Innovative Solutions for Soil Carbon Estimation: Integrating Remote Sensing, Machine Learning, and Proximal Sensing Spectroscopy",2023-12-01,carbon cycle | commercialization | low-cost estimation | model | sustainable farming,2023
"Characterization and process understanding of tropical cyclone-induced floods derived from observations in Shenzhen, China",2023-12-01,flood threshold | machine learning | TC-induced flood | tropical cyclone,2023
A Novel Approach for Predicting Large Wildfires Using Machine Learning towards Environmental Justice via Environmental Remote Sensing and Atmospheric Reanalysis Data across the United States,2023-12-01,burned area | climate change | ERA5 | MODIS | Python,2023
Combining a deep learning model with an optimization algorithm to detect the dispersal of the early stages of spotted butterfish in northern Vietnam under global warming,2023-12-01,Climate change | GA-ADAM algorithm | GA-XGBoost | Scatophagus argus | Spatial distribution,2023
"Spectral unmixing-based Arctic plant species analysis using a spectral library and terrestrial hyperspectral Imagery: A case study in Adventdalen, Svalbard",2023-12-01,Arctic vegetation mapping | Hyperspectral image | Machine learning classification | Spectral library | Spectral unmixing,2023
Future climate change may pose pressures on greenhouse gas emission reduction in China's rice production,2023-12-01,Machine learning | Methane | Nitrogen fertilizer | Nitrous oxide | Paddy field | Representative Concentration Pathway | Water regime,2023
Groundwater Vulnerability in a Megacity Under Climate and Economic Changes: A Coupled Sociohydrological Analysis,2023-12-01,climate change | groundwater | modeling | sociohydrology | water management | water supply,2023
Comparison of Different Machine Learning Algorithms for the Prediction of the Wheat Grain Filling Stage Using RGB Images,2023-12-01,deep learning | few-shot learning | grain filling | machine learning | RGB image | wheat,2023
Evaluating Flood Susceptibility in the Brahmaputra River Basin: An Insight into Asia's Eastern Himalayan Floodplains Using Machine Learning and Multi-Criteria Decision-Making,2023-12-01,AUC-ROC scores in flood modeling | Brahmaputra basin | EDAS | Flood plain | Flood susceptibility | Machine learning techniques for flood risk | Multi-criteria decision making | RF | SVM | TOPSIS | VIKOR | WASPAS,2023
Monitoring the Area Change in the Three Gorges Reservoir Riparian Zone Based on Genetic Algorithm Optimized Machine Learning Algorithms and Sentinel-1 Data,2023-12-01,extreme gradient boosting | remote sensing | riparian zones | support vector machine,2023
Application of data science in the prediction of solar energy for the Amazon basin: a study case,2023-12-01,Amazon basin | data science | decision-trees ensemble | machine learning | renewable energy | solar energy | time series | vector autoregression,2023
Exploring interactions between socioeconomic context and natural hazards on human population displacement,2023-12-01,,2023
Sea level variability and modeling in the Gulf of Guinea using supervised machine learning,2023-12-01,,2023
A review of integrated multicriteria decision support analysis in the climate resilient infrastructure development,2023-12-01,Climate change adaptation | Cost-benefit analysis | Hydraulic structure | LID-BMPs | Life-cycle cost analysis | Sustainable urban drainage,2023
Estimation of global land surface evapotranspiration and its trend using a surface energy balance constrained deep learning model,2023-12-01,Climate change | Deep learning | Global land surface evapotranspiration | Positive trend | Surface energy balance constrained deep learning (DL-SEB) model,2023
Applications of remote sensing vis-à-vis machine learning in air quality monitoring and modelling: a review,2023-12-01,Air quality modelling | Artificial neural networks | Deep learning | Google Earth Engine | Model fusion | Remote sensing,2023
Towards a cost-effective framework for estimating soil nitrogen pools using pedotransfer functions and machine learning,2023-12-01,Machine learning | Pedotransfer functions | Predictive soil mapping | Soil nitrogen mineralization,2023
Wildfire univariate and bivariate characteristics simulation based on multiple machine learning models and applicability analysis of wildfire models,2023-12-01,Copula | Global | Machine learning | Probability distributions | Wildfire | Wildfire simulation,2023
Tropical cyclone genesis prediction based on support vector machine considering effects of multiple meteorological parameters,2023-12-01,Genesis prediction | Machine learning | Meteorological parameters | Support vector machine | Tropical cyclone,2023
The key determinants of individual greenhouse gas emissions in Germany are mostly domain-specific,2023-12-01,,2023
Uncertainty analysis of potential population exposure within the coastal lowlands of mainland China,2023-12-01,low-elevation coastal zones | machine learning | potential population exposure | sea-level rise | uncertainty analysis,2023
Semantic segmentation of methane plumes with hyperspectral machine learning models,2023-12-01,,2023
Interpretable Machine Learning Approach to Predicting Electric Vehicle Buying Decisions,2023-12-01,alternative transportation fuels and technologies | data and data science | electric and hybrid electric vehicles | machine learning (artificial intelligence) | planning and analysis | sustainability and resilience | transportation and sustainability,2023
Distinguishing the main climatic drivers to the variability of gross primary productivity at global FLUXNET sites,2023-12-01,diffuse radiation | gross primary productivity | plant functional type | timescales | variability,2023
Comparative analysis of machine learning and analytical hierarchy analysis for artificial groundwater recharge map development,2023-12-01,Analytical hierarchical process | Artificial groundwater recharge | GIS | Machine learning | UAE,2023
Climate change and ecosystem shifts in the southwestern United States,2023-12-01,,2023
Tracking lake drainage events and drained lake basin vegetation dynamics across the Arctic,2023-12-01,,2023
A multi-objective optimization framework for building performance under climate change,2023-12-01,Building performance | Climate change | Genetic algorithm | Machine learning models | Multi-Objective Optimization,2023
The use of Multispectral Radio-Meter (MSR5) data for wheat crop genotypes identification using machine learning models,2023-12-01,,2023
Distribution of denitrifiers predicted by correlative niche modeling of changing environmental conditions and future climatic scenarios across the Baltic Sea,2023-12-01,Benthic conditions | Climate change | Ensemble modeling | Habitat suitability | Machine-learning | Multi-collated variables,2023
"Modeling potential distribution and above-ground biomass of Scots pine (Pinus sylvestris L.) forests in the Inner Anatolian Region, Türkiye",2023-12-01,AGB modeling | Ecoregion | MaxEnt | Potential AGB reserve,2023
Energy poverty prediction and effective targeting for just transitions with machine learning,2023-12-01,Energy poverty prediction | Energy poverty targeting | EU member states | Just energy transitions | Machine learning,2023
Extratropical forests increasingly at risk due to lightning fires,2023-12-01,,2023
Agricultural input shocks affect crop yields more in the high-yielding areas of the world,2023-12-01,,2023
Leveraging three-tier deep learning model for environmental cleaner plants production,2023-12-01,,2023
Detecting desertification in the ancient oases of southern Morocco,2023-12-01,,2023
Enhancing river health monitoring: Developing a reliable predictive model and mitigation plan,2023-12-01,Batu Pahat River | Feedforward artificial neural network | Mitigation plans | SDG | Water Energy Security | Water quality index,2023
Machine learning models for predicting vegetation conditions in Mahanadi River basin,2023-12-01,GEE | KNN | LR | LST | Mahanadi basin | MODIS | NDVI | Precipitation | RF | SVR,2023
RTAL: An edge computing method for real-time rice lodging assessment,2023-12-01,Deep learning | Edge computing | Photogrammetry | Rice lodging | UAV,2023
"Thermal tolerance exceedances of an endangered unionid mussel in the Rio Grande Basin, with implications for river management",2023-12-01,climate change | conservation | environmental flow | hindcasting | machine learning | random forest | thermal tolerance | Unionidae | water management,2023
Novel residual hybrid machine learning for solar activity prediction in smart cities,2023-12-01,Artificial intelligence | Deep learning | Hybrid machine learning | Prediction | Smart city | Solar activity | Sunspots number,2023
"Field observations and long short-term memory modeling of spectral wave evolution at living shorelines in Chesapeake Bay, USA",2023-12-01,Living shoreline | Long short-term memory method | Marsh edge erosion | Spectral wave modeling | Wave forecast,2023
Global meat demand projection: Quo Vadimus?,2023-12-01,Climate change | GHG emission | International cooperation | Machine learning | Meat demand | SSPs-RCPs scenarios,2023
"Environmental, economic, and serviceability attributes of residential foundation slabs: A comparison between waffle and stiffened rafts using multi-output deep learning",2023-12-01,Artificial intelligence | Expansive soils | Life cycle assessment | Life cycle cost | Residential slabs | Serviceability | Sustainable design,2023
Recent advances in the data-driven development of emerging electrocatalysts,2023-12-01,,2023
Temperature impact on the economic growth effect: method development and model performance evaluation with subnational data in China,2023-12-01,Bootstrap performance test | Climate change | GDP-temperature relationship | Random forests | Subnational data | Temperature effects on economic growth,2023
Hydrological evaluation of conservation bench terrace system in outer foothills of Himalayas using soft computing techniques,2023-12-01,Bagging | Himalayan foothill | Random forest | Runoff | Soil loss | Support vector machine,2023
Assessing evidence on the impacts of nature-based interventions for climate change mitigation: a systematic map of primary and secondary research from subtropical and tropical terrestrial regions,2023-12-01,Carbon sequestration | Climate change mitigation | Co-benefits | Impacts | Natural climate solutions | Nature-based solutions | Scale,2023
Recent progress and prospects in solid acid-catalyzed CO<inf>2</inf> desorption from amine-rich liquid,2023-12-01,Amine regeneration | CO  capture 2 | CO  desorption 2 | Energy consumption | Solid acid catalysts,2023
Prediction of Oncomelania hupensis distribution in association with climate change using machine learning models,2023-12-01,Climate change | Ecological niche model | Oncomelania hupensis | Schistosomiasis | Species distribution,2023
Climate-dependent effectiveness of nonpharmaceutical interventions on COVID-19 mitigation,2023-12-01,Environmental conditions | Generalized boosting model | Inverse method | Machine learning | Nonpharmaceutical interventions | Transmission rate,2023
A ML-based economic protection development level using Decision Tree and Ensemble Algorithms,2023-12-01,Decision Tree model | Economic protection | Ensemble Algorithm | Evaluation algorithm,2023
Forecasting disruptions in global food value chains to tackle food insecurity: The role of AI and big data analytics – A bibliometric and scientometric analysis,2023-12-01,AI | Food insecurity | Forecasting | Machine learning | Supply chain disruptions | Supply chain resilience,2023
Modelling habitat suitability of the critically endangered Agarwood (Aquilaria malaccensis) in the Indian East Himalayan region,2023-12-01,Climate change | Conservation | Distribution | Ensemble model | MaxEnt | Representative Concentration Pathway,2023
A machine learning approach for country-level deployment of greenhouse gas removal technologies,2023-12-01,BECCS | Climate change mitigation | DACCS | Greenhouse gas removal | Machine learning,2023
Role of modeling and artificial intelligence in process parameter optimization of biochar: A review,2023-12-01,Artificial intelligence | Biochar | Design of experiments | Optimization techniques | Process parameters | Thermochemical conversion,2023
"Adaptive dynamics of indigenous sheep in Canary Islands, Spain: A machine learning approach",2023-12-01,Canaria de Pelo breed | Multivariate analysis | Ovis aries | Thermoregulatory responses,2023
Wing Interferential Patterns (WIPs) and machine learning for the classification of some Aedes species of medical interest,2023-12-01,,2023
CO<inf>2</inf> concentration forecasting in smart cities using a hybrid ARIMA–TFT model on multivariate time series IoT data,2023-12-01,,2023
"Advances in energy system modeling, sector coupling, and emission reduction strategies",2023-12-01,Emissions reduction | Energy systems modeling | Energy transition | Optimization | Power systems | Renewable energy | Sector coupling,2023
Designing climate resilient energy systems in complex urban areas considering urban morphology: A technical review,2023-12-01,Climate change | Extreme microclimates | Interconnectivity | Resilient energy systems | Urban energy infrastructure | Urban morphology,2023
A machine learning approach to rapidly project climate responses under a multitude of net-zero emission pathways,2023-12-01,,2023
"Machine learning analysis and risk prediction of weather-sensitive mortality related to cardiovascular disease during summer in Tokyo, Japan",2023-12-01,,2023
Do city lockdowns effectively reduce air pollution?,2023-12-01,Air pollution | COVID-19 | Difference in difference | Meteorological normalization | Weather factor,2023
Aerosol Retrieval Using Deep Learning and Radiative Transfer Model,2023-12-01,aerosol optical depth | deep belief network | Landsat-8 satellite | radiative transfer model,2023
Deep learning-based prediction of lithium-ion batteries state of charge for electric vehicles in standard driving cycle,2023-12-01,Battery temperature | Deep learning | Driving cycle | Electric vehicles (EVs) | Energy consumption | Lithium-ion batteries | State of charge,2023
Estimating the effect of climate change exposure on firm value using climate policy uncertainty: A text-based approach,2023-12-01,Climate change | Climate policy uncertainty | Climate risk | Endogeneity | Firm value | Instrumental variable analysis | Machine learning | Textual analysis,2023
FireXnet: an explainable AI-based tailored deep learning model for wildfire detection on resource-constrained devices,2023-12-01,CNN | Fire detection | Lightweight architecture | Transfer learning | Wildfire,2023
Predicting the current and future distribution of Monochamus carolinensis (Coleoptera: Cerambycidae) based on the maximum entropy model,2023-12-01,climate change | invasive pests | MaxEnt | Monochamus carolinensis | potential distribution,2023
Global vulnerability of agricultural commodities to climate risk: Evidence from satellite data,2023-12-01,Agricultural commodities | Climate change | Climate risk | Satellite data | Soil moisture,2023
Determining the response of riparian vegetation and river morphology to drought using Google Earth Engine and machine learning,2023-12-01,Drought | Random forest | Remote sensing | Rio Grande | Riparian vegetation | River morphology,2023
The implications for potential marginal land resources of cassava across worldwide under climate change challenges,2023-12-01,,2023
Mapping wildfire ignition probability and predictor sensitivity with ensemble-based machine learning,2023-12-01,California | Ensemble-based model | Ignitions | Machine learning | Wildfires,2023
The fusion of multiple scale data indicates that the carbon sink function of the Qinghai-Tibet Plateau is substantial,2023-12-01,Carbon source and sink | Machine learning | Multiple scale information fusion | Qinghai-Tibet Plateau | Uncertainty assessment,2023
Regulation of plant epigenetic memory in response to cold and heat stress: towards climate resilient agriculture,2023-12-01,Climate resilient agriculture | Epigenetic regulation | Machine learning | Stress memory | Transgenerational memory,2023
Parallel investigations of remote sensing and ground-truth Lake Chad's level data using statistical and machine learning methods,2023-12-01,Ground-truth | Lake Chad's level | Machine learning | Parallel investigations | Remote sensing | Statistical,2023
"Application of a hybrid deep learning approach with attention mechanism for evapotranspiration prediction: a case study from the Mount Tai region, China",2023-12-01,Attention mechanism | Convolutional Neural Network | Evapotranspiration | Long Short-Term Memory network | Prediction model | Water resource,2023
Improving multi-month hydrological drought forecasting in a tropical region using hybridized extreme learning machine model with Beluga Whale Optimization algorithm,2023-12-01,Beluga whale optimization | Climate change | Drought index | ELM | Missing data | Standardized streamflow index,2023
"Determination of future land use changes using remote sensing imagery and artificial neural network algorithm: A case study of Davao City, Philippines",2023-12-01,Artificial neural network | Land use land cover prediction | LULC | Multilayer perception | Philippines | Remote sensing,2023
Protocol of a prospective community-based study about the onset and course of depression in a nationally representative cohort of adults in China: the China Depression Cohort Study-I,2023-12-01,China | Cohort study | Community-based | Depression | Prospective,2023
Hybrid machine learning-metaheuristic model for sustainable agri-food production and supply chain planning under water scarcity,2023-12-01,Agri-food supply chains | Climate change | Machine learning | Optimization techniques | Sustainable agriculture | Water scarcity,2023
Machine learning and computational chemistry to improve biochar fertilizers: a review,2023-12-01,Biochar-based fertilizer | Climate change | Machine learning and computational chemistry | Organic acids | Phosphorus bioavailability | Phosphorus-loaded biochar,2023
Widespread and complex drought effects on vegetation physiology inferred from space,2023-12-01,,2023
Past and projected future patterns of fractional vegetation coverage in China,2023-12-01,Change patterns | Ecosystem management | Environmental change | Fractional vegetation cover | Future trends,2023
The price and income elasticities of natural gas demand in Azerbaijan: Is there room to export more?,2023-12-01,,2023
Determinants of public preferences on low-carbon energy sources: Evidence from the United Kingdom,2023-12-01,Climate change perceptions | Low-carbon energy | Nuclear power | Public trust | Renewable energy | Variable selection models,2023
Spatial predictions and uncertainties of forest carbon fluxes for carbon accounting,2023-12-01,,2023
Severe weather and peer-to-peer farmers’ loan default predictions: Evidence from machine learning analysis,2023-12-01,Climate change | Default risk | Farmers | Fintech | Machine learning,2023
Ephemeral prediction of aerosol optical depth associated with precipitation: A data-driven approach,2023-12-01,aerosols | ANN | AOD | climate change | precipitation | SVM | VIIRS,2023
Impacts of air pollution and meteorological conditions on dry eye disease among residents in a northeastern Chinese metropolis: a six-year crossover study in a cold region,2023-12-01,,2023
