Title,Author_count,subtype,Subject_area_count,Cite_count
Search for pair-produced resonances decaying to quark pairs in proton-proton collisions at s =13 TeV,2297,ar,1,34
Long-term effectiveness of omalizumab treatment in Thai severe asthmatic patients: A real-life experience,16,ar,2,6
Randomized comparison of caregivers' ability to use epinephrine autoinjectors and prefilled syringes for anaphylaxis,3,ar,2,8
Effects of aerobic exercise and vitamin C supplementation on rhinitis symptoms in allergic rhinitis patients,4,ar,2,11
First episode of preschool wheeze requiring hospitalization:a prospective study on the chance of recurrence and associated factors,3,ar,2,1
"Differential dendritic cell responses to cell wall mannan of Candida albicans, Candida parapsilosis, and Candida dubliniensis",3,ar,1,6
Common viral infections in kidney transplant recipients,4,re,2,52
Event shape variables measured using multijet final states in proton-proton collisions at √s=13 TeV,2305,ar,1,19
A nonrelativistic limit for AdS perturbations,3,ar,1,16
Melittin induced G1 cell cycle arrest and apoptosis in Chago-K1 human bronchogenic carcinoma cells and inhibited the differentiation of THP-1 cells into tumour- associated macrophages,6,ar,4,23
Alteration of urinary neutrophil gelatinase–associated lipocalin as a predictor of tacrolimus-induced chronic renal allograft fibrosis in tacrolimus dose adjustments following kidney transplantation,7,ar,1,1
Rapid and sensitive detection of Chlamydia trachomatis sexually transmitted infections in resource-constrained settings in Thailand at the point-of-care,7,ar,2,17
The utilization of the surviving sepsis campaign care bundles in the treatment of pediatric patients with severe sepsis or septic shock in a resource-limited environment: A prospective multicenter trial,7,ar,1,7
"Real-life clinical pattern, management, and survival in Thai patients with early-stage or metastatic triple-negative breast cancer",12,ar,1,5
A robust intracellular metabolite extraction protocol for human neutrophil metabolic profiling,4,ar,1,12
Role of mucoprotective agents in endoscopic submucosal dissection-derived ulcers: A systematic review,3,re,2,5
GOODS-ALMA: 1.1 mm galaxy survey: I. Source catalog and optically dark galaxies,39,ar,2,121
Complete genome analysis demonstrates multiple introductions of enterovirus 71 and coxsackievirus A16 recombinant strains into Thailand during the past decade,10,ar,7,19
Two-state co-expression network analysis to identify genes related to salt tolerance in Thai rice,7,ar,2,9
The [CII] emission as a molecular gas mass tracer in galaxies at low and high redshifts,22,ar,2,113
Rice overexpressing OsNUC1-s reveals differential gene expression leading to yield loss reduction after salt stress at the booting stage,6,ar,7,12
How might normative and mimetic pressures improve local government service performance reporting?,2,ar,3,8
"The new 4th edition World Health Organization classification for thyroid tumors, Asian perspectives",6,ar,1,54
The coexistence of Cushing syndrome and gynecomastia as the manifestations of adrenocortical carcinoma,4,le,1,2
Genetic diversity and relationships among Lyle's flying fox colonies in Thailand,8,ar,1,2
Improving Thai word and sentence segmentation using linguistic knowledge,4,ar,5,11
Baseline atrial fibrillation is associated with contrast-induced nephropathy after cardiac catheterization in coronary artery disease: Systemic review and meta-analysis,6,re,1,5
Extraction of Trend Keywords and stop words from Thai Facebook pages using character n-Grams,2,ar,3,9
Numerical data on the shear stress distribution generated by a rotating rod within a stationary ring over a 35-mm cell culture dish,5,dp,1,5
Adjunctive Use of Cidofovir and Intravenous Immunoglobulin to Treat Invasive Adenoviral Disease in Solid Organ Transplant Recipients,3,ar,1,7
"Two regulators, PA3898 and PA2100, modulate the pseudomonas aeruginosa multidrug resistance MexAB-OprM and EmrAB efflux pumps and biofilm formation",7,ar,3,20
Low-density lipoprotein cholesterol target attainment in patients with stable or acute coronary heart disease in the Asia-Pacific region: results from the Dyslipidemia International Study II,14,ar,2,25
"Data analysis of the U–Pb geochronology and Lu–Hf system in zircon and whole-rock Sr, Sm–Nd and Pb isotopic systems for the granitoids of Thailand",13,dp,1,5
Cell wall mannan of Candida krusei mediates dendritic cell apoptosis and orchestrates Th17 polarization via TLR-2/MyD88-dependent pathway,8,ar,1,17
Relations between cardinalities of the finite sequences and the finite subsets of a set,2,ar,1,1
AFOMP policy number 6: code of ethics for medical physicists in AFOMP Countries,10,re,4,0
New application of dynamic magnetic resonance imaging for the assessment of deglutitive tongue movement,7,ar,1,3
The Effect of a Brief HIV Prevention Program on Risk Reduction Behaviors Among Thai Men Diagnosed With Sexually Transmitted Infections,3,ar,1,2
Impact of AlCl3 and FeCl2 Addition on Catalytic Behaviors of TiCl4/MgCl2/THF Catalysts for Ethylene Polymerization and Ethylene/1-Hexene Copolymerization,3,ar,2,4
Vonoprazan versus proton-pump inhibitors for gastric endoscopic submucosal dissection-induced ulcers: A systematic review and meta-analysis,3,re,2,16
Cardol triene inhibits dengue infectivity by targeting kl loops and preventing envelope fusion,7,ar,1,11
The metal kiln with heat distribution pipes for high quality charcoal and wood vinegar production,3,ar,3,16
"Major depression model induced by repeated and intermittent lipopolysaccharide administration: Long-lasting behavioral, neuroimmune and neuroprogressive alterations",14,ar,2,40
"Metal accumulation in the marine bivalve, Marcia optima collected from the coastal area of Phuket Bay, Thailand",3,ar,3,6
Incorporation of 13 C-HCO 3 − by ammonia-oxidizing archaea and bacteria during ammonia oxidation of sludge from a municipal wastewater treatment plant,6,ar,2,7
Effects of varying soil and atmospheric water deficit on water use characteristics of tropical street tree species,2,ar,3,2
"The benefits of angiotensin-converting enzyme inhibitors/angiotensin II receptor blockers combined with calcium channel blockers on metabolic, renal, and cardiovascular outcomes in hypertensive patients: a meta-analysis",6,ar,2,6
Comparison between digital image analysis and visual assessment of immunohistochemical HER2 expression in breast cancer,4,ar,2,20
Chitosan-based nanoparticles with damnacanthal suppress CRM1 expression,9,ar,2,5
Evaluation of Plasmodium vivax isolates in Thailand using polymorphic markers Plasmodium merozoite surface protein (PvMSP) 1 and PvMSP3,5,ar,4,7
Detection of host pathways universally inhibited after Plasmodium yoelii infection for immune intervention,11,ar,1,12
Classification of unusual insertion of the pectoralis minor muscle,7,ar,4,10
Scaling laws for static displacement of linearly elastic cracked beam by energy method,2,ar,4,13
Data in support of photosynthetic responses in a chromosome segment substitution line of ‘Khao Dawk Mali 105’ rice at seedling stage,8,dp,1,5
"Inflammatory reaction, clinical efficacy, and safety of bacterial cellulose wound dressing containing silk sericin and polyhexamethylene biguanide for wound treatment",5,ar,1,34
Caring for Thai Older Persons With Long-Term Care Needs,3,ar,3,19
Facilitated transport of cadmium with montmorillonite KSF colloids under different pH conditions in water-saturated sand columns: Experiment and transport modeling,2,ar,6,63
"Adaptive effect of sericin on hepatic mitochondrial conformation through its regulation of apoptosis, autophagy and energy maintenance: a proteomics approach",4,ar,1,13
Discharge Performance of Zinc-Air Flow Batteries Under the Effects of Sodium Dodecyl Sulfate and Pluronic F-127,6,ar,1,74
Influence of anisotropic properties on vertical vibrations of circular foundation on saturated elastic layer,2,ar,5,24
Generation and characterization of hepatocellular carcinoma cell lines with enhanced cancer stem cell potential,11,ar,2,24
Evaluation of different pretreatments of Napier grass for enzymatic saccharification and ethanol production,5,ar,2,27
Biofuel production via the pyrolysis of sugarcane (Saccharum officinarum L.) leaves: Characterization of the optimal conditions,2,ar,4,17
Is the occiput-wall distance valid and reliable to determine the presence of thoracic hyperkyphosis?,8,ar,1,8
Optimization of process parameters using response surface methodology for Pd(II) extraction with quaternary ammonium salt from chloride medium: kinetic and thermodynamics study,5,ar,5,7
Loss of Gsα in osteocytes leads to osteopenia due to sclerostin induced suppression of osteoblast activity,7,ar,3,13
Intracatheter Antifungal Lock Leading to Detrimental Complications,5,ar,2,3
Optimization of exposure parameters in dental cone beam computed tomography using a 3-step approach,5,ar,5,16
Distinctive features of low-grade myofibroblastic sarcoma on aspiration cytology: A case report,2,ar,2,5
A randomized trial of low-dose gabapentin for post hospitalization relapse prevention in a Thai clinical sample of alcohol dependence,6,ar,2,10
Three-dimensional lower bound finite element limit analysis of Hoek-Brown material using semidefinite programming,2,ar,2,50
Clinical and functional studies of two novel variants in the LPL gene in subjects with severe hypertriglyceridemia,4,ar,3,1
Topical drug delivery to the posterior segment of the eye: The effect of benzalkonium chloride on topical dexamethasone penetration into the eye in vivo,6,ar,1,11
"Effect of pressure on the structure stability, electronic structure and band gap engineering in Zn16O1S15",7,ar,4,1
Co-overexpression of native phospholipid-biosynthetic genes plsX and plsC enhances lipid production in Synechocystis sp. PCC 6803,5,ar,1,18
Two host gut-derived lactic acid bacteria activate the proPO system and increase resistance to an AHPND-causing strain of Vibrio parahaemolyticus in the shrimp Litopenaeus vannamei,4,ar,2,45
Improved Survival of Elderly-fit Patients With Acute Myeloid Leukemia Requiring Intensive Therapy: 3-Year Multicenter Analysis From TALWG,16,ar,3,6
Changes of cardiac function in diabetic dogs,3,ar,2,1
Quinolone-resistant phenotype of Flavobacterium columnare isolates harbouring point mutations both in gyrA and parC but not in gyrB or parE,6,ar,4,7
Mechanistic aspect based on the role of reactive oxidizing species (ROS) in macroscopic level on the glycerol photooxidation over defected and defected-free TiO2,4,ar,3,21
The crucial role of density functional nonlocality and on-axis CH3NH3 rotation induced I2 formation in hybrid organic-inorganic CH3NH3PbI3 cubic perovskite,5,ar,1,12
High tissue eosinophilia as a marker to predict recurrence for eosinophilic chronic rhinosinusitis: a systematic review and meta-analysis,5,re,2,67
Constitutive equations for vertical upward two-phase flow in rod bundle,7,re,3,17
"Serological evidence of duck Tembusu virus infection in free-grazing ducks, Thailand",8,ar,2,11
Evaluation of dielectric cure monitoring for in situ measurement of natural rubber vulcanization,4,ar,3,4
A spectroscopic study of indigo dye in aqueous solution: A combined experimental and TD-DFT study,7,ar,5,4
"Permian–Triassic back-arc basin development in response to Paleo-Tethys subduction, Sa Kaeo–Chanthaburi area in Southeastern Thailand",9,ar,1,20
Ultrasound evaluation of arterial anastomosis of the forehead,8,ar,1,23
Factorizable non-atomic copulas,2,ar,2,1
Characterization of N-type and P-type Aluminum Antimonides on Si substrates for room-temperature optoelectronic devices,7,ar,4,4
Cortical Bone Loss in a Spontaneous Murine Model of Systemic Lupus Erythematosus,12,ar,3,5
Cytotoxicity against cancer cells of chitosan oligosaccharides prepared from chitosan powder degraded by electrical discharge plasma,5,ar,3,47
Inhibition of amyloid fibril formation in the variable domain of λ6 light chain mutant Wil caused by the interaction between its unfolded state and epigallocatechin-3-O-gallate,7,ar,3,5
Measurement of ballistic impact performance of fiber reinforced polybenzoxazine/polyurethane composites,3,ar,2,19
Development of a high throughput yeast-based screening assay for human carbonic anhydrase isozyme II inhibitors,3,ar,2,10
Nephrology nurses' perceptions of discussing sexual health issues with patients who have end-stage kidney disease,3,ar,2,8
Effects of decongestant addition to intranasal corticosteroid for chronic rhinitis: a systematic review and meta-analysis,5,re,2,14
Simultaneous assessment of various quality attributes and shelf life of packaged bratwurst using hyperspectral imaging,2,ar,1,28
Finite element modelling of flexural behaviour of geosynthetic cementitious composite mat (GCCM),4,ar,4,26
Chitosan/alginate nanoparticles as a promising approach for oral delivery of curcumin diglutaric acid for cancer treatment,5,ar,4,106
Ethanol as an electrolyte additive for alkaline zinc-air flow batteries,5,ar,1,68
Environmental risk factors and nonpharmacological and nonsurgical interventions for obesity: An umbrella review of meta-analyses of cohort studies and randomized controlled trials,13,re,2,47
A colorimetric paper-based analytical device coupled with hollow fiber membrane liquid phase microextraction (HF-LPME) for highly sensitive detection of hexavalent chromium in water samples,4,ar,1,67
Detection of Aujeszky's disease virus DNA and antibody in swine oral fluid specimens,6,ar,2,13
"Acemannan increased bone surface, bone volume, and bone density in a calvarial defect model in skeletally-mature rats",7,ar,1,18
Transcriptional and post-transcriptional regulation of PenA β-lactamase in acquired Burkholderia pseudomallei β-lactam resistance,10,ar,1,11
A fluorometric paper-based sensor array for the discrimination of volatile organic compounds (VOCs) with novel salicylidene derivatives,8,ar,2,20
GRAMD1B regulates cell migration in breast cancer cells through JAK/STAT and Akt signaling,5,ar,1,27
Metabolic variation in the pulps of two durian cultivars: Unraveling the metabolites that contribute to the flavor,8,ar,2,31
"A comparative study of mango seed kernel starches and other commercial starches: the contribution of chemical fine structure to granule crystallinity, gelatinization, retrogradation, and pasting properties",2,ar,4,14
Investigation of benzylisoquinoline alkaloid biosynthetic pathway and its transcriptional regulation in lotus,9,ar,5,38
"An α-1,6-and α-1,3-linked glucan produced by Leuconostoc citreum ABK-1 alternansucrase with nanoparticle and film-forming properties",7,ar,1,32
Late Presentation of Anomalous Origin of the Right Pulmonary Artery,5,ar,2,0
Cypripedin diminishes an epithelial-to-mesenchymal transition in non-small cell lung cancer cells through suppression of Akt/GSK-3β signalling,4,ar,1,18
Genome-wide association study identified new susceptible genetic variants in HLA class i region for hepatitis B virus-related hepatocellular carcinoma,40,ar,1,27
The Influence of Nonionic Surfactant Adsorption on Enzymatic Hydrolysis of Oil Palm Fruit Bunch,3,ar,5,13
"Evaluation of FOCEI and SAEM Estimation Methods in Population Pharmacokinetic Analysis Using NONMEM ® Across Rich, Medium, and Sparse Sampling Data",3,ar,2,13
Yttrium (III) Recovery with D2EHPA in Pseudo-Emulsion Hollow Fiber Strip Dispersion System,5,ar,1,24
Relativistic finite-difference time-domain analysis of high-speed moving metamaterials,2,ar,1,8
Novel canine circovirus strains from Thailand: Evidence for genetic recombination,12,ar,1,45
Identification of the effector domain of biglycan that facilitates BMP-2 osteogenic function,11,ar,1,20
Screening cyanobacteria from marine coastal waters of Thailand for biohydrogen production,3,ar,2,9
"A randomized, double-blind, placebo-controlled trial on the efficacy of ginger in the prevention of abdominal distention in post cesarean section patients",2,ar,1,6
Prevalence and risk factors of depression among Indonesian elderly: A nursing home-based cross-sectional study,2,ar,3,27
"MitoQ supplementation prevent long-term impact of maternal smoking on renal development, oxidative stress and mitochondrial density in male mice offspring",12,ar,1,31
Bio-composite hydrogels of cellulose and vulcanized natural rubber with nanointerconnected layers for reinforced water-retaining materials,4,ar,4,8
Genetic homogeneity of goat malaria parasites in Asia and Africa suggests their expansion with domestic goat host,26,ar,1,10
Cyperenoic acid suppresses osteoclast differentiation and delays bone loss in a senile osteoporosis mouse model by inhibiting non-canonical NF-κB pathway,12,ar,1,18
The Compensatory Immune-Regulatory Reflex System (CIRS) in Depression and Bipolar Disorder,2,re,2,141
Structural prediction of host-guest structure in lithium at high pressure,5,ar,1,19
The Endoplasmic Reticulum Stress Response in Neuroprogressive Diseases: Emerging Pathophysiological Role and Translational Implications,7,re,2,52
"Analysis of the complete mitochondrial genome of the giant honeybee, Apis dorsata, (Hymenoptera: Apidae) in Thailand",3,ar,2,5
"Polygonumins A, a newly isolated compound from the stem of Polygonum minus Huds with potential medicinal activities",12,ar,1,21
The High-Pressure Superconducting Phase of Arsenic,4,ar,1,12
The model of circulating immune complexes and interleukin-6 improves the prediction of disease activity in systemic lupus erythematosus,6,ar,1,24
"Oxidized Carbon Black: Preparation, Characterization and Application in Antibody Delivery across Cell Membrane",12,ar,1,20
One-pot synthesis of wormhole-like mesostructured silica with a high amine loading for enhanced adsorption of clofibric acid,5,ar,3,8
Intelligent monitoring and prediction of tool wear in CNC turning by utilizing wavelet transform,2,ar,5,9
Rare zooxanthellate Nanipora octocoral (Helioporacea) in the Gulf of Thailand,4,ar,3,7
THE great transition: Implications from environmental policy for the quality-quantity trade-off in children-rearing,2,ar,1,0
"An integrative identification guide to the Hydrozoa (Cnidaria) of Bocas del Toro, Panama",17,ar,3,8
Factors associated with death acceptance among thai patients with advanced cancer,3,ar,2,2
Clinical and laboratory diagnosis of TTP: An integrated approach,2,ar,1,60
Regulation of periostin expression by Notch signaling in hepatocytes and liver cancer cell lines,9,ar,4,13
Evidence for the Associated Production of a Single Top Quark and a Photon in Proton-Proton Collisions at s =13 TeV,2305,ar,1,23
Analysis of socioeconomic and behavioral factors influencing participation in community-based recycling program: A case of peri-urban town in Thailand,2,ar,5,8
Nanomaterial-incorporated nanofiltration membranes for organic solvent recovery,5,ch,2,10
Zeolite-based mixed matrix membranes for hazardous gas removal,2,ch,2,18
A Direct Load Control Algorithm for Air Conditioners Concerning Customers' Comfort,2,cp,3,5
Development of Smart Water Heater Complied with MQTT and ECHONET Lite Protocols,2,cp,3,3
Baseline Calculation of Industrial Factories for Demand Response Application,2,cp,3,7
Development of a Gateway for OpenADR-ECHONET Lite Protocols with Raspberry Pi Board,2,cp,3,1
Thin cloud removal using local minimization and logarithm image transformation in HSI color space,2,cp,3,10
"Diplazium thailandicum (Athyriaceae), a new fern from Thailand",4,le,2,1
Magnetization of NdFeB Permanent Magnet Considering Demagnetization Effect,4,cp,2,3
Demonstration of Photovoltaic Effects in Hybrid Type-I InAs/GaAs Quantum Dots and Type-II GaSb/GaAs Quantum Dots,11,cp,4,1
Liquid-Phase Sintering and Properties of PIMed 10-20 vol.% SiCp-Reinforced Aluminium Composites,4,cp,3,0
Discovery and Characterization of Cyclotides from Rinorea Species,6,ar,7,14
"Global identity, perceptions of luxury value and consumer purchase intention: a cross-cultural examination",4,ar,2,23
A novel paper-based colorimetry device for the determination of the albumin to creatinine ratio,5,ar,5,19
Deep Learning for Stock Market Prediction Using Event Embedding and Technical Indicators,2,cp,4,45
Concurrent Starbursts in Molecular Gas Disks within a Pair of Colliding Galaxies at z = 1.52,23,ar,2,10
Microbial and small eukaryotes associated with reefs in the upper Gulf of Thailand,6,ar,6,6
Computational screening of fatty acid synthase inhibitors against thioesterase domain,6,ar,2,15
Combination of three-dimensional ultrasound measurement of foetal adrenal gland enlargement and placental alpha microglobulin-1 for the prediction of the timing of delivery within seven days in women with threatened preterm labour and preterm labour,2,ar,1,4
