Title,cover_date,authkey_word
Bio-green synthesis of calcium acetate from oyster shell waste at low cost and reducing the emission of greenhouse gases,2023-12-01,"Biowaste, Calcium acetate, Calcium carbonate, Oyster-shell waste, Thermal decomposition"
"Pimobendan prevents cardiac dysfunction, mitigates cardiac mitochondrial dysfunction, and preserves myocyte ultrastructure in a rat model of mitral regurgitation",2023-12-01,"Mitochondrial quality, Mitral regurgitation, Pimobendan, Rat, Reactive oxygen species"
Effects of death anxiety and aggression on life satisfaction in the COVID-19 era: Comparisons between different generations and different socioeconomic statuses in Thailand,2023-12-01,"Actual SES, Age, Aggression, Death anxiety, Life satisfaction, Perceived SES, Sex"
Bifunctional mesoporous silica solid acids for transformation of glucose to 5-hydroxymethylfurfural,2023-12-01,"Acid sites control, Biomass, Brønsted acid, HMF, Lewis acid, Mesoporous silica"
The prevalence and economic burden of treatment-resistant depression in Thailand,2023-12-01,"Antidepressants, Direct medical costs, Economic costs of an illness, Intangible costs, Major Depressive Disorder (MDD), Productivity loss, Fail-to-treat, Treatment-resistant depression (TRD), Unpaid caregivers"
Quantitative microbial risk assessment of the gastrointestinal risks to swimmers at Southeast Asian urban beaches using site-specific and combined autochthonous and fecal bacteria exposure data,2023-12-01,"Autochthonous pathogen, Fecal indicator bacteria, Marine water, Quantitative microbial risk assessment, Risk, Swimmers"
"Immunogenicity of BNT162b2 in children 6 months to under 5 years of age with previous SARS-CoV-2 infection, in the era of Omicron predominance",2023-12-01,"Anti-SARS-CoV-2 IgG, BNT162b2 vaccine, Child, Infant, Neutralizing antibody titer, SARS-CoV-2 vaccine"
DFT insight into metals and ligands substitution effects on reactivity of phenoxy-imine catalysts for ethylene polymerization,2023-12-01,"DFT calculations, Ethylene polymerization, FI catalyst, Mechanism, Nickel"
Design and development of a magnetic field-enabled platform for delivering polymer-coated iron oxide nanoparticles to breast cancer cells,2023-12-01,"Alginate, Chitosan, Iron oxide nanoparticles, Magnetic targeting delivery, Stimuli-responsive"
"After morning, phew! A knowledge, attitudes, and practices survey related to emergency oral contraception in Thai pharmacists",2023-12-01,"Health knowledge, attitudes, practice, In-depth interview, Levonorgestrel, Postcoital contraception, Surveys and questionnaires"
Development of alantolactone-loaded zein and shellac nanoparticles for controlled release in simulated gastrointestinal digestion,2023-12-01,"Alantolactone, Antioxidant, Antitumor, Controlled release, Nanoparticles, Zein"
How do prolonged anchorage-free lifetimes strengthen non-small-cell lung cancer cells to evade anoikis? – A link with altered cellular metabolomics,2023-12-01,"Anchorage-independent growth, Anoikis, Anoikis resistance, Metabolomics, Metastasis, Non-small-cell lung cancer"
Shape transformation of 4D printed edible insects triggered by thermal dehydration,2023-12-01,"3D printing, Edible insects, Food design, Future food, Shape transformation"
Acceptability of telemedicine for follow up after contraceptive implant initiation at an obstetrics and gynecologic training center,2023-12-01,"Contraceptive implant, COVID-19, Long-acting reversible contraceptives, Telehealth, Telemedicine"
A facile and automated microfluidic electrochemical platform for the in-field speciation analysis of inorganic arsenic,2023-12-01,"Arsenic, Electrochemical detection, Microfluidic device, Smartphone, Speciation"
Neuroprotective compounds from marine invertebrates,2023-12-01,"Immune cell activation, Marine invertebrate, Neuron apoptosis, Neuronal injury, Protein plaque, α-synuclein"
"Knowledge, attitude, and intended practice of abortion among pharmacy students in Thailand after the amendment of the Thai Abortion Law",2023-12-01,"Attitude, Knowledge, Medical abortion, Pharmacy students, Practice"
"Dynamic estimates of pressure and CO2-storage capacity in carbonate reservoirs in a depleted gas field, northeastern Thailand",2023-12-01,"Carbonate reservoir, Geological CO2 storage, Khorat plateau, Numerical simulation"
New product development process and case studies for deep-tech academic research to commercialization,2023-12-01,"Deep-tech, Entrepreneurship, Innovation, Intellectual property, New product development, Research to commercialization, Technology transfer, Technopreneurship"
Assessing the acceptability and feasibility of reactive drug administration for malaria elimination in a Plasmodium vivax predominant setting: a qualitative study in two provinces in Thailand,2023-12-01,"Acceptability, Feasibility, Malaria elimination, Reactive drug administration, Thailand"
Is automatic cephalometric software using artificial intelligence better than orthodontist experts in landmark identification?,2023-12-01,"Artificial intelligence, Automatic digitization, Cephalometric tracings"
Effect of mixed light emitting diode spectrum on antioxidants content and antioxidant activity of red lettuce grown in a closed soilless system,2023-12-01,"Antioxidant enzymes, Continuous light, Hydroponic cultivation, Light spectrum, Molecular antioxidants, Phenolics productivity"
Exploring the Xylariaceae and its relatives,2023-12-01,"Chemical profiles, Ecological aspects, Endophytes, Host and habitat preferences, Plant diseases, Systematics, Xylariaceae, Xylariales"
European survey on the use of patient contact shielding during radiological examinations,2023-12-01,"Medical imaging, Patient shielding, Radiation protection, Surveys and questionnaires"
"Cross-cultural translation, reliability and validity of the Thai version of the Patient‑Reported Outcomes Measurement Information System (PROMIS) Parent Proxy Upper Extremity Short Form 8a in children with congenital upper extremity anomalies",2023-12-01,"Parent proxy, PROMIS, Thai, Translation, Upper extremities"
Thai version of shortened Oral Impact on Daily Performances index for evaluating oral lichen planus patients,2023-12-01,"OLP, Oral lichen planus, Shortened version of Oral Impact on Daily Performances, Shortened version of the OIDP index"
Effect of Smilax spp. and Phellinus linteus combination on cytotoxicity and cell proliferation of breast cancer cells,2023-12-01,"Adjuvant drug, Breast cancer, Herbal medicine, Phellinus linteus, Smilax corbularia, Smilax glabra"
Structural modification of resveratrol analogue exhibits anticancer activity against lung cancer stem cells via suppression of Akt signaling pathway,2023-12-01,"Akt pathway, CSCs, Lung cancer, Molecular docking, Molecular dynamics simulations, Moscatilin, Resveratrol"
"Evaluation of the chemical, physical, and biological properties of a newly developed bioceramic cement derived from cockle shells: an in vitro study",2023-12-01,"BioCement, Bioceramic, Biological properties, Chemical properties, Cockle shell, Dental pulp, Physical properties, Tricalcium silicate"
Development of liver inflammatory injury in biliary atresia: from basic to clinical research,2023-12-01,"Biliary atresia, Immune response, Inflammatory injury, Liver fibrosis"
Applications of Metformin in Dentistry—A review,2023-12-01,"Carcinoma, Metformin, Orthodontics, Osseointegration, Periodontitis, Photochemotherapy, Squamous cell, Stem cells"
Effects of ketogenic diet on health outcomes: an umbrella review of meta-analyses of randomized clinical trials,2023-12-01,"Ketegenic diet, Meta-analysis, Seizure, Systematic review, Umbrella review, Weight loss"
Impact of prescription length supply policy on patient medication adherence in Thailand,2023-12-01,"Adherence, Antihyperglycemic medications, Difference-in-difference, Lipid-lowering medications"
Effects of probiotics on pancreatic inflammation and intestinal integrity in mice with acute pancreatitis,2023-12-01,"Acute pancreatitis, Intestinal integrity, Mice, Probiotics"
Bacteriospermia and its antimicrobial resistance in relation to boar sperm quality during short-term storage with or without antibiotics in a tropical environment,2023-12-01,"Acrosome integrity, Antibiotics, Boar, Chilled semen, Seminal bacteria"
Trends of cannabis use and related harms before and after legalization for recreational purpose in a developing country in Asia,2023-12-01,"Cannabis, Harm, Laws, Legalization, Prevalence, Substance"
Effects of blue-light LED toothbrush on reducing dental plaque and gingival inflammation in orthodontic patients with fixed appliances: a crossover randomized controlled trial,2023-12-01,"Biofilm, Dental plaque, Fixed orthodontic appliance, Gingival index, Gingival inflammation, LED toothbrush, Orthodontic patient, Plaque index, Streptococcus mutans"
Multivariate analysis and model building for classifying patients in the peroxisomal disorders X-linked adrenoleukodystrophy and Zellweger syndrome in Chinese pediatric patients,2023-12-01,"C26: carnitine, Hexacosanoylcarnitine, Metabolomic signature, Newborn screening, PCA, PLS-DA, Sparse PLS-DA, t-SNE, Very long chain fatty acids, X-ALD, X-linked adrenoleukodystrophy, Zellweger syndrome"
Trehalose versus carboxymethylcellulose oral spray for relieving radiation-induced xerostomia in head and neck cancer patients: a randomized controlled trial,2023-12-01,"Head and neck cancer, Hyposalivation, Radiotherapy, Salivary gland, Trehalose, Xerostomia"
Practices and challenges for hemophilia management under resource constraints in Thailand,2023-12-01,"Clotting factor concentrates, Coagulation factor, Healthcare rationing, Hemophilia, Hemophilia A, Hemophilia B, Thailand"
Factors associated with bleeding events from enoxaparin used for patients with acute coronary syndrome,2023-12-01,"Acute coronary syndrome, Bleeding, Enoxaparin, Factors"
"Comparing mixed oil to soybean oil lipid emulsion in patients on home parenteral nutrition: a pilot prospective double-blind, crossover, randomized trial",2023-12-01,"Home parenteral nutrition, Liver function, Mixed oil lipid emulsion, Soybean oil lipid emulsion"
Tooth agenesis patterns and variants in PAX9: A systematic review,2023-12-01,"Hypodontia, Molar teeth, Oligodontia, Paired-box gene, Tooth development, Tooth missing"
Empathy level towards patients among thai dental students: a cross-sectional study,2023-12-01,"Dental students, Empathy, Jefferson Scale of Empathy, Reliability"
Granulomatous panuveitis in disseminated sporotrichosis: case report and review of the literature,2023-12-01,"Fungal endophthalmitis, Panuveitis, Sporothrix, Sporotrichosis"
Fluorouracil-induced leukoencephalopathy mimicking neuroleptic malignant syndrome: a case report,2023-12-01,"5-FU, Chemotherapy, Leukoencephalopathy, Neuroleptic malignant syndrome, Neurotoxicity"
Telepharmacy during home isolation: drug-related problems and pharmaceutical care in COVID-19 patients receiving antiviral therapy in Thailand,2023-12-01,"Coronavirus, COVID-19, Drug-related problems, Home isolation, Pharmaceutical care, Pharmacists, Telepharmacy"
Investigation of autism-related transcription factors underlying sex differences in the effects of bisphenol A on transcriptome profiles and synaptogenesis in the offspring hippocampus,2023-12-01,"Androgen receptor, Autism spectrum disorder, Bisphenol A, Endocrine-disrupting chemical, Microplastics, Molecular docking, Sex difference, Synaptogenesis, Transcription factor"
Efficacy and safety of topical 0.1% cannabidiol for managing recurrent aphthous ulcers: a randomized controlled trial,2023-12-01,"Cannabidiol, Cannabinoids, Cannabis, CBD, Recurrent aphthous stomatitis, Recurrent aphthous ulcer, Topical steroids"
Antibiotic-loaded hydroxyapatite scaffolds fabricated from Nile tilapia bones for orthopaedics,2023-12-01,"Antibiotic, Antibiotic-coated, Antibiotic-loaded, Hydroxyapatite, Nile tilapia, Scaffold, Vancomycin"
In vitro and in vivo antiplasmodial activities of leaf extracts from Sonchus arvensis L.,2023-12-01,"Antioxidant, Antiplasmodial, Hepatoprotective, Immunomodulator, Malaria, Nephroprotective, Plasmodium berghei, Plasmodium falciparum, Sonchus arvensis L"
High-intensity interval training in children and adolescents with special educational needs: a systematic review and narrative synthesis,2023-12-01,"Disabilities, HIIT, Interval exercise, Public health, Young people"
Effects of Platelet-Rich Plasma in Tear Size Reduction in Partial-Thickness Tear of the Supraspinatus Tendon Compared to Corticosteroids Injection,2023-12-01,"Adrenal cortex hormones steroids, Magnetic resonance imaging, Pain, Platelet-rich plasma, Tendinopathy"
Water-soluble organic former selection for methane hydrates by supervised machine learning,2023-12-01,"Cheminformatics, Former, Hydrate, Machine learning, Methane, Storage"
"Does socioeconomic factors and healthcare coverage affect postpartum sterilization uptake in an urban, tertiary hospital?",2023-12-01,"Contraceptives, Female sterilization, Health coverage, Postpartum sterilization"
Combined four neurovascular compression syndromes: the first case report and literature review,2023-12-01,"Glossopharyngeal neuralgia, Hemifacial spasm, Neurovascular compression syndromes, Type-writer tinnitus, Vestibular paroxysmia"
The efficacy of gait rehabilitations for the treatment of incomplete spinal cord injury: a systematic review and network meta-analysis,2023-12-01,"Functional electrical stimulation, Physical therapy, Robotic-assisted gait training, Treadmill, Walking"
Patterns of nonsyndromic tooth agenesis and sexual dimorphism,2023-12-01,"Anodontia, Hypodontia, Malocclusion, Microdontia, Nonsyndromic tooth agenesis, Oligodontia"
Oral status is associated with chewing difficulty in Thai older adults: data from a National Oral Health Survey,2023-12-01,"Chewing difficulty, Older adults, Oral status, Thailand"
A multidisciplinary approach to verify and de-label of drug allergic histories in a university hospital in Thailand: a retrospective descriptive study,2023-12-01,"ADR, De-labeling, Drug allergy, Multidisciplinary"
Inhibition of histone deacetylase 6 destabilizes ERK phosphorylation and suppresses cancer proliferation via modulation of the tubulin acetylation-GRP78 interaction,2023-12-01,"Extracellular signal-regulated kinase (ERK), Glucose-regulated protein 78 (GRP78), Histone deacetylase 6 (HDAC6), Lung cancer, Tubulin acetylation"
“Assessing exposure of printing factory workers in thailand to selected heavy metals using urine and hair as non-invasive matrices”,2023-12-01,"Hair, Heavy metals, Printing factory workers, Thailand, Urine"
Resilience level and its association with maladaptive coping behaviours in the COVID-19 pandemic: a global survey of the general populations,2023-12-01,"COVID-19, Maladaptive coping behaviours, Pandemic, Resilience"
The relationship between supply chain management activities and firm performance with the mediating and moderating effect,2023-12-01,"Competitive Advantage, Firm Performance, Manager Support, Supply Chain Management, Thailand"
Differences in acid and catalytic properties of W incorporated spherical SiO2 and 1%Al-doped SiO2 in propene metathesis,2023-12-01,"Active sites, Bronsted and Lewis acid, Dispersion, Metathesis, Surface silanol"
Investigation of field output factors using IAEA-AAPM TRS-483 code of practice recommendations and Monte Carlo simulation for 6 MV photon beams,2023-11-29,"field output factors, IAEA-AAPM TRS-483, Monte Carlo simulation, small field dosimetry"
Using environmental DNA to better inform decision making around decommissioning alternatives for offshore oil and gas infrastructure,2023-11-25,"Diversity detection, eDNA metabarcoding, Gulf of Thailand, Impact assessment, Marine diversity, Oil and gas platforms"
Thermo-mechanical analysis of bhimal fiber (Grewia optiva)-CaCO3/flyash/TiO2 reinforced epoxy bio-composites,2023-11-15,"-CaCO3, -TiO2, Bhimal Fiber (Grewia optiva), Bio-Composites, Flyash, Mechanical Properties, Optical Microscopy, Scanning Electron Microscopy, Thermal Properties"
Photo-assisted charging supercapacitors of BiOBr via exposed [1 1 0] facets using pH-dependent control by precipitation method,2023-11-15,"BiOBr, Exposed [1 1 0] facets, pH control, Photo-assisted charging supercapacitors"
Modeling local interfacial area concentration for adiabatic and boiling bubbly flows,2023-11-05,"Bubbly flow, Interfacial area concentration, Interfacial drag force, Interfacial heat transfer, Subcooled boiling flow"
Simultaneous immobilization enhances synergistic interactions and crude oil removal of bacterial consortium,2023-11-01,"Bioremediation, Crude oil-contaminated seawater, Immobilized bacterial consortium, Oil spill, Whole genome analysis"
Investigating the synergistic effect of graphene nanoplatelets and fly ash on the mechanical properties and microstructure of calcium aluminate cement composites,2023-11-01,"Calcium aluminate cement, Fly ash, Graphene nanoplatelets, Mechanical properties, Microstructure"
Extracellular self-photosensitizer combined with metal oxide-based nano bio-hybrid system encapsulated by alginate improves hydrogen production in the presence of oxygen,2023-11-01,"Alginate encapsulation, Biocatalyst, Biohybrid system, Biohydrogen production, Photocatalyst"
A novel traffic load balancing approach for scheduling of optical transparent antennas (OTAs) on mobile terminals,2023-11-01,"Advanced optical technologies, Clustering, Load balancing, Optical antennas, Scheduling"
Waste plastics derived nickel-palladium alloy filled carbon nanotubes for hydrogen evolution reaction,2023-11-01,"Alloys, Carbon nanotubes, Hydrogen evolution reaction, Hydrogen generation, Nickel palladium, Waste plastics"
Electrically controlled transdermal drug release of ionic and non-ionic drug from kappa-iota carrageenan cryogel,2023-11-01,"Carrageenan, Electrically controlled release, Freeze-drying, Transdermal patch"
A density functional theory study on how γ-Al2O3 – Boehmite transformation affects carbon evolution during aqueous-phase reaction,2023-11-01,"Coking, Cyclic coke, Density functional theory, Phase transformation, γ-Al2O3"
Chaotic heterogeneous comprehensive learning PSO method for size and shape optimization of structures,2023-11-01,"Chaotic logistic map, Comprehensive learning, Heterogeneous, Particle swarm optimization, Structural optimization"
A novel approach for the prediction and analysis of daily concentrations of particulate matter using machine learning,2023-11-01,"Gaussian process regression, Machine learning, Meteorological condition, Particulate matters, Prediction"
Combining magnet-assisted soil washing and soil amendment with zero-valent iron to restore safe rice cultivation in real cadmium-contaminated paddy fields,2023-11-01,"Cadmium contamination, Food safety, Magnet-assisted soil washing, Soil remediation, Zero-valent iron"
Electron beam irradiation for enhancing the properties of natural rubber latex,2023-11-01,"Electron beam, Electron dose, Natural rubber latex, Properties, Sulfur vulcanization"
Growth evolution and polarization-dependent photoluminescence of lateral InSb/CdTe nanowires,2023-11-01,"A1. Nanostructures, A3. Molecular beam epitaxy, B2. Semiconducting III-V materials"
Novel smart fiber/metal/chitosan composite as a filter for self-detoxifying photocatalytic wastewater remediation and biomedical applications,2023-11-01,"Antibacterial activity, Asparagus racemose, Photocatalytic activity, Wastewater, ZnO nanoparticles, ZnO-Chitosan-fiber"
Comparative study on indolium-fluorophore conjugates as dual sensors for cyanide ion in aqueous media,2023-11-01,"Cyanide ion, Fluorescent sensor, Indolium ion, Julolidine, Pyrene, Triphenylamine"
Effect of inlet gas and liquid velocity profiles on one-group interfacial area transport equation in a vertical large rectangular channel,2023-11-01,"Interfacial area transport equation, Large rectangular channel, Non-uniform inlet conditions, Two-fluid model"
"A review on dielectric barrier discharge nonthermal plasma generation, factors affecting reactive species, and microbial inactivation",2023-11-01,"Cold plasma, Decontamination, Dielectric barrier discharge plasma, Microbial destruction, Nonthermal plasma, Shelflife extension"
Bifunctional acid–base strontium–titanium mixed oxides supported on SBA-15 for selective synthesis of renewable branched bio-jet fuel precursor,2023-11-01,"Aldol condensation, Bifunctional catalysts, Bio-jet fuel, Furfural, Mixed oxides, SBA-15"
Effect of Phytoplankton Feed on Growth and Renieramycin M Producing of a Blue Marine Sponge (Xestospongia Sp.),2023-11-01,"Ca.E. renieramycinifaciens, Chaetocerose gracilis, Culture, Nannochloropsis sp., Renieramycins, Xestospongia sp"
Effect of the ethanol-to-water ratio on the properties of silica–carbon core–shell materials for prolonged antibacterial activity of thymol,2023-10-30,"Antibacterial activity, Nanocarrier, SiO2@C core–shell, Slow release, Thymol"
Rapid electrochemical lateral flow device for the detection of Δ9-tetrahydrocannabinol,2023-10-23,"Cannabis, CB2 receptor, Electrochemical detection, Lateral-flow assay, Point-of-care testing, Δ9 -tetrahydrocannabinol"
3D-printed polyacrylamide-based hydrogel polymer electrolytes for flexible zinc-ion battery,2023-10-20,"3D printing, Electrical energy storage, Gel polymer electrolyte, Photopolymerization, Zinc battery"
"Bio-thymol containing new high-performance thymolphthalein based polybenzoxazine: Thermal, superhydrophobic and dielectric properties",2023-10-20,"Bio-silica, Dielectric constant, Graphitic carbon nitride, Hydrophobicity, Oil-water separation, Polybenzoxazine, Thermal stability, Thymolphthalein"
Trends in Economic Burden and Mortality of Hospitalized Patients With Aortic Stenosis in Thailand,2023-10-15,"aortic stenosis, economic burden, hospitalization, mortality, Thailand"
EV71 virus induced silver nanoparticles self-assembly in polymer composites with an application as virus biosensor,2023-10-15,"Electrochemical sensors, Enterovirus 71 (EV71), Hand foot and mouth disease (HFMD), Polyacrylamide composites, Self-assembly, Silver nanoparticles"
Sustainable functionalized chitosan based nano-composites for wound dressings applications: A review,2023-10-15,"Biopolymers, Chitosan, Chitosan nanoparticles, Composites, Functionalization, Hydrogels, Wound dressings"
High current density charging of zinc-air flow batteries: Investigating the impact of flow rate and current density on zinc electrodeposition,2023-10-15,"Bubble evolution, Electrode-electrolyte interface, Flow battery, Multiphysics, Surface morphology, Zinc-air battery"
"Insight into characteristics and pathogenicity of five rapidly growing non-tuberculous Mycobacterium species isolated from the Siamese fighting fish, Betta splendens",2023-10-15,"Antimicrobial susceptibility, Betta fish, Disinfectants, Histopathology, Non-tuberculous mycobacteria, Pathogenicity"
Isogeometric gradient-free proportional topology optimization (IGA-PTO) for compliance problem,2023-10-15,"gradient-free proportional topology optimization, isogeometric analysis, multiresolution, reconstruction with NURBS basis functions"
"Role of anharmonicity in phonon-mediated superconductivity of quasi- van der Waals layered XP2 (X = As, Sb, Bi) structures: Insight from first-principles calculations",2023-10-10,"Anharmonicity, First-principles calculations, Phonon, Superconductivity"
Capillary flow-driven immunoassay platform for COVID-19 antigen diagnostics,2023-10-09,"Capillary-driven microfluidics, COVID-19, Diagnostic testing, Immunoassays, Point-of-care, SARS-CoV-2"
Self-protecting PVDF-PDA-TiO2 membranes towards highly efficient and prolonged dye wastewater treatment by photocatalytic membranes,2023-10-05,"Dye wastewater treatment, Hollow fiber photocatalytic membrane, Polydopamine, Polyvinylidene difluoride membrane, TiO2"
"A qualitative study on knowledge, attitude, and practice (KAP) toward swine influenza, information on pig farms and zoonosis reporting systems in Thailand",2023-10-01,"Attitudes, Knowledge, Pig farms, Practices, Swine influenza"
Effect of raw material structural composition on the fermentation process of ethanol production,2023-10-01,"Ethanol production, Fermentation process, Mixture design, Process simulation"
Tacrolimus/hydroxypropyl-β-cyclodextrin-loaded nanoemulsions stabilized by Zein-Soluplus® nanoparticles for retinal diseases,2023-10-01,"Cyclodextrin, Eye drop, Posterior segment, Retina, Tacrolimus, Zein nanoparticle"
Estimation of premature death attributed to short- and long-term PM2.5 exposure in Thailand,2023-10-01,"Air pollution, Air Q+, Health impact assessment, PM2.5, Premature mortality, Thailand"
Dengue overview: An updated systemic review,2023-10-01,"Dengue fever, Dengue hemorrhagic fever, Dengue shock syndrome, Dengue virus, PRISMA, Systemic review"
Anxiety due to Long COVID is partially driven by activation of the tryptophan catabolite (TRYCAT) pathway,2023-10-01,"Anxiety, Inflammation, Kynurenine, Mood disorders, Neuro-immune, Tryptophan"
Understanding vitality of public space: A review with an example of capital city Kathmandu in Nepal,2023-10-01,"Economic stability, Green space, Healthy lifestyle, Social cohesion, Urban public space"
Safety and effectiveness of intravenous CT-P13 in inflammatory arthritis: post-marketing surveillance study in Thailand,2023-10-01,"ankylosing spondylitis, biosimilar, CT-P13, infliximab, phase IV, post-marketing surveillance, psoriatic arthritis, rheumatoid arthritis"
Anthocyanin Rich-Berry extracts coated magnetic Fe3O4 bionanocomposites and their antibacterial activity,2023-10-01,"Anthocyains-rich, Antibacterial activity, Berry extracts, Bio-nanocomposites, Magnetic Fe3O4, Surfact coating"
"A new large pantherine and a sabre-toothed cat (Mammalia, Carnivora, Felidae) from the late Miocene hominoid-bearing Khorat sand pits, Nakhon Ratchasima Province, northeastern Thailand",2023-10-01,"Asia, Bone cracking, Felidae, Late Miocene, New taxon, Pantherine, Sabre-toothed cat"
Evaluating the efficacy of the Thai Health Improvement Profile intervention for preventing weight gain in people with early stage psychosis: A randomized controlled trial,2023-10-01,"Health check, Mental health, Nurse, Psychosis, RCT, Weight"
Metal-organic framework-derived nanomaterials: Promising green catalysts for industrially relevant oxidation and hydrogenation,2023-10-01,"Catalyst, Hydrogenation, Metal-organic framework derived materials, Oxidation"
Reverse cholesterol transport and lipid peroxidation biomarkers in major depression and bipolar disorder: A systematic review and meta-analysis,2023-10-01,"Affective disorders, Antioxidants, Autoimmunity, Depression, Neuro-immune, Oxidative and nitrosative stress"
Synergistic redox of dual-shaped silver nanostructures for highly selective sensing of hydrogen peroxide,2023-10-01,"Dual-shaped silver nanoparticles, Growth-based plasmonic sensor, Hydrogen peroxide sensor, Silver nanoparticles"
Genetic diversity and characterization of Wolbachia endosymbiont in canine filariasis,2023-10-01,"Brugia spp., Canine filariasis, Dirofilaria immitis, Dirofilaria repens, Thailand, Wolbachia sp."
Bioaugmentation of activated sludge with the immobilized 2-mercaptobenzothiazole-degrading bacterial consortium for rubber industrial wastewater treatment,2023-10-01,"Bacterial communities, Benzothiazoles, Cell immobilization, Rubber industry, Wastewater treatment"
The effect of different prepared TiCl4-MgCl2 catalysts on the behavior of gas-phase ethylene/1-hexene copolymerization,2023-10-01,"Copolymerization, Gas-phase polymerization, Magnesium sources, Triethylaluminum, Trioctylaluminum, Ziegler-Natta catalyst"
Evaluation of electrochemical behavior combined with the sensitive and selective determination of ceftriaxone using molecularly imprinted polymer-based sensor,2023-10-01,"Ceftriaxone, Determination, Drug analysis, Electrochemistry, Molecularly imprinted polymer"
Rapid photocatalytic gold recovery from industrial cyanide-based gold plating wastewater via TiO2/WO3 nanocomposites: Role of mixed hole scavengers and operating conditions,2023-10-01,"Cyanide-based gold plating, Photocatalytic gold recovery, TiO2/WO3 nanocomposites, Wastewater"
