Title,ref_count,Author_count,Subject_area_count,Unique_affiliations_count,Open_access,subtype,Cite_count
Carbon Dioxide Adsorption on Grafted Nanofibrous Adsorbents Functionalized Using Different Amines,34,9,4,7,1,ar,15
Phase Behavior and Superionic Transport Characteristics of (MxRb1- x)3H(SeO4)2 (M = K or Cs) Solid Solutions,27,4,3,3,0,ar,7
Pseudorapidity distributions of charged hadrons in xenon-xenon collisions at sNN=5.44 TeV,39,2276,1,198,1,ar,10
Identification of software problem report types using multiclass classification,11,2,4,1,0,cp,1
Non-functional requirement patterns for agile software development,14,2,4,1,0,cp,4
Transforming yawl workflows with time constraints to generalized stochastic petri nets,14,2,4,1,0,cp,1
Impact analysis of database schema changes on hibernate source code and test cases,12,2,4,1,0,cp,2
Formal modeling of multi-server queuing network using stochastic petri nets,12,2,4,1,0,cp,1
Stubs and drivers generator for class integration testing using sequence and class diagrams,14,2,4,1,0,cp,2
Visual design and code generation of user interface based on responsive web design approach,18,2,4,1,0,cp,1
Transforming flowchart into coloured petri nets,11,2,4,1,0,cp,4
Transforming WS-BPEL into timed automata,14,2,4,1,0,cp,1
Formal modeling of priority queue using generalized stochastic petri nets,12,2,4,1,0,cp,1
Formalizing a decision table into petri nets,13,2,4,1,0,cp,0
Test case generation from BPMN with DMN,10,2,4,1,0,cp,3
Sweeper: Automated data quality processing and model generation for data classification,13,2,4,1,0,cp,1
Simple discrete time traction control for a two-wheeled mobile robot,14,3,2,1,1,cp,0
Search for long-lived particles using delayed photons in proton-proton collisions at s =13 TeV,54,2314,1,209,1,ar,27
Geopolymer sourced with fly ash and industrial aluminum waste for sustainable materials,79,3,4,2,0,ch,0
Application of carbon nanotubes prepared from CH4/CO2 over Ni/MgO catalysts in CO2 capture using a BEA-AMP bi-solvent blend,31,4,4,2,1,ar,4
Unusual adsorption behavior of hydrogen molecules on Zr–doped perfect and oxygen–vacancy defective rutile TiO2(110) surfaces: Periodic DFT study,66,2,4,2,0,ar,10
Simulation of peak position and response profiles in comprehensive two-dimensional gas chromatography,30,7,3,3,0,ar,8
Phase 2 study of nilotinib in pediatric patients with Philadelphia chromosome–positive chronic myeloid leukemia,38,20,4,19,1,ar,24
Anti-HIV-1 protease activity of the crude extracts and isolated compounds from Auricularia polytricha,26,4,1,2,1,ar,24
Solving for Schwarzschild solution using variation of parameters and Frobenius method,15,3,1,3,0,cp,0
Constraints on anomalous HVV couplings from the production of Higgs bosons decaying to τ lepton pairs,74,2289,1,251,1,ar,29
Rheological properties of film solution from cassava starch and kaffir lime oil,20,5,1,3,1,cp,5
Search for Low-Mass Quark-Antiquark Resonances Produced in Association with a Photon at s =13 TeV,51,2335,1,207,1,ar,30
Relation extraction between bacteria and biotopes from biomedical texts with attention mechanisms and domain-specific contextual representations,72,3,5,1,1,ar,5
Comparison of radon and thoron concentration measuring systems among asian countries,15,16,3,7,1,ar,5
"Rhodococcus induced false-positive galactomannan (GM), a biomarker of fungal presentation, in patients with peritoneal dialysis: Case reports",13,7,1,4,1,ar,4
Prevalence of Atrial Fibrillation in Patients with Retinal Vessel Occlusion and Its Association: A Systematic Review and Meta-Analysis,35,8,3,7,2,ar,14
Successful multimodality management of severe pulmonary arterial hypertension during pregnancy with VA-ECMO and atrial septostomy using stent,8,4,1,2,2,ar,5
"Thermosetting Shape Memory Polymers and Composites Based on Polybenzoxazine Blends, Alloys and Copolymers",53,5,2,3,1,re,17
Cost-effectiveness and budget impact analyses of colorectal cancer screenings in a low- and middle-income country: example from Thailand,62,3,1,3,1,ar,13
Is a diagnostic blood test for chronic fatigue syndrome on the horizon?,17,3,4,4,1,ed,8
Generalized symplectic graphs and generalized orthogonal graphs over finite commutative rings,18,2,1,1,0,ar,3
"The Development of Tea Planting and Tea Culture Tourism in Thai Nguyen, Vietnam",31,2,7,1,,ar,1
Relationship between Voriconazole Concentration and Invasive Aspergillosis Treatment Outcome: Efficacy and Safety,25,4,1,2,1,ar,0
A Reflection on Teaching Design Thinking to First-Year Engineering Students,18,6,6,1,0,cp,2
Combination of Active Braking and Torque Vectoring in Electronic Stability Control for Four-Wheel Independent Drive Electric Vehicle,9,3,8,2,0,cp,1
Plasmapheresis reduces mycophenolic acid concentration: A study of full AUC0–12 in kidney transplant recipients,11,11,1,4,1,ar,3
On the rank-size distribution of local government debt,33,1,3,1,,ar,1
Last Mile Optimization for a Young 3PL Provider,15,4,7,1,0,cp,0
Study of Hamiltonian Energy Control of Multiphase Interleaved Fuel Cell Boost Converter,18,14,8,9,0,cp,9
Update on molecular diagnosis of human leptospirosis,97,2,1,1,1,re,4
Porcine reproductive and respiratory syndrome virus (PRRSV) preferentially infected the apical surface of primary endometrial cell monolayer,35,4,1,2,,ar,2
Efficacy of competitive exclusion to reduce Salmonella in broiler chickens,31,4,1,1,,ar,2
Variations in the branching pattern of the canine coeliac trunk in Thailand: An anatomical study,39,4,1,3,,ar,0
Chronic toxicity of monosodium glutamate on the reproductive system and some internal organs of zebrafish (Danio rerio),42,4,1,1,,ar,3
Selection of the appropriate reference genes for relative quantitative reverse transcription polymerase chain reaction (qRT-PCR) in canine pulmonary arteries,17,3,1,1,,ar,1
"Effects of gender, laterality, reaching location, and body posture on the maximum reach of elders",16,2,2,1,0,ar,0
Optimal Battery Capacity for Residential Rooftop PVs With Consideration of Net-Metering Scheme Compensation Period,29,2,2,1,,ar,2
In Situ Caching using Combined TTL-FIFO Algorithm,11,3,7,1,0,cp,2
Do the crime and the socioeconomic strain affect the economic growth? A case of an emerging asean economy,67,3,3,2,1,ar,0
Transportation mobility factor extraction using image recognition techniques,28,7,4,2,0,cp,7
Applying virtual reality technology to geoscience classrooms,26,2,2,1,1,ar,12
Design and implementation of the off-line robust model predictive control for solid oxide fuel cells,47,4,3,2,1,ar,8
Effect of CuO as sintering additive in scandium cerium and gadolinium-doped zirconia-based solid oxide electrolysis cell for steam electrolysis,37,8,3,2,1,ar,6
Finite integration method with shifted Chebyshev polynomials for solving time-fractional burgers' equations,25,3,1,2,1,ar,10
"Fed intermittent composting of food waste from minor touring city, using reactors with different passive ventilation",20,3,3,3,,ar,0
A potential application of triangular microwells to entrap single cancer cells: A canine cutaneous mast cell tumor model,28,9,3,2,1,ar,3
Cyclin D1 expression as a potential prognostic factor in advanced KRAS-mutant non-small cell lung cancer,21,6,1,1,1,ar,12
"The impact of government expenditures, gross capital formation, trade, and portfolio investment on the economic growth of asean economies",43,4,3,4,1,ar,2
CONSPICUOUS CONSUMPTION of ONLINE SOCIAL NETWORKING DEVICES and SUBJECTIVE WELL-BEING of BANGKOKIANS,73,2,1,2,0,ar,3
Antioxidant potency of Okra (Abelmoschus esculentus moench) pods extract on SOD level and tissue glucose tolerance in diabetic mice,23,8,2,2,2,ar,5
Carnitine palmitoyl transferase 1A deficiency in an adult with recurrent severe steato hepatitis aggravated by high pathologic or physiologic demands: A roller-coaster for internists,15,3,2,2,1,le,5
Hepatoprotective effect of crude polysaccharides extracted from Ganoderma lucidum against carbon tetrachloride-induced liver injury in mice,32,8,1,2,1,ar,18
"Assessment of the lower ping river’s riverbank erosion and accretion, northern thailand using geospatial technique; implication for river flow and sediment load management",20,2,2,1,,ar,2
A generalization of the trichotomy principle,12,2,1,1,,ar,0
"Effects of overcrowded traffic and road construction activities in bangkok on PM2.5, PM10 and heavy metal composition",7,2,2,1,,ar,7
Comparison between the seventh and eighth edition of the AJCC/UICC staging system for nasopharyngeal cancer integrated with pretreatment plasma Epstein-Barr virus DNA level in a non-Chinese population: Secondary analysis from a prospective randomized trial,33,7,3,1,0,ar,7
A computational-experimental investigation on high ethylene selectivity in ethanol dehydration reaction found on WOx/ZrO2-activated carbon bi-support systems,36,3,1,1,1,ar,6
Nonalcoholic fatty liver disease and hepatic fibrosis among perinatally HIV-monoinfected Asian adolescents receiving antiretroviral therapy,49,11,1,5,1,ar,10
Galactomannan pentasaccharide produced from copra meal enhances tight junction integration of epithelial tissue through activation of AMPK,35,8,2,4,1,ar,5
Gigantol targets cancer stem cells and destabilizes tumors via the suppression of the PI3K/AKT and JAK/STAT pathways in ectopic lung cancer xenografts,58,6,2,3,1,ar,32
Measurement of the differential Drell-Yan cross section in proton-proton collisions at √s = 13 TeV,46,2299,1,244,1,ar,35
Agreement and Precision Analyses of Various Estimated Glomerular Filtration Rate Formulae in Cancer Patients,37,5,1,2,1,ar,21
Palm biochar-based sulphated zirconium (Zr-AC-HSO3) catalyst for methyl ester production from palm fatty acid distillate,43,6,2,5,1,ar,10
Nitriding an oxygen-doped nanocarbonaceous sorbent synthesized via solution plasma process for improving CO2 adsorption capacity,50,7,2,3,1,ar,6
Study of the B +→ J / ψ Λ ¯ p decay in proton-proton collisions at √s = 8 TeV,21,2343,1,257,1,ar,6
New 3d N = 2 SCFT’s with N 3/2 scaling,82,4,1,3,1,ar,10
Measurements of differential Z boson production cross sections in proton-proton collisions at √s = 13 TeV,83,2313,1,258,1,ar,66
Search for anomalous triple gauge couplings in WW and WZ production in lepton + jet events in proton-proton collisions at √s = 13 TeV,95,2342,1,257,1,ar,19
CRISPR/Cas9-mediated gene deletion of the ompA gene in symbiotic Cedecea neteri impairs biofilm formation and reduces gut colonization of Aedes aegypti mosquitoes,85,8,2,3,1,ar,25
D-Lactic acid fermentation performance and the enzyme activity of a novel bacterium Terrilactibacillus laevilacticus SK5–6,29,6,1,1,1,ar,11
In Reply: Protocol for Titrated Endocycloplasty When Combined with Phacoemulsification in an Exclusive Cohort of Angle Closure Glaucoma,4,13,1,10,0,le,0
"Oral health education improved oral health knowledge, attitudes, and plaque scores in Thai third-grade students: A randomised clinical trial",36,3,1,1,,ar,4
"Publisher Correction: Atomistic mechanisms underlying the activation of the G protein-coupled sweet receptor heterodimer by sugar alcohol recognition (Scientific Reports, (2019), 9, 1, (10205), 10.1038/s41598-019-46668-w)",,7,1,2,1,er,0
Recombinant human dentin matrix protein 1 (HDMP1) expressed in nicotiana benthamiana potentially inducesosteogenic differentiation,32,6,3,2,1,ar,8
"Correction to: Once-Daily versus Twice Daily Tacrolimus in Kidney Transplantation: A Systematic Review and Meta-analysis of Observational Studies (Drugs, (2019), 79, 18, (1947-1962), 10.1007/s40265-019-01217-7)",,5,1,5,1,er,1
Plant-produced anti-enterovirus 71 (EV71) monoclonal antibody efficiently protects mice against EV71 infection,45,5,3,2,1,ar,22
The Causal Effect of Retirement on Health: Understanding the Mechanisms,48,2,1,2,0,ar,12
The effect of prosthesis design on blood loss in simultaneous bilateral total knee arthroplasty: Closed-box versus open-box prosthesis,29,6,2,2,1,ar,10
Regional variation in the treatment and prevention of peritoneal dialysis-related infections in the Peritoneal Dialysis Outcomes and Practice Patterns Study,,15,2,12,2,ar,48
Tropical forest soil carbon stocks do not increase despite 15 years of doubled litter inputs,61,11,1,7,1,ar,37
"Exploring the possibility of MaaS service in Thailand, implications from the existing conditions and experts' opinions on “Who should be the MaaS provider in Bangkok?”",18,1,4,1,1,ar,9
Indirect Sinus Augmentation with and Without the Addition of a Biomaterial: A Randomized Controlled Clinical Trial,31,5,1,3,1,ar,12
Prospective evaluation of screening performance of first-trimester prediction models for preterm preeclampsia in an Asian population,90,20,1,15,0,cp,76
Lupus-like Disease in FcγRIIB −/− Mice Induces Osteopenia,37,6,1,2,1,ar,5
"A natural skin anti-ageing serum containing pseudobulb ethanolic extract of Grammatophyllum speciosum: a randomized double-blind, placebo-controlled trial",33,4,6,2,0,ar,10
"The production of volatile fatty acids from Napier grass via an anaerobic leach bed process: The influence of leachate dilution, inoculum, recirculation, and buffering agent addition",20,2,4,1,1,ar,11
Effect of structural individual low-fodmap dietary advice vs. Brief advice on a commonly recommended diet on ibs symptoms and intestinal gas production,21,4,2,2,1,ar,36
Size Does Not Matter: Same-Sex Sexual Behavior Occurred Regardless of Mandible Size in Male Stag Beetle Aegus chelifer chelifer (Coleoptera: Lucanidae),48,3,2,1,0,ar,2
Once-Daily versus Twice-Daily Tacrolimus in Kidney Transplantation: A Systematic Review and Meta-analysis of Observational Studies,47,5,1,5,1,re,6
A new framework to test parent-child and full sibling relationships with population substructure,14,3,1,6,0,ar,0
Hydrothermal liquefaction of microalgae using Fe3O4 nanostructures as efficient catalyst for the production of bio-oil: Optimization of reaction parameters by response surface methodology,35,11,4,2,0,ar,22
Quantification of enterocytozoon hepatopenaei (Ehp) in penaeid shrimps from southeast asia and latin america using taqman probe-based quantitative PCR,15,11,5,6,1,ar,17
On Properties of t-Fuzzy Modules and Uniform t-Fuzzy Modules,12,2,2,1,1,ar,0
Event free survival at 24 months is a strong surrogate prognostic endpoint of peripheral T cell lymphoma,30,21,3,13,0,ar,11
Understanding of the drug resistance mechanism of hepatitis C virus NS3/4A to paritaprevir due to D168N/Y mutations: A molecular dynamics simulation perspective,51,4,4,2,0,ar,4
Anaerobic biodegradation of trimethoprim with sulfate as an electron acceptor,53,9,1,6,0,ar,20
Studies on Riceberry rice (Oryza sativa L.) extract on the key steps related to carbohydrate and lipid digestion and absorption: A new source of natural bioactive substances,30,5,2,4,1,ar,18
Polypropylene Copolymer/Calcium Silicate Composites with Enhanced Mechanical Properties and Scratch Resistance,29,5,5,4,0,ar,5
"Plumbagin inhibits cancer stem-like cells, angiogenesis and suppresses cell proliferation and invasion by targeting Wnt/β-catenin pathway in endocrine resistant breast cancer",47,2,1,1,0,ar,30
"A nanocomposite prepared from platinum particles, polyaniline and a Ti3C2 MXene for amperometric sensing of hydrogen peroxide and lactate",35,6,1,3,0,ar,61
"Feline bocavirus-1 associated with outbreaks of hemorrhagic enteritis in household cats: potential first evidence of a pathological role, viral tropism and natural genetic recombination",47,4,1,3,1,ar,27
"Prolonged Effect of Zoledronic Acid on Bone Mineral Density and Turnover in HIV-Infected Adults on Tenofovir: A Randomized, Open-Label Study",13,8,2,5,1,ar,9
Risk factors of infection-associated mortality in children with lupus nephritis in under-resourced areas,37,2,1,1,0,ar,3
Genome sequence and phylogenetic analysis of a novel comovirus from tabasco pepper (Capsicum frutescens),16,3,3,3,0,ar,0
Extended vs. standard-duration thromboprophylaxis in acutely ill medical patients: A systematic review and meta-analysis,8,6,1,5,0,le,12
Protective effect of neglected plant Diplocyclos palmatus on quorum sensing mediated infection of Serratia marcescens and UV-A induced photoaging in model Caenorhabditis elegans,58,8,4,4,0,ar,34
Evaluation on safety and energy requirement of biodiesel production: Conventional system and microreactors,18,5,4,3,0,ar,18
The long road to becoming a farmer: Thai agricultural students’ plans,37,3,3,4,0,ar,8
"Serum adipokine levels, bodyweight and functional status in children with cerebral palsy",36,5,3,2,0,ar,2
Public policy to support young farmers in Thailand,45,3,3,5,0,ar,13
An immune gate of depression – Early neuroimmune development in the formation of the underlying depressive disorder,98,7,1,5,0,re,31
Optimal operation of CCHP and renewable generation-based energy hub considering environmental perspective: An epsilon constraint and fuzzy methods,39,6,4,4,0,ar,82
Efficacy of single topical treatment of Selamectin (Revolution®) against Ancylostoma ceylanicum in experimentally infected cats,24,4,2,3,0,ar,2
Structural and In Vitro Functional Analyses of Novel Plant-Produced Anti-Human PD1 Antibody,30,10,1,3,1,ar,28
"Better survivals in adolescent and Young adults, compared to adults with acute lymphoblastic leukemia – A multicenter prospective registry in Thai population",30,15,3,8,0,ar,2
"Topical 2% ketoconazole cream monotherapy significantly improves adult female acne: A double-blind, randomized placebo-controlled trial",26,4,1,2,0,ar,4
"Tumor necrosis factor alpha (TNF-α) and its soluble receptors are associated with disability, disability progression and clinical forms of multiple sclerosis",53,8,2,5,0,ar,24
"Functional Measures of Sarcopenia: Prevalence, and Associations with Functional Disability in 10,892 Adults Aged 65 Years and Over from Six Lower- and Middle-Income Countries",37,8,3,9,2,ar,9
Effect of acrylonitrile content of acrylonitrile butadiene rubber on mechanical and thermal properties of dynamically vulcanized poly(lactic acid) blends,80,6,3,1,0,ar,7
Arrhythmias in hematopoietic stem cell transplantation: A systematic review and meta-analysis,39,9,1,7,0,ar,8
Enhanced efficacy of immersion vaccination in tilapia against columnaris disease by chitosan-coated “pathogen-like” mucoadhesive nanovaccines,33,10,2,2,0,ar,22
Ethoxy mansonone G as an anticancer agent in estrogen receptor-positive and endocrine-resistant breast cancer,25,6,2,2,1,ar,7
"Comparison of major depression diagnostic classification probability using the SCID, CIDI, and MINI diagnostic interviews among women in pregnancy or postpartum: An individual participant data meta-analysis",24,84,1,76,1,ar,31
Effect of glycerol concentrations and temperatures on epidermal growth factor protein expression in preserved canine amniotic membrane,25,3,4,1,0,ar,5
"Answer to the Letter to the Editor of V. Kumar et al. concerning ""Can standard anterior Smith–Robinson supramanubrial approach be utilized for approach down to T2 or T3?"" by Singhatanadgige W, Zebala LP, Luksanapruksa P, Riew KD [Eur Spine J (2017) 26:2357–2362]",,4,2,4,0,le,0
Molecular clouds in the Cosmic Snake normal star-forming galaxy 8 billion years ago,45,15,1,16,2,le,52
Annealing induced a well-ordered single crystal δ-MnO2 and its electrochemical performance in zinc-ion battery,50,7,1,4,1,ar,30
Optimal vancomycin dosing regimens for critically ill patients with acute kidney injury during continuous renal replacement therapy: A Monte Carlo simulation study,38,6,1,4,0,ar,7
Southeast Asian Pharmacogenomics Research Network (SEAPharm): Current Status and Perspectives,16,27,2,17,0,ar,17
The Influence of Dimethyl Sulfoxide as Electrolyte Additive on Anodic Dissolution of Alkaline Zinc-Air Flow Battery,43,7,1,3,1,ar,64
Interleukin 17 (IL-17) manipulates mouse bone marrow- derived neutrophils in response to acute lung inflammation,45,4,5,2,0,ar,15
"Unicentric Castleman disease, hyaline vascular variant, stromal rich, with increased plasma cells and a high level of serum IL-6: Raising the diagnostic and therapeutic issues",8,6,1,2,0,le,0
Lattice study of supersymmetry breaking in N=2 supersymmetric quantum mechanics,42,2,1,4,1,ar,4
Comparative analysis of auction mechanisms and bidding strategies for P2P solar transactive energy markets,54,3,4,2,2,ar,94
Genome-wide association study of alcohol dependence in male Han Chinese and cross-ethnic polygenic risk score comparison,54,13,3,9,1,ar,17
Green synthesis of photomediated silver nanoprisms via a light-induced transformation reaction and silver nanoprism-impregnated bacteria cellulose films for use as antibacterial wound dressings,32,5,1,2,0,ar,12
Silk sericin as a bio-initiator for grafting from synthesis of polylactide via ring-opening polymerization,48,5,4,3,0,ar,13
Elastic buckling of cellular columns under axial compression,24,3,3,2,0,ar,7
Role of Ag (0) deposited on TiO2 nanoparticles for superior photocatalytic performance induced by calcination,43,2,8,1,0,ar,14
Role of abdominal obesity and body position in kinematics of the chest wall,32,4,3,1,0,ar,2
Biomass derived N-doped biochar as efficient catalyst supports for CO2 methanation,54,10,3,3,0,ar,51
Furan/thiophene-based fluorescent hydrazones as fluoride and cyanide sensors,39,6,3,3,0,ar,20
Relationships between lower extremity strength and the multi-directional reach test in children aged 7 to 12 years,46,3,1,1,1,ar,1
Dissolved oxygen/free ammonia (DO/FA) ratio manipulation to gain distinct proportions of nitrogen species in effluent of entrapped-cell-based reactors,37,3,3,3,0,ar,8
Role of Clathrin Assembly Protein-2 Beta Subunit during White Spot Syndrome Virus Infection in Black Tiger Shrimp Penaeus monodon,64,7,1,4,1,ar,5
Full-Endoscopic Interlaminar Lumbar Discectomy: Retrospective Review of Clinical Results and Complications in 545 International Patients,23,6,2,5,0,ar,21
"Effect of packaging materials and storage time on changes of colour, phenolic content, chlorogenic acid and antioxidant activity in arabica green coffee beans (Coffea arabica L. cv. Catimor)",29,2,4,1,0,ar,25
Three-dimensional stability analysis of the collapse pressure on flexible pavements over rectangular trapdoors,67,3,3,2,0,ar,46
Baseline and kinetics of serum hepatitis B virus RNA predict response to pegylated interferon-based therapy in patients with hepatitis B e antigen-negative chronic hepatitis B,30,7,3,3,0,ar,15
Impact of early antiretroviral treatment on sexual behaviour: A randomised comparison,52,16,3,13,1,ar,2
"Sensing by wireless reading Ag/AgCl redox conversion on RFID tag: universal, battery-less biosensor design",25,11,1,5,1,ar,19
Pharmacokinetics and pharmacodynamics of single dose of inhaled nebulized sodium nitrite in healthy and hemoglobin E/β-thalassemia subjects,43,11,4,3,0,ar,4
Discharge performance and dynamic behavior of refuellable zinc-air battery,31,4,6,2,1,dp,30
Incidence and risk factors of parenteral nutrition-associated liver disease in hospitalized adults: A prospective cohort study,25,2,2,1,0,ar,8
Partial sequence analyses of exon 7 of the ABO locus of cynomolgus (Macaca fascicularis) and rhesus (M. mulatta) macaques: Indeterminate phenotypes show the presence of the O blood group,34,11,3,6,0,ar,0
Evaluation of Microencapsulation Techniques for MICP Bacterial Spores Applied in Self-Healing Concrete,39,4,1,1,1,ar,68
Application of Blockchain in Collaborative Internet-of-Things Services,39,2,3,2,0,ar,103
"Distribution and diversity of benthic macroinvertebrate fauna in three repeated operating ages of the blood cockle Anadara granosa cultivation in Bandon Bay, Suratthani Province, Southern Thailand",27,2,1,2,1,ar,2
Impairment of bone microstructure and upregulation of osteoclastogenic markers in spontaneously hypertensive rats,50,9,1,5,1,ar,20
Early prediction of donepezil cognitive response in Alzheimer’s disease by brain perfusion single photon emission tomography,29,12,7,3,0,ar,4
